iteration,S,E,I,R
0,19980,0,20,0
1,19962,15,20,3
2,19943,25,26,6
3,19912,37,42,9
4,19878,49,54,19
5,19833,63,74,30
6,19771,86,98,45
7,19688,125,127,60
8,19574,163,179,84
9,19393,240,253,114
10,19194,298,350,158
11,18919,400,465,216
12,18554,549,592,305
13,18042,773,780,405
14,17447,977,1058,518
15,16697,1234,1343,726
16,15680,1601,1754,965
17,14575,1940,2208,1277
18,13252,2372,2762,1614
19,11844,2672,3414,2070
20,10214,3135,4046,2605
21,8640,3381,4698,3281
22,7172,3479,5278,4071
23,5847,3496,5724,4933
24,4665,3363,6201,5771
25,3614,3150,6500,6736
26,2771,2829,6690,7710
27,2140,2474,6744,8642
28,1725,2090,6576,9609
29,1353,1794,6298,10555
30,1096,1483,6017,11404
31,899,1228,5693,12180
32,777,966,5318,12939
33,674,789,4855,13682
34,613,660,4465,14262
35,578,545,4058,14819
36,567,432,3646,15355
37,533,357,3297,15813
38,536,292,2973,16199
39,536,244,2646,16574
40,553,208,2382,16857
41,582,170,2164,17084
42,604,131,1967,17298
43,600,128,1758,17514
44,644,100,1576,17680
45,686,93,1386,17835
46,730,78,1232,17960
47,764,72,1114,18050
48,797,80,983,18140
49,841,70,891,18198
50,883,63,773,18281
51,923,65,679,18333
52,986,59,587,18368
53,1042,57,520,18381
54,1109,57,462,18372
55,1156,57,412,18375
56,1207,49,376,18368
57,1254,40,335,18371
58,1313,44,303,18340
59,1355,40,274,18331
60,1403,29,255,18313
61,1474,30,217,18279
62,1524,26,205,18245
63,1576,27,180,18217
64,1631,24,175,18170
65,1682,36,153,18129
66,1740,34,134,18092
67,1815,31,130,18024
68,1881,29,118,17972
69,1919,29,107,17945
70,1962,28,105,17905
71,2008,25,95,17872
72,2052,29,91,17828
73,2113,23,87,17777
74,2166,18,87,17729
75,2207,19,78,17696
76,2258,24,73,17645
77,2326,20,75,17579
78,2369,22,68,17541
79,2447,16,65,17472
80,2491,15,65,17429
81,2544,15,59,17382
82,2596,18,53,17333
83,2641,18,56,17285
84,2680,15,56,17249
85,2749,16,54,17181
86,2811,13,54,17122
87,2878,13,52,17057
88,2916,12,55,17017
89,2973,7,54,16966
90,3025,8,51,16916
91,3066,9,50,16875
92,3093,14,44,16849
93,3133,15,38,16814
94,3179,11,35,16775
95,3220,10,31,16739
96,3258,10,33,16699
97,3308,10,31,16651
98,3350,12,32,16606
99,3395,11,31,16563
100,3434,11,35,16520
101,3490,4,40,16466
102,3543,4,36,16417
103,3584,7,32,16377
104,3631,8,33,16328
105,3675,9,32,16284
106,3718,8,37,16237
107,3756,12,27,16205
108,3796,13,30,16161
109,3839,17,31,16113
110,3879,15,35,16071
111,3937,10,37,16016
112,3971,16,28,15985
113,4022,14,30,15934
114,4064,14,33,15889
115,4112,14,28,15846
116,4162,12,27,15799
117,4200,11,28,15761
118,4246,10,27,15717
119,4287,13,30,15670
120,4318,14,31,15637
121,4358,17,29,15596
122,4396,19,25,15560
123,4424,14,28,15534
124,4472,8,29,15491
125,4510,9,29,15452
126,4563,12,25,15400
127,4595,15,31,15359
128,4636,11,32,15321
129,4676,11,29,15284
130,4710,13,30,15247
131,4750,10,30,15210
132,4781,12,34,15173
133,4822,14,35,15129
134,4859,15,34,15092
135,4893,19,35,15053
136,4933,20,31,15016
137,4979,21,32,14968
138,5012,19,39,14930
139,5056,15,48,14881
140,5102,9,50,14839
141,5139,13,46,14802
142,5184,16,49,14751
143,5216,16,50,14718
144,5248,14,54,14684
145,5283,18,48,14651
146,5318,21,52,14609
147,5355,22,49,14574
148,5399,20,52,14529
149,5423,23,52,14502
150,5450,26,56,14468
151,5471,28,61,14440
152,5499,25,66,14410
153,5532,30,64,14374
154,5563,28,67,14342
155,5587,28,67,14318
156,5627,31,64,14278
157,5666,27,76,14231
158,5685,33,71,14211
159,5705,34,74,14187
160,5726,32,81,14161
161,5748,31,85,14136
162,5767,36,88,14109
163,5787,44,84,14085
164,5824,50,91,14035
165,5846,52,99,14003
166,5865,53,110,13972
167,5897,48,119,13936
168,5905,54,124,13917
169,5930,54,132,13884
170,5936,68,137,13859
171,5947,70,133,13850
