iteration,S,E,I,R
0,19980,0,20,0
1,19967,8,23,2
2,19950,18,24,8
3,19927,30,29,14
4,19901,39,39,21
5,19853,65,56,26
6,19805,72,89,34
7,19738,101,103,58
8,19649,126,153,72
9,19533,177,196,94
10,19354,263,255,128
11,19140,358,313,189
12,18865,473,426,236
13,18472,630,596,302
14,17956,810,837,397
15,17317,1035,1111,537
16,16444,1381,1452,723
17,15367,1805,1856,972
18,14168,2124,2438,1270
19,12793,2519,3015,1673
20,11246,2905,3687,2162
21,9595,3239,4338,2828
22,8012,3430,4996,3562
23,6565,3487,5546,4402
24,5262,3411,6032,5295
25,4152,3231,6391,6226
26,3239,2966,6550,7245
27,2482,2618,6681,8219
28,1933,2283,6572,9212
29,1526,1969,6329,10176
30,1225,1654,6003,11118
31,1006,1335,5699,11960
32,853,1086,5311,12750
33,753,863,4901,13483
34,695,701,4472,14132
35,639,578,4038,14745
36,609,451,3667,15273
37,578,370,3316,15736
38,550,317,2968,16165
39,529,277,2671,16523
40,538,238,2371,16853
41,554,194,2100,17152
42,579,147,1874,17400
43,614,128,1651,17607
44,653,110,1478,17759
45,683,96,1318,17903
46,717,86,1173,18024
47,756,81,1041,18122
48,805,73,934,18188
49,856,59,827,18258
50,902,67,728,18303
51,946,65,661,18328
52,989,64,590,18357
53,1031,62,541,18366
54,1081,63,489,18367
55,1098,57,454,18391
56,1136,55,401,18408
57,1199,47,353,18401
58,1247,45,313,18395
59,1298,45,281,18376
60,1350,41,258,18351
61,1394,25,242,18339
62,1438,25,223,18314
63,1481,26,201,18292
64,1540,24,172,18264
65,1593,24,155,18228
66,1640,21,129,18210
67,1688,19,119,18174
68,1734,20,107,18139
69,1786,20,97,18097
70,1854,18,88,18040
71,1911,13,76,18000
72,1966,15,72,17947
73,2015,15,69,17901
74,2075,15,69,17841
75,2121,11,65,17803
76,2193,11,59,17737
77,2245,11,52,17692
78,2298,8,47,17647
79,2351,10,40,17599
80,2408,7,38,17547
81,2476,6,30,17488
82,2534,5,27,17434
83,2593,7,22,17378
84,2649,3,19,17329
85,2709,3,15,17273
86,2774,1,16,17209
87,2828,2,13,17157
88,2881,4,12,17103
89,2945,2,11,17042
90,3021,1,11,16967
91,3079,1,9,16911
92,3127,2,9,16862
