iteration,S,E,I,R
0,19980,0,20,0
1,19970,5,23,2
2,19957,15,20,8
3,19934,26,31,9
4,19900,40,44,16
5,19871,50,51,28
6,19835,63,65,37
7,19769,88,91,52
8,19689,111,133,67
9,19555,177,175,93
10,19379,247,253,121
11,19169,337,335,159
12,18897,454,432,217
13,18543,573,580,304
14,18056,736,798,410
15,17403,989,1064,544
16,16579,1293,1392,736
17,15627,1674,1708,991
18,14516,1992,2189,1303
19,13245,2379,2677,1699
20,11812,2698,3361,2129
21,10327,3021,3971,2681
22,8800,3296,4581,3323
23,7270,3477,5239,4014
24,5850,3552,5745,4853
25,4665,3366,6197,5772
26,3688,3168,6442,6702
27,2875,2889,6549,7687
28,2273,2489,6579,8659
29,1801,2137,6461,9601
30,1420,1819,6254,10507
31,1129,1546,5873,11452
32,929,1248,5571,12252
33,810,1015,5161,13014
34,715,844,4730,13711
35,671,664,4350,14315
36,636,526,3983,14855
37,620,424,3615,15341
38,594,376,3245,15785
39,601,304,2916,16179
40,590,266,2634,16510
41,616,214,2361,16809
42,647,193,2124,17036
43,683,165,1927,17225
44,688,132,1732,17448
45,720,132,1540,17608
46,749,122,1356,17773
47,794,109,1210,17887
48,841,118,1062,17979
49,885,103,968,18044
50,911,99,857,18133
51,962,93,754,18191
52,1010,89,660,18241
53,1043,90,604,18263
54,1101,68,534,18297
55,1132,75,494,18299
56,1187,63,462,18288
57,1238,59,415,18288
58,1281,60,368,18291
59,1337,52,332,18279
60,1390,49,298,18263
61,1444,42,266,18248
62,1488,41,240,18231
63,1541,37,217,18205
64,1612,29,191,18168
65,1677,27,161,18135
66,1731,26,141,18102
67,1804,24,132,18040
68,1857,24,127,17992
69,1909,19,109,17963
70,1986,14,102,17898
71,2044,19,86,17851
72,2094,14,80,17812
73,2140,16,78,17766
74,2210,21,66,17703
75,2260,14,68,17658
76,2315,16,66,17603
77,2368,12,65,17555
78,2420,11,54,17515
79,2466,12,46,17476
80,2519,11,46,17424
81,2569,10,48,17373
82,2623,7,46,17324
83,2677,8,41,17274
84,2738,5,43,17214
85,2785,5,40,17170
86,2852,9,37,17102
87,2910,9,33,17048
88,2966,7,28,16999
89,3004,5,26,16965
90,3054,6,20,16920
91,3096,5,21,16878
92,3154,5,18,16823
93,3206,6,17,16771
94,3270,4,15,16711
95,3325,3,15,16657
96,3364,3,14,16619
97,3427,1,14,16558
98,3473,1,9,16517
99,3517,2,9,16472
100,3556,1,10,16433
101,3609,1,9,16381
102,3658,2,7,16333
103,3710,3,7,16280
104,3755,1,8,16236
105,3800,1,9,16190
106,3841,3,9,16147
107,3887,2,13,16098
108,3935,3,12,16050
109,3980,3,12,16005
110,4010,3,10,15977
111,4056,2,12,15930
112,4111,3,11,15875
113,4152,5,11,15832
114,4194,4,13,15789
115,4233,2,14,15751
116,4284,4,10,15702
117,4327,5,10,15658
118,4371,3,13,15613
119,4419,1,13,15567
120,4467,2,12,15519
121,4506,3,12,15479
122,4563,4,12,15421
123,4613,2,14,15371
124,4642,4,12,15342
125,4678,3,13,15306
126,4713,7,13,15267
127,4749,6,13,15232
128,4798,6,10,15186
129,4827,9,13,15151
130,4860,8,13,15119
131,4905,5,14,15076
132,4953,5,13,15029
133,5001,6,12,14981
134,5041,6,11,14942
135,5073,5,9,14913
136,5112,5,12,14871
137,5155,6,9,14830
138,5200,8,11,14781
139,5246,9,13,14732
140,5290,6,15,14689
141,5334,4,12,14650
142,5373,4,14,14609
143,5412,6,14,14568
144,5452,5,16,14527
145,5490,6,16,14488
146,5533,7,12,14448
147,5568,7,13,14412
148,5611,4,14,14371
149,5644,6,12,14338
150,5693,4,14,14289
151,5739,4,15,14242
152,5776,5,14,14205
153,5804,6,13,14177
154,5836,9,11,14144
155,5868,8,13,14111
156,5889,10,11,14090
157,5926,9,15,14050
158,5960,11,11,14018
159,5995,11,14,13980
160,6030,11,18,13941
161,6068,11,22,13899
162,6103,11,20,13866
163,6143,11,23,13823
164,6175,10,26,13789
165,6207,8,30,13755
166,6237,10,21,13732
167,6265,14,21,13700
168,6291,17,21,13671
169,6324,17,20,13639
170,6360,16,22,13602
171,6407,13,22,13558
172,6431,13,29,13527
173,6455,15,30,13500
174,6487,16,33,13464
175,6524,16,33,13427
176,6557,14,33,13396
177,6584,15,34,13367
178,6608,20,36,13336
179,6630,21,40,13309
180,6655,17,49,13279
181,6690,14,45,13251
182,6710,18,48,13224
183,6742,22,48,13188
184,6779,26,50,13145
185,6797,31,57,13115
186,6807,25,66,13102
187,6817,32,67,13084
188,6828,35,73,13064
189,6836,40,74,13050
190,6841,36,82,13041
191,6863,40,83,13014
192,6883,39,87,12991
193,6887,49,97,12967
194,6906,53,104,12937
195,6913,55,121,12911
196,6911,65,131,12893
197,6910,72,134,12884
198,6906,82,126,12886
199,6918,78,131,12873
200,6929,82,137,12852
201,6918,98,139,12845
202,6919,94,159,12828
203,6930,93,164,12813
204,6919,94,186,12801
205,6899,95,224,12782
206,6864,126,242,12768
207,6851,139,252,12758
208,6837,148,267,12748
209,6798,171,293,12738
210,6747,181,323,12749
211,6707,196,343,12754
212,6668,189,379,12764
213,6603,224,396,12777
214,6524,242,431,12803
215,6440,253,461,12846
216,6382,247,480,12891
217,6303,257,515,12925
218,6209,290,525,12976
219,6101,290,592,13017
220,6003,327,596,13074
221,5898,342,637,13123
222,5797,348,673,13182
223,5686,353,717,13244
224,5581,345,772,13302
225,5466,353,802,13379
226,5332,377,821,13470
227,5193,394,874,13539
228,5097,405,865,13633
229,4987,409,891,13713
230,4877,415,910,13798
231,4764,434,924,13878
232,4657,437,963,13943
233,4518,440,1007,14035
234,4398,424,1031,14147
235,4272,422,1055,14251
236,4194,410,1050,14346
237,4088,417,1056,14439
238,4015,392,1059,14534
239,3920,385,1032,14663
240,3838,372,999,14791
241,3773,355,1003,14869
242,3683,368,979,14970
243,3627,352,982,15039
244,3558,349,958,15135
245,3500,354,937,15209
246,3451,326,916,15307
247,3410,310,904,15376
248,3346,322,876,15456
249,3315,324,852,15509
250,3275,307,834,15584
251,3242,295,818,15645
252,3224,282,798,15696
253,3199,265,786,15750
254,3172,249,769,15810
255,3187,227,752,15834
256,3169,221,736,15874
257,3159,217,732,15892
258,3174,200,710,15916
259,3159,214,663,15964
260,3157,211,643,15989
261,3152,214,612,16022
262,3150,214,596,16040
263,3137,203,601,16059
264,3141,192,589,16078
265,3146,196,558,16100
266,3148,201,529,16122
267,3172,189,524,16115
268,3183,191,525,16101
269,3205,178,519,16098
270,3216,165,529,16090
271,3212,174,520,16094
272,3220,181,507,16092
273,3251,176,477,16096
274,3292,175,472,16061
275,3326,166,460,16048
276,3380,143,454,16023
277,3409,129,439,16023
278,3443,125,415,16017
279,3464,116,415,16005
280,3503,128,395,15974
281,3549,122,391,15938
282,3573,135,382,15910
283,3595,135,388,15882
284,3630,121,381,15868
285,3676,120,374,15830
286,3708,133,358,15801
287,3724,136,357,15783
288,3765,128,360,15747
289,3794,142,344,15720
290,3840,141,327,15692
291,3864,126,325,15685
292,3886,134,341,15639
293,3937,131,332,15600
294,3971,121,354,15554
295,3995,137,353,15515
296,4033,134,352,15481
297,4083,128,332,15457
298,4127,121,326,15426
299,4148,120,326,15406
300,4186,114,332,15368
301,4205,121,340,15334
302,4243,135,324,15298
303,4267,128,342,15263
304,4289,136,323,15252
305,4333,139,326,15202
306,4354,128,337,15181
307,4370,138,331,15161
308,4413,131,331,15125
309,4431,141,318,15110
310,4461,141,321,15077
311,4513,131,338,15018
312,4539,131,341,14989
313,4561,154,336,14949
314,4605,150,337,14908
315,4629,162,352,14857
316,4636,159,366,14839
317,4658,167,368,14807
318,4660,168,388,14784
319,4681,167,405,14747
320,4692,164,387,14757
321,4702,179,374,14745
322,4698,169,397,14736
323,4700,170,418,14712
324,4711,183,426,14680
325,4727,182,444,14647
326,4729,195,442,14634
327,4726,210,466,14598
328,4743,213,476,14568
329,4742,222,471,14565
330,4748,211,485,14556
331,4732,220,469,14579
332,4721,231,471,14577
333,4719,230,493,14558
334,4709,252,499,14540
335,4702,248,508,14542
336,4715,247,539,14499
337,4683,258,545,14514
338,4666,277,541,14516
339,4645,252,557,14546
340,4641,262,553,14544
341,4631,249,558,14562
342,4635,223,585,14557
343,4630,232,583,14555
344,4586,248,610,14556
345,4554,251,621,14574
346,4573,247,625,14555
347,4534,263,658,14545
348,4521,260,672,14547
349,4472,284,677,14567
350,4421,305,689,14585
351,4386,298,707,14609
352,4342,287,727,14644
353,4319,299,730,14652
354,4298,303,720,14679
355,4286,298,727,14689
356,4232,326,730,14712
357,4217,301,729,14753
358,4169,296,741,14794
359,4129,309,722,14840
360,4114,306,715,14865
361,4076,324,695,14905
362,4057,319,727,14897
363,4078,297,714,14911
364,4058,299,702,14941
365,4045,281,706,14968
366,4023,303,698,14976
367,3994,295,722,14989
368,3966,277,748,15009
369,3963,275,739,15023
370,3925,302,726,15047
371,3913,319,715,15053
372,3895,299,734,15072
373,3910,277,719,15094
374,3935,272,698,15095
375,3915,276,696,15113
376,3893,269,720,15118
377,3892,256,717,15135
378,3892,263,716,15129
379,3893,255,722,15130
380,3899,249,709,15143
381,3876,265,709,15150
382,3872,250,705,15173
383,3877,249,698,15176
384,3916,237,706,15141
385,3914,234,685,15167
386,3916,251,653,15180
387,3929,250,657,15164
388,3933,253,629,15185
389,3941,257,607,15195
390,3938,259,597,15206
391,3932,249,624,15195
392,3945,249,603,15203
393,3970,238,599,15193
394,4007,215,609,15169
395,3990,237,599,15174
396,4007,212,607,15174
397,4010,226,573,15191
398,4026,230,606,15138
399,4035,231,585,15149
400,4049,225,597,15129
401,4046,229,585,15140
402,4067,218,573,15142
403,4100,198,577,15125
404,4104,213,578,15105
405,4135,199,575,15091
406,4138,215,574,15073
407,4147,222,572,15059
408,4144,214,585,15057
409,4162,210,598,15030
410,4184,204,613,14999
411,4173,221,606,15000
412,4182,227,594,14997
413,4189,219,602,14990
414,4174,216,619,14991
415,4180,220,630,14970
416,4192,234,635,14939
417,4188,240,640,14932
418,4182,241,662,14915
419,4177,250,662,14911
420,4156,264,639,14941
421,4156,253,656,14935
422,4157,251,655,14937
423,4130,248,671,14951
424,4158,239,666,14937
425,4162,240,659,14939
426,4170,243,649,14938
427,4202,235,635,14928
428,4191,238,648,14923
429,4169,252,633,14946
430,4159,251,650,14940
431,4140,258,658,14944
432,4124,251,688,14937
433,4129,264,666,14941
434,4128,254,701,14917
435,4096,270,696,14938
436,4096,279,682,14943
437,4102,268,683,14947
438,4080,272,696,14952
439,4071,285,680,14964
440,4051,288,710,14951
441,4045,290,704,14961
442,4061,275,694,14970
443,4053,263,684,15000
444,4034,273,697,14996
445,4037,264,679,15020
446,4038,261,660,15041
447,4027,249,678,15046
448,4011,244,675,15070
449,4000,243,696,15061
450,3974,254,691,15081
451,3971,259,692,15078
452,3953,248,711,15088
453,3929,268,695,15108
454,3900,288,679,15133
