iteration,S,E,I,R
0,19980,0,20,0
1,19968,7,22,3
2,19947,25,20,8
3,19925,36,26,13
4,19899,49,29,23
5,19870,46,59,25
6,19823,65,71,41
7,19754,88,106,52
8,19669,126,133,72
9,19550,178,174,98
10,19424,220,233,123
11,19233,295,305,167
12,18973,387,398,242
13,18671,494,522,313
14,18213,690,683,414
15,17643,889,938,530
16,16917,1158,1234,691
17,16084,1443,1567,906
18,15015,1818,2000,1167
19,13850,2111,2505,1534
20,12419,2552,3058,1971
21,10949,2914,3668,2469
22,9435,3179,4297,3089
23,7945,3349,4930,3776
24,6493,3468,5453,4586
25,5204,3344,6032,5420
26,4120,3187,6342,6351
27,3244,2951,6471,7334
28,2499,2636,6507,8358
29,1940,2286,6487,9287
30,1557,1946,6212,10285
31,1263,1629,5940,11168
32,1075,1359,5554,12012
33,919,1086,5225,12770
34,805,900,4844,13451
35,723,723,4435,14119
36,671,595,4084,14650
37,620,510,3711,15159
38,596,437,3343,15624
39,596,361,3021,16022
40,580,301,2687,16432
41,583,241,2444,16732
42,599,214,2195,16992
43,613,190,1943,17254
44,627,164,1717,17492
45,663,141,1555,17641
46,697,128,1379,17796
47,720,107,1231,17942
48,770,89,1114,18027
49,806,87,981,18126
50,841,82,870,18207
51,904,71,773,18252
52,964,61,688,18287
53,1012,54,636,18298
54,1058,51,563,18328
55,1124,41,516,18319
56,1168,51,457,18324
57,1228,42,418,18312
58,1275,48,375,18302
59,1320,39,345,18296
60,1384,35,312,18269
61,1438,33,285,18244
62,1482,34,249,18235
63,1537,33,228,18202
64,1581,32,205,18182
65,1641,31,179,18149
66,1696,27,169,18108
67,1743,30,153,18074
68,1805,22,144,18029
69,1876,20,134,17970
70,1937,22,124,17917
71,2005,24,112,17859
72,2049,20,114,17817
73,2104,22,105,17769
74,2149,20,101,17730
75,2213,18,98,17671
76,2273,22,88,17617
77,2319,29,74,17578
78,2367,25,67,17541
79,2430,22,64,17484
80,2500,20,61,17419
81,2561,13,65,17361
82,2617,9,68,17306
83,2670,12,61,17257
84,2735,10,58,17197
85,2780,9,50,17161
86,2828,12,45,17115
87,2867,13,45,17075
88,2898,13,43,17046
89,2948,13,40,16999
90,2984,14,34,16968
91,3034,12,35,16919
92,3074,12,36,16878
93,3120,13,30,16837
94,3167,14,26,16793
95,3217,8,26,16749
96,3262,8,24,16706
97,3309,7,25,16659
98,3362,7,23,16608
99,3418,7,20,16555
100,3473,7,22,16498
101,3496,7,22,16475
102,3546,7,20,16427
103,3588,7,20,16385
104,3629,6,18,16347
105,3672,5,21,16302
106,3712,7,17,16264
107,3767,5,18,16210
108,3809,6,17,16168
109,3858,5,17,16120
110,3899,6,17,16078
111,3947,8,16,16029
112,3988,8,19,15985
113,4019,10,16,15955
114,4055,11,18,15916
115,4087,8,23,15882
116,4128,4,27,15841
117,4173,6,25,15796
118,4215,4,24,15757
119,4254,6,22,15718
120,4292,8,22,15678
121,4353,5,22,15620
122,4400,5,20,15575
123,4454,4,17,15525
124,4497,4,14,15485
125,4536,5,13,15446
126,4577,6,13,15404
127,4620,6,12,15362
128,4658,4,14,15324
129,4705,3,12,15280
130,4747,5,12,15236
131,4793,5,12,15190
132,4840,5,14,15141
133,4880,10,11,15099
134,4917,9,13,15061
135,4946,10,13,15031
136,4978,8,15,14999
137,5026,9,18,14947
138,5073,7,15,14905
139,5116,8,14,14862
140,5153,3,15,14829
141,5195,3,11,14791
142,5240,3,13,14744
143,5295,7,9,14689
144,5337,6,11,14646
145,5369,9,8,14614
146,5406,7,11,14576
147,5438,7,17,14538
148,5481,10,18,14491
149,5517,15,19,14449
150,5559,13,18,14410
151,5591,11,20,14378
152,5626,7,21,14346
153,5661,7,20,14312
154,5692,11,19,14278
155,5725,10,19,14246
156,5761,11,19,14209
157,5805,14,14,14167
158,5836,11,17,14136
159,5876,10,19,14095
160,5910,9,21,14060
161,5949,13,19,14019
162,5988,11,21,13980
163,6033,11,20,13936
164,6068,13,20,13899
165,6107,11,16,13866
166,6151,9,18,13822
167,6191,12,17,13780
168,6222,14,20,13744
169,6260,12,24,13704
170,6300,11,24,13665
171,6330,7,29,13634
172,6368,5,27,13600
173,6406,8,28,13558
174,6439,12,28,13521
175,6469,11,25,13495
176,6495,16,29,13460
177,6529,20,29,13422
178,6565,21,31,13383
179,6597,18,36,13349
180,6614,21,41,13324
181,6645,22,44,13289
182,6684,21,49,13246
183,6704,25,52,13219
184,6734,26,52,13188
185,6767,26,57,13150
186,6801,27,56,13116
187,6823,28,61,13088
188,6848,29,64,13059
189,6872,33,66,13029
190,6891,35,63,13011
191,6913,42,65,12980
192,6941,36,74,12949
193,6947,48,77,12928
194,6959,52,87,12902
195,6968,53,102,12877
196,6979,60,109,12852
197,6994,61,114,12831
198,6990,77,125,12808
199,6976,84,138,12802
200,6964,91,151,12794
201,6954,96,165,12785
202,6955,91,179,12775
203,6930,110,190,12770
204,6896,109,219,12776
205,6868,129,230,12773
206,6848,138,250,12764
207,6823,147,262,12768
208,6785,144,305,12766
209,6727,157,335,12781
210,6693,175,345,12787
211,6629,199,367,12805
212,6573,212,380,12835
213,6513,224,415,12848
214,6451,240,422,12887
215,6389,268,429,12914
216,6325,253,471,12951
217,6281,247,491,12981
218,6205,254,527,13014
219,6113,283,562,13042
220,6019,297,577,13107
221,5922,298,616,13164
222,5824,319,649,13208
223,5718,331,669,13282
224,5623,332,713,13332
225,5513,346,735,13406
226,5404,350,775,13471
227,5275,389,783,13553
228,5157,391,815,13637
229,5031,409,841,13719
230,4916,410,869,13805
231,4820,380,891,13909
232,4711,395,915,13979
233,4591,416,924,14069
234,4507,404,944,14145
235,4405,375,976,14244
236,4320,363,972,14345
237,4208,360,1005,14427
238,4102,381,993,14524
239,4004,405,995,14596
240,3909,394,990,14707
241,3820,400,984,14796
242,3744,379,998,14879
243,3653,366,989,14992
244,3600,327,1012,15061
245,3529,348,982,15141
246,3467,342,953,15238
247,3394,327,931,15348
248,3359,298,929,15414
249,3310,293,916,15481
250,3268,283,893,15556
251,3220,281,862,15637
252,3189,279,812,15720
253,3177,257,792,15774
254,3117,279,766,15838
255,3101,264,739,15896
256,3085,246,729,15940
257,3067,231,718,15984
258,3058,232,685,16025
259,3056,218,674,16052
260,3046,207,664,16083
261,3046,196,652,16106
262,3051,192,644,16113
263,3042,190,626,16142
264,3051,180,623,16146
265,3065,179,604,16152
266,3073,177,598,16152
267,3069,185,579,16167
268,3074,181,551,16194
269,3105,162,527,16206
270,3128,151,517,16204
271,3170,156,480,16194
272,3182,150,469,16199
273,3220,149,455,16176
274,3243,151,436,16170
275,3255,157,425,16163
276,3283,149,407,16161
277,3306,146,395,16153
278,3345,123,388,16144
279,3378,130,370,16122
280,3406,139,368,16087
281,3446,133,371,16050
282,3499,117,359,16025
283,3531,118,353,15998
284,3564,128,340,15968
285,3593,129,321,15957
286,3642,125,300,15933
287,3684,120,302,15894
288,3738,98,298,15866
289,3790,95,289,15826
290,3832,97,283,15788
291,3888,90,279,15743
292,3951,91,274,15684
293,3991,101,263,15645
294,4030,94,260,15616
295,4078,91,246,15585
296,4107,94,255,15544
297,4125,102,244,15529
298,4178,95,260,15467
299,4204,101,276,15419
300,4238,114,265,15383
301,4269,113,280,15338
302,4296,121,275,15308
303,4330,124,257,15289
304,4363,118,245,15274
305,4408,109,249,15234
306,4438,109,247,15206
307,4481,100,248,15171
308,4510,105,251,15134
309,4561,100,249,15090
310,4609,103,255,15033
311,4661,105,246,14988
312,4692,108,255,14945
313,4743,112,255,14890
314,4747,123,257,14873
315,4800,126,255,14819
316,4853,117,263,14767
317,4882,118,266,14734
318,4922,121,264,14693
319,4946,117,279,14658
320,4970,130,286,14614
321,4994,129,295,14582
322,5018,125,311,14546
323,5028,123,304,14545
324,5046,118,309,14527
325,5044,130,317,14509
326,5068,130,316,14486
327,5077,141,309,14473
328,5095,145,313,14447
329,5109,151,326,14414
330,5129,155,342,14374
331,5127,161,369,14343
332,5115,170,364,14351
333,5135,166,379,14320
334,5143,168,377,14312
335,5151,173,387,14289
336,5149,187,379,14285
337,5159,166,418,14257
338,5152,189,426,14233
339,5136,208,428,14228
340,5122,205,471,14202
341,5103,211,492,14194
342,5093,217,488,14202
343,5072,231,492,14205
344,5045,247,489,14219
345,5018,246,518,14218
346,5028,241,522,14209
347,5018,257,520,14205
348,5006,245,545,14204
349,5011,229,547,14213
350,4995,244,540,14221
351,5004,221,572,14203
352,4998,240,583,14179
353,4979,249,591,14181
354,4964,245,588,14203
355,4942,269,598,14191
356,4929,275,612,14184
357,4898,282,638,14182
358,4855,302,650,14193
359,4819,299,683,14199
360,4781,297,712,14210
361,4741,306,722,14231
362,4688,302,749,14261
363,4665,302,751,14282
364,4609,314,768,14309
365,4576,325,761,14338
366,4555,306,766,14373
367,4539,320,750,14391
368,4516,306,771,14407
369,4501,297,779,14423
370,4443,293,777,14487
371,4405,314,764,14517
372,4362,305,784,14549
373,4308,322,777,14593
374,4282,320,781,14617
375,4264,314,765,14657
376,4221,299,801,14679
377,4215,300,775,14710
378,4169,313,802,14716
379,4140,318,792,14750
380,4113,316,792,14779
381,4087,318,787,14808
382,4049,328,816,14807
383,4030,311,818,14841
384,3992,324,805,14879
385,3954,312,804,14930
386,3924,308,809,14959
387,3919,281,815,14985
388,3869,294,817,15020
389,3870,308,800,15022
390,3867,293,795,15045
391,3869,289,804,15038
392,3840,265,816,15079
393,3826,271,805,15098
394,3784,280,814,15122
395,3770,281,788,15161
396,3752,283,770,15195
397,3766,274,794,15166
398,3745,285,778,15192
399,3745,297,762,15196
400,3739,303,745,15213
401,3733,278,753,15236
402,3743,249,745,15263
403,3771,230,726,15273
404,3757,249,695,15299
405,3780,245,683,15292
406,3789,254,655,15302
407,3795,253,654,15298
408,3797,244,646,15313
409,3794,252,629,15325
410,3798,246,633,15323
411,3812,231,634,15323
412,3806,233,636,15325
413,3831,223,649,15297
414,3818,213,640,15329
415,3832,219,620,15329
416,3832,217,623,15328
417,3838,225,603,15334
418,3871,216,594,15319
419,3860,222,572,15346
420,3875,221,575,15329
421,3882,219,582,15317
422,3889,221,595,15295
423,3874,233,584,15309
424,3886,222,582,15310
425,3912,208,597,15283
426,3925,218,577,15280
427,3924,214,573,15289
428,3928,223,564,15285
429,3941,203,557,15299
430,3954,195,565,15286
431,3962,195,560,15283
432,3979,197,554,15270
433,4009,203,537,15251
434,4009,197,538,15256
435,4014,203,522,15261
436,4027,213,524,15236
437,4079,200,526,15195
438,4108,201,524,15167
439,4120,197,541,15142
440,4151,190,525,15134
441,4163,198,527,15112
442,4165,208,507,15120
443,4183,206,515,15096
444,4191,203,526,15080
445,4214,200,511,15075
446,4226,211,510,15053
447,4236,213,493,15058
448,4236,218,506,15040
449,4258,210,512,15020
450,4279,216,507,14998
451,4288,222,511,14979
452,4285,231,505,14979
453,4295,232,511,14962
454,4326,225,496,14953
455,4322,227,514,14937
456,4344,227,508,14921
457,4327,229,528,14916
458,4321,245,523,14911
459,4344,216,548,14892
460,4348,235,536,14881
461,4377,205,582,14836
462,4358,224,578,14840
463,4371,236,569,14824
464,4362,248,574,14816
465,4367,228,577,14828
466,4374,217,578,14831
467,4378,226,573,14823
468,4383,213,578,14826
469,4371,218,577,14834
470,4341,237,584,14838
471,4313,259,581,14847
472,4312,256,598,14834
473,4331,238,588,14843
474,4311,230,616,14843
475,4320,216,604,14860
476,4290,229,607,14874
477,4321,214,588,14877
478,4316,217,591,14876
479,4318,228,569,14885
480,4306,224,588,14882
481,4294,242,584,14880
482,4294,240,604,14862
483,4264,255,600,14881
484,4251,241,616,14892
485,4232,240,618,14910
486,4224,240,643,14893
487,4227,244,629,14900
488,4189,262,631,14918
489,4156,291,611,14942
490,4123,271,660,14946
491,4101,281,649,14969
492,4091,264,662,14983
493,4079,270,653,14998
494,4054,264,652,15030
495,4043,262,637,15058
496,4030,257,642,15071
497,4046,245,641,15068
498,4009,246,654,15091
499,4003,233,666,15098
500,3981,241,652,15126
501,3961,253,622,15164
