iteration,S,E,I,R
0,19980,0,20,0
1,19958,15,26,1
2,19943,22,31,4
3,19916,36,37,11
4,19880,51,52,17
5,19828,75,72,25
6,19770,100,90,40
7,19681,133,130,56
8,19572,161,183,84
9,19412,238,235,115
10,19213,313,318,156
11,18889,446,461,204
12,18514,586,600,300
13,17967,794,822,417
14,17322,1056,1065,557
15,16556,1317,1372,755
16,15547,1643,1822,988
17,14413,2025,2229,1333
18,13094,2443,2752,1711
19,11656,2817,3346,2181
20,10094,3191,3974,2741
21,8557,3403,4640,3400
22,7031,3509,5306,4154
23,5695,3472,5892,4941
24,4505,3328,6341,5826
25,3526,3074,6593,6807
26,2734,2792,6643,7831
27,2128,2449,6593,8830
28,1688,2072,6467,9773
29,1365,1727,6218,10690
30,1102,1422,5922,11554
31,945,1167,5524,12364
32,804,957,5145,13094
33,716,768,4704,13812
34,655,624,4295,14426
35,620,522,3887,14971
36,599,419,3509,15473
37,582,330,3178,15910
38,580,283,2788,16349
39,605,228,2477,16690
40,609,196,2192,17003
41,616,181,1942,17261
42,656,135,1738,17471
43,702,128,1535,17635
44,739,114,1358,17789
45,757,109,1230,17904
46,790,101,1096,18013
47,808,99,981,18112
48,847,82,860,18211
49,895,74,768,18263
50,952,69,685,18294
51,1006,58,613,18323
52,1060,62,548,18330
53,1116,54,489,18341
54,1183,51,435,18331
55,1234,41,404,18321
56,1265,38,391,18306
57,1318,39,352,18291
58,1354,41,312,18293
59,1416,40,289,18255
60,1474,37,253,18236
61,1520,40,220,18220
62,1564,31,208,18197
63,1619,29,193,18159
64,1655,29,167,18149
65,1704,27,145,18124
66,1755,21,136,18088
67,1820,22,119,18039
68,1887,16,113,17984
69,1941,16,100,17943
70,2007,14,92,17887
71,2060,19,78,17843
72,2108,15,70,17807
73,2157,19,61,17763
74,2198,18,58,17726
75,2244,18,51,17687
76,2303,16,47,17634
77,2346,17,50,17587
78,2393,20,47,17540
79,2443,17,48,17492
80,2477,15,46,17462
81,2546,15,39,17400
82,2607,16,39,17338
83,2665,13,38,17284
84,2725,14,37,17224
85,2768,16,35,17181
86,2818,16,35,17131
87,2869,12,33,17086
88,2915,11,31,17043
89,2962,14,32,16992
90,3012,11,30,16947
91,3059,9,29,16903
92,3109,8,25,16858
93,3153,6,24,16817
94,3212,5,23,16760
95,3253,8,21,16718
96,3295,6,22,16677
97,3329,5,19,16647
98,3379,8,17,16596
99,3426,7,20,16547
100,3469,6,20,16505
101,3516,8,20,16456
102,3566,8,19,16407
103,3611,8,19,16362
104,3655,7,21,16317
105,3695,6,23,16276
106,3746,8,20,16226
107,3800,6,24,16170
108,3852,6,22,16120
109,3898,7,21,16074
110,3939,11,21,16029
111,3985,7,24,15984
112,4019,9,21,15951
113,4061,8,23,15908
114,4109,8,23,15860
115,4149,5,22,15824
116,4173,4,25,15798
117,4209,4,26,15761
118,4241,8,31,15720
119,4275,12,27,15686
120,4317,10,29,15644
121,4349,8,30,15613
122,4391,7,26,15576
123,4414,11,22,15553
124,4458,10,23,15509
125,4496,11,25,15468
126,4533,12,27,15428
127,4570,12,29,15389
128,4613,13,27,15347
129,4664,10,30,15296
130,4698,11,29,15262
131,4743,7,28,15222
132,4789,6,24,15181
133,4826,8,23,15143
134,4861,9,29,15101
135,4892,11,31,15066
136,4925,12,33,15030
137,4971,14,31,14984
138,5013,10,29,14948
139,5040,17,27,14916
140,5082,14,31,14873
141,5120,10,34,14836
142,5158,14,36,14792
143,5193,20,36,14751
144,5226,21,35,14718
145,5265,24,41,14670
146,5297,19,42,14642
147,5332,18,48,14602
148,5362,16,46,14576
149,5394,20,37,14549
150,5435,17,37,14511
151,5472,17,39,14472
152,5506,18,42,14434
153,5543,14,48,14395
154,5573,14,45,14368
155,5607,18,46,14329
156,5635,21,48,14296
157,5654,27,50,14269
158,5681,26,59,14234
159,5683,39,60,14218
160,5707,36,66,14191
161,5727,43,68,14162
162,5758,42,71,14129
163,5782,47,71,14100
164,5810,42,77,14071
165,5823,39,91,14047
166,5840,37,99,14024
167,5850,41,101,14008
168,5870,44,106,13980
169,5883,45,112,13960
170,5909,48,114,13929
171,5921,58,116,13905
172,5925,57,133,13885
173,5942,51,149,13858
174,5936,66,156,13842
175,5943,70,156,13831
176,5970,66,160,13804
177,5973,77,149,13801
178,5980,85,166,13769
179,5979,80,179,13762
180,5994,79,185,13742
181,6002,81,189,13728
182,6001,76,199,13724
183,6009,95,200,13696
184,6019,97,208,13676
185,6002,106,210,13682
186,5978,121,212,13689
187,5975,123,222,13680
188,5953,141,236,13670
189,5967,133,247,13653
190,5941,139,253,13667
191,5948,132,256,13664
192,5920,145,268,13667
193,5900,134,286,13680
194,5878,146,303,13673
195,5841,160,308,13691
196,5799,164,333,13704
197,5768,171,364,13697
198,5730,165,396,13709
199,5692,187,407,13714
200,5637,205,429,13729
201,5579,209,446,13766
202,5513,222,481,13784
203,5456,232,500,13812
204,5391,250,523,13836
205,5334,252,549,13865
206,5246,268,589,13897
207,5170,279,609,13942
208,5083,295,619,14003
209,5005,296,647,14052
210,4930,300,678,14092
211,4856,333,645,14166
212,4750,340,715,14195
213,4662,337,741,14260
214,4579,323,766,14332
215,4513,327,758,14402
216,4434,313,774,14479
217,4349,330,784,14537
218,4281,326,782,14611
219,4222,324,788,14666
220,4169,327,785,14719
221,4087,328,787,14798
222,4016,337,778,14869
223,3968,316,775,14941
224,3922,280,791,15007
225,3854,296,769,15081
226,3827,284,765,15124
227,3796,290,728,15186
228,3768,267,734,15231
229,3733,248,730,15289
