iteration,S,E,I,R
0,19980,0,20,0
1,19961,15,24,0
2,19937,28,34,1
3,19912,39,41,8
4,19872,54,59,15
5,19832,72,69,27
6,19775,93,88,44
7,19677,138,126,59
8,19585,178,155,82
9,19453,235,208,104
10,19299,282,279,140
11,19025,397,380,198
12,18728,514,495,263
13,18304,650,691,355
14,17750,861,898,491
15,17030,1122,1218,630
16,16152,1429,1560,859
17,15104,1789,1973,1134
18,13872,2155,2496,1477
19,12462,2512,3100,1926
20,10938,2981,3591,2490
21,9343,3296,4231,3130
22,7815,3434,4930,3821
23,6362,3477,5498,4663
24,5126,3441,5880,5553
25,4084,3158,6261,6497
26,3199,2919,6452,7430
27,2542,2591,6459,8408
28,2005,2226,6436,9333
29,1618,1923,6179,10280
30,1320,1653,5868,11159
31,1093,1345,5657,11905
32,948,1099,5268,12685
33,820,884,4887,13409
34,725,753,4468,14054
35,647,600,4131,14622
36,597,484,3755,15164
37,577,387,3425,15611
38,561,330,3080,16029
39,587,263,2787,16363
40,581,238,2476,16705
41,603,199,2208,16990
42,619,167,1979,17235
43,647,144,1768,17441
44,667,112,1581,17640
45,694,102,1408,17796
46,730,88,1261,17921
47,776,82,1125,18017
48,813,78,1002,18107
49,860,65,912,18163
50,906,58,806,18230
51,969,46,708,18277
52,1021,42,611,18326
53,1071,40,528,18361
54,1134,43,458,18365
55,1181,41,411,18367
56,1246,38,358,18358
57,1290,43,298,18369
58,1334,41,266,18359
59,1385,35,247,18333
60,1436,24,234,18306
61,1488,30,204,18278
62,1545,32,201,18222
63,1592,31,186,18191
64,1646,37,172,18145
65,1682,39,168,18111
66,1736,36,150,18078
67,1797,32,143,18028
68,1853,26,123,17998
69,1907,21,120,17952
70,1957,19,111,17913
71,2013,16,106,17865
72,2060,14,97,17829
73,2108,14,89,17789
74,2159,17,82,17742
75,2220,15,77,17688
76,2279,15,67,17639
77,2328,11,62,17599
78,2377,9,59,17555
79,2439,9,52,17500
80,2493,9,44,17454
81,2546,9,38,17407
82,2596,9,37,17358
83,2655,9,38,17298
84,2705,9,36,17250
85,2765,9,29,17197
86,2817,8,31,17144
87,2874,8,26,17092
88,2924,11,24,17041
89,2962,10,25,17003
90,3004,12,21,16963
91,3051,7,30,16912
92,3111,5,26,16858
93,3172,4,23,16801
94,3219,1,23,16757
95,3266,1,20,16713
96,3323,2,19,16656
97,3361,5,15,16619
98,3406,4,14,16576
99,3456,4,13,16527
100,3514,3,11,16472
101,3564,4,12,16420
102,3612,7,12,16369
103,3652,5,15,16328
104,3693,7,16,16284
105,3739,8,17,16236
106,3775,9,14,16202
107,3832,11,14,16143
108,3867,12,14,16107
109,3907,9,14,16070
110,3945,9,11,16035
111,3989,7,12,15992
112,4026,4,10,15960
113,4076,6,10,15908
114,4133,4,11,15852
115,4180,5,11,15804
116,4235,5,10,15750
117,4289,4,11,15696
118,4331,5,6,15658
119,4381,5,5,15609
120,4423,6,4,15567
121,4459,3,9,15529
122,4496,4,8,15492
123,4531,4,9,15456
124,4568,4,11,15417
125,4605,5,12,15378
126,4653,9,9,15329
127,4696,10,10,15284
128,4735,7,12,15246
129,4779,7,10,15204
130,4816,7,10,15167
131,4854,4,12,15130
132,4891,5,13,15091
133,4934,6,13,15047
134,4963,9,16,15012
135,4996,11,17,14976
136,5037,9,15,14939
137,5080,9,18,14893
138,5122,8,22,14848
139,5154,10,26,14810
140,5196,10,22,14772
141,5237,10,20,14733
142,5286,11,17,14686
143,5322,8,20,14650
144,5362,9,23,14606
145,5392,10,24,14574
146,5427,10,26,14537
147,5464,8,26,14502
148,5500,11,23,14466
149,5543,11,23,14423
150,5588,12,22,14378
151,5626,10,22,14342
152,5652,9,24,14315
153,5687,5,31,14277
154,5704,10,31,14255
155,5742,7,34,14217
156,5784,3,36,14177
157,5826,9,33,14132
158,5858,12,37,14093
159,5884,19,34,14063
160,5915,17,41,14027
161,5951,16,38,13995
162,5985,17,34,13964
163,6020,17,40,13923
164,6056,17,42,13885
165,6094,17,39,13850
166,6110,22,44,13824
167,6137,21,46,13796
168,6151,29,50,13770
169,6180,29,52,13739
170,6200,26,59,13715
171,6218,32,60,13690
172,6239,38,58,13665
173,6267,40,64,13629
174,6286,38,77,13599
175,6307,36,79,13578
176,6321,46,82,13551
177,6333,53,85,13529
178,6341,48,98,13513
179,6363,49,110,13478
180,6372,49,118,13461
181,6396,49,115,13440
182,6419,50,119,13412
183,6431,58,121,13390
184,6443,70,132,13355
185,6447,78,143,13332
186,6454,80,154,13312
187,6460,76,159,13305
188,6449,85,183,13283
189,6437,92,192,13279
190,6423,97,206,13274
191,6394,110,214,13282
192,6374,124,227,13275
193,6354,120,247,13279
194,6329,133,261,13277
195,6305,133,280,13282
196,6290,146,271,13293
197,6261,149,305,13285
198,6220,161,331,13288
199,6179,174,368,13279
200,6132,171,398,13299
201,6104,171,409,13316
202,6042,180,437,13341
203,5980,208,453,13359
204,5917,220,480,13383
205,5846,242,496,13416
206,5769,259,520,13452
207,5688,282,555,13475
208,5594,298,603,13505
209,5500,314,629,13557
210,5395,336,646,13623
