iteration,S,E,I,R
0,19980,0,20,0
1,19969,9,19,3
2,19956,17,20,7
3,19941,25,24,10
4,19915,36,35,14
5,19874,50,58,18
6,19812,83,80,25
7,19731,115,116,38
8,19633,152,155,60
9,19485,210,218,87
10,19310,263,301,126
11,19030,379,405,186
12,18733,482,523,262
13,18327,629,689,355
14,17821,841,868,470
15,17109,1130,1138,623
16,16289,1445,1442,824
17,15234,1800,1893,1073
18,14029,2159,2387,1425
19,12697,2519,2950,1834
20,11146,2941,3566,2347
21,9599,3215,4169,3017
22,8069,3397,4789,3745
23,6685,3426,5351,4538
24,5475,3356,5772,5397
25,4356,3189,6157,6298
26,3419,2970,6364,7247
27,2661,2676,6504,8159
28,2067,2311,6494,9128
29,1655,2023,6233,10089
30,1340,1735,5973,10952
31,1097,1460,5671,11772
32,939,1193,5271,12597
33,831,986,4918,13265
34,735,811,4539,13915
35,668,652,4182,14498
36,629,529,3802,15040
37,604,421,3443,15532
38,580,346,3104,15970
39,572,302,2780,16346
40,581,239,2512,16668
41,599,204,2254,16943
42,625,174,1978,17223
43,653,147,1735,17465
44,684,132,1539,17645
45,726,107,1385,17782
46,758,97,1222,17923
47,788,76,1069,18067
48,819,76,943,18162
49,857,75,813,18255
50,918,60,724,18298
51,959,55,640,18346
52,1006,53,571,18370
53,1059,58,503,18380
54,1124,59,435,18382
55,1189,45,403,18363
56,1238,38,364,18360
57,1298,27,333,18342
58,1346,32,298,18324
59,1403,36,266,18295
60,1453,32,243,18272
61,1500,32,225,18243
62,1564,30,206,18200
63,1625,32,188,18155
64,1686,31,170,18113
65,1726,31,156,18087
66,1785,27,152,18036
67,1836,34,138,17992
68,1874,33,137,17956
69,1933,28,124,17915
70,1974,24,122,17880
71,2013,26,111,17850
72,2061,19,98,17822
73,2110,19,88,17783
74,2153,21,84,17742
75,2189,20,83,17708
76,2232,14,80,17674
77,2284,16,71,17629
78,2325,13,63,17599
79,2370,16,54,17560
80,2417,12,52,17519
81,2474,13,46,17467
82,2522,17,37,17424
83,2574,17,33,17376
84,2629,15,34,17322
85,2670,12,38,17280
86,2720,9,33,17238
87,2754,8,33,17205
88,2802,8,25,17165
89,2853,7,21,17119
90,2899,8,21,17072
91,2941,6,19,17034
92,2992,8,19,16981
93,3047,10,19,16924
94,3090,10,16,16884
95,3137,6,18,16839
96,3189,6,15,16790
97,3234,4,15,16747
98,3286,1,18,16695
99,3331,3,15,16651
100,3380,3,13,16604
101,3427,2,13,16558
102,3479,2,12,16507
103,3525,2,13,16460
104,3570,2,13,16415
105,3626,3,14,16357
106,3672,1,16,16311
107,3724,2,13,16261
108,3769,3,12,16216
109,3824,3,11,16162
110,3883,2,11,16104
111,3943,5,10,16042
112,3994,4,9,15993
113,4045,5,9,15941
114,4091,5,8,15896
115,4124,4,8,15864
116,4164,3,7,15826
117,4202,2,8,15788
118,4253,2,8,15737
119,4289,2,8,15701
120,4325,3,7,15665
121,4356,5,7,15632
122,4402,3,8,15587
123,4446,3,8,15543
124,4488,3,11,15498
125,4532,1,9,15458
126,4570,3,9,15418
127,4606,3,7,15384
128,4645,6,6,15343
129,4684,7,6,15303
130,4731,5,9,15255
131,4762,6,9,15223
132,4801,4,12,15183
133,4843,3,14,15140
134,4883,3,12,15102
135,4927,3,12,15058
136,4971,2,10,15017
137,5009,2,10,14979
138,5042,2,11,14945
139,5087,4,7,14902
140,5127,6,6,14861
