iteration,S,E,I,R
0,19980,0,20,0
1,19966,6,27,1
2,19949,17,30,4
3,19928,31,31,10
4,19899,48,36,17
5,19865,59,53,23
6,19803,81,82,34
7,19716,119,115,50
8,19604,162,162,72
9,19464,217,222,97
10,19260,302,302,136
11,19001,414,389,196
12,18717,508,509,266
13,18316,649,686,349
14,17756,845,919,480
15,17101,1061,1197,641
16,16216,1404,1514,866
17,15187,1741,1942,1130
18,13979,2126,2414,1481
19,12643,2499,2955,1903
20,11135,2877,3579,2409
21,9630,3168,4181,3021
22,8025,3321,4965,3689
23,6537,3466,5502,4495
24,5217,3454,6029,5300
25,4105,3280,6372,6243
26,3217,3020,6517,7246
27,2451,2712,6615,8222
28,1899,2356,6522,9223
29,1505,1969,6421,10105
30,1227,1650,6086,11037
31,1011,1383,5692,11914
32,866,1120,5327,12687
33,748,926,4936,13390
34,661,759,4533,14047
35,594,628,4139,14639
36,558,496,3764,15182
37,520,406,3403,15671
38,517,327,3053,16103
39,522,272,2755,16451
40,537,225,2458,16780
41,557,182,2203,17058
42,578,161,1944,17317
43,613,126,1747,17514
44,654,124,1539,17683
45,688,130,1359,17823
46,724,114,1226,17936
47,763,102,1083,18052
48,792,104,951,18153
49,842,94,822,18242
50,881,83,722,18314
51,930,68,680,18322
52,970,64,594,18372
53,1019,62,529,18390
54,1074,52,469,18405
55,1141,50,419,18390
56,1193,48,380,18379
57,1253,48,337,18362
58,1294,46,295,18365
59,1336,32,288,18344
60,1391,33,264,18312
61,1439,27,233,18301
62,1503,23,196,18278
63,1565,22,163,18250
64,1623,24,144,18209
65,1682,19,136,18163
66,1752,17,121,18110
67,1801,16,107,18076
68,1850,23,93,18034
69,1911,19,88,17982
70,1957,18,77,17948
71,2008,14,75,17903
72,2080,13,71,17836
73,2126,14,65,17795
74,2194,12,55,17739
75,2249,9,58,17684
76,2305,10,54,17631
77,2359,11,43,17587
78,2407,10,38,17545
79,2458,8,37,17497
80,2520,11,35,17434
81,2568,9,33,17390
82,2616,10,28,17346
