iteration,S,E,I,R
0,19980,0,20,0
1,19962,14,23,1
2,19942,27,23,8
3,19920,33,35,12
4,19906,35,38,21
5,19874,46,53,27
6,19830,72,64,34
7,19772,96,86,46
8,19685,130,128,57
9,19578,167,173,82
10,19435,224,220,121
11,19269,284,284,163
12,19026,383,369,222
13,18701,515,504,280
14,18262,687,682,369
15,17722,877,901,500
16,17047,1118,1156,679
17,16141,1436,1523,900
18,15092,1780,1948,1180
19,13851,2154,2499,1496
20,12386,2562,3162,1890
21,10903,2899,3763,2435
22,9334,3255,4378,3033
23,7761,3479,5014,3746
24,6329,3565,5549,4557
25,5097,3413,6118,5372
26,4005,3206,6476,6313
27,3101,2957,6650,7292
28,2391,2633,6705,8271
29,1902,2198,6665,9235
30,1484,1877,6447,10192
31,1230,1603,6129,11038
32,1032,1311,5756,11901
33,853,1102,5381,12664
34,735,883,4994,13388
35,667,699,4594,14040
36,605,566,4172,14657
37,572,475,3746,15207
38,538,391,3390,15681
39,543,311,3015,16131
40,535,257,2701,16507
41,530,216,2393,16861
42,554,184,2113,17149
43,572,161,1889,17378
44,630,136,1691,17543
45,666,116,1531,17687
46,698,99,1364,17839
47,748,86,1208,17958
48,792,85,1057,18066
49,835,74,932,18159
50,872,78,814,18236
51,910,66,733,18291
52,945,66,650,18339
53,987,53,570,18390
54,1045,43,504,18408
55,1096,48,442,18414
56,1146,45,402,18407
57,1190,45,351,18414
58,1235,46,323,18396
59,1294,42,288,18376
60,1344,36,261,18359
61,1405,31,226,18338
62,1475,29,202,18294
63,1543,24,194,18239
64,1612,22,175,18191
65,1667,12,168,18153
66,1737,15,146,18102
67,1793,16,132,18059
68,1859,23,110,18008
69,1913,25,102,17960
70,1966,23,96,17915
71,2013,23,88,17876
72,2062,23,86,17829
73,2112,22,85,17781
74,2169,28,74,17729
75,2223,26,73,17678
76,2284,24,64,17628
77,2339,19,66,17576
78,2398,17,64,17521
79,2452,16,62,17470
80,2511,18,54,17417
81,2564,17,56,17363
82,2630,18,50,17302
83,2697,15,49,17239
84,2751,13,48,17188
85,2796,13,48,17143
86,2836,16,47,17101
87,2903,12,48,17037
88,2956,13,43,16988
89,3000,10,41,16949
90,3033,12,39,16916
91,3077,9,37,16877
92,3136,6,37,16821
93,3179,9,35,16777
94,3229,8,35,16728
95,3277,10,30,16683
96,3312,13,27,16648
97,3350,14,24,16612
98,3397,12,26,16565
99,3435,15,24,16526
100,3480,16,23,16481
101,3529,9,30,16432
102,3575,14,26,16385
103,3633,13,26,16328
104,3674,10,24,16292
105,3713,7,22,16258
106,3769,6,23,16202
107,3812,11,18,16159
108,3852,8,18,16122
109,3898,7,15,16080
110,3950,5,15,16030
111,3995,9,11,15985
112,4043,12,11,15934
113,4101,9,16,15874
114,4137,9,15,15839
115,4190,7,13,15790
116,4233,6,12,15749
117,4275,6,13,15706
118,4308,8,12,15672
119,4357,7,11,15625
120,4396,7,13,15584
121,4445,8,11,15536
122,4485,6,10,15499
123,4525,5,10,15460
124,4578,5,12,15405
125,4619,6,11,15364
126,4666,5,10,15319
127,4696,8,8,15288
128,4742,9,8,15241
129,4787,9,9,15195
130,4838,9,9,15144
131,4876,9,10,15105
132,4918,7,10,15065
133,4954,9,10,15027
134,4998,10,11,14981
135,5039,9,11,14941
136,5077,7,12,14904
137,5133,5,12,14850
