iteration,S,E,I,R
0,19980,0,20,0
1,19968,12,19,1
2,19954,22,21,3
3,19938,30,25,7
4,19913,44,31,12
5,19883,59,45,13
6,19848,68,70,14
7,19789,106,81,24
8,19722,147,98,33
9,19636,184,134,46
10,19545,227,166,62
11,19404,299,218,79
12,19213,394,286,107
13,18976,515,353,156
14,18668,683,440,209
15,18307,847,573,273
16,17811,1106,736,347
17,17211,1378,974,437
18,16466,1741,1237,556
19,15579,2124,1589,708
20,14450,2628,2014,908
21,13212,3123,2461,1204
22,11873,3593,3005,1529
23,10448,4028,3629,1895
24,8874,4437,4329,2360
25,7441,4646,4984,2929
26,6067,4697,5645,3591
27,4814,4645,6237,4304
28,3725,4476,6714,5085
29,2813,4167,7107,5913
30,2138,3709,7259,6894
31,1603,3219,7331,7847
32,1214,2722,7290,8774
33,938,2286,7005,9771
34,711,1865,6752,10672
35,585,1505,6365,11545
36,513,1189,5972,12326
37,462,961,5495,13082
38,406,765,5051,13778
39,364,620,4659,14357
40,338,518,4203,14941
41,342,434,3759,15465
42,345,357,3363,15935
43,354,289,3021,16336
44,367,260,2688,16685
45,390,218,2386,17006
46,408,177,2146,17269
47,419,165,1891,17525
48,461,143,1702,17694
49,502,120,1492,17886
50,536,110,1330,18024
51,601,101,1194,18104
52,640,102,1054,18204
53,693,88,929,18290
54,741,80,824,18355
55,785,81,747,18387
56,841,81,653,18425
57,883,78,593,18446
58,928,83,536,18453
59,992,72,472,18464
60,1063,60,427,18450
61,1113,59,385,18443
62,1175,68,347,18410
63,1224,55,323,18398
64,1288,51,286,18375
65,1342,48,271,18339
66,1383,51,247,18319
67,1439,41,236,18284
68,1483,35,207,18275
69,1528,33,182,18257
70,1578,34,160,18228
71,1629,29,141,18201
72,1682,35,133,18150
73,1731,30,131,18108
74,1783,22,123,18072
75,1837,17,116,18030
76,1887,17,108,17988
77,1942,18,97,17943
78,2000,24,86,17890
79,2067,17,89,17827
80,2132,16,77,17775
81,2188,16,70,17726
82,2237,18,67,17678
83,2291,20,65,17624
84,2338,23,57,17582
85,2387,16,56,17541
86,2436,13,53,17498
87,2488,9,46,17457
88,2542,10,36,17412
89,2605,10,32,17353
90,2674,10,31,17285
91,2726,14,30,17230
92,2771,14,27,17188
93,2815,15,26,17144
94,2871,12,29,17088
95,2928,15,22,17035
96,2974,6,27,16993
