iteration,S,E,I,R
0,19980,0,20,0
1,19969,11,17,3
2,19943,32,20,5
3,19923,37,32,8
4,19894,51,38,17
5,19865,70,42,23
6,19829,78,65,28
7,19773,119,69,39
8,19715,137,102,46
9,19617,199,123,61
10,19507,256,161,76
11,19371,329,197,103
12,19202,400,278,120
13,18946,543,362,149
14,18631,700,464,205
15,18229,898,606,267
16,17710,1134,817,339
17,17045,1492,1016,447
18,16281,1844,1296,579
19,15405,2201,1640,754
20,14313,2656,2074,957
21,13092,3085,2591,1232
22,11729,3593,3061,1617
23,10210,4088,3674,2028
24,8777,4369,4342,2512
25,7339,4582,4992,3087
26,5956,4722,5559,3763
27,4776,4630,6095,4499
28,3751,4341,6629,5279
29,2850,4030,6950,6170
30,2215,3544,7134,7107
31,1707,3074,7141,8078
32,1291,2637,7061,9011
33,1014,2231,6814,9941
34,783,1841,6561,10815
35,627,1521,6192,11660
36,528,1196,5825,12451
37,466,943,5375,13216
38,418,719,4978,13885
39,384,599,4557,14460
40,357,505,4132,15006
41,358,404,3721,15517
42,356,340,3343,15961
43,364,281,3024,16331
44,388,241,2690,16681
45,393,213,2444,16950
46,423,192,2187,17198
47,443,176,1933,17448
48,494,161,1722,17623
49,549,142,1519,17790
50,589,114,1352,17945
51,618,118,1207,18057
52,649,132,1055,18164
53,700,115,965,18220
54,752,105,868,18275
55,781,109,780,18330
56,825,117,705,18353
57,866,101,658,18375
58,919,100,580,18401
59,951,98,528,18423
60,1008,89,484,18419
61,1051,88,429,18432
62,1115,78,380,18427
63,1178,78,344,18400
64,1246,67,316,18371
65,1298,62,284,18356
66,1359,60,270,18311
67,1397,57,246,18300
68,1453,52,218,18277
69,1505,56,199,18240
70,1560,50,180,18210
71,1605,46,170,18179
72,1667,42,163,18128
73,1711,41,147,18101
74,1773,28,139,18060
75,1834,27,127,18012
76,1893,35,113,17959
77,1950,30,109,17911
78,2020,34,96,17850
79,2069,32,87,17812
80,2118,33,77,17772
81,2166,28,70,17736
82,2226,24,64,17686
83,2292,19,67,17622
84,2334,22,62,17582
85,2397,22,55,17526
86,2470,21,53,17456
87,2532,16,52,17400
88,2581,20,42,17357
89,2634,19,43,17304
90,2672,16,42,17270
91,2724,15,38,17223
92,2775,12,40,17173
93,2839,14,35,17112
94,2882,16,34,17068
95,2940,12,37,17011
96,2996,18,32,16954
97,3052,13,34,16901
98,3103,16,33,16848
99,3147,19,29,16805
100,3206,15,29,16750
101,3264,13,30,16693
102,3315,14,31,16640
103,3368,18,33,16581
104,3425,19,31,16525
105,3473,16,36,16475
106,3524,15,33,16428
107,3565,13,32,16390
108,3609,15,33,16343
109,3651,14,31,16304
110,3695,19,28,16258
111,3736,20,30,16214
112,3785,23,30,16162
113,3823,21,36,16120
114,3862,20,40,16078
115,3897,23,42,16038
116,3940,21,40,15999
117,3973,23,36,15968
118,4015,23,39,15923
119,4052,21,41,15886
120,4099,18,42,15841
121,4129,29,45,15797
122,4167,26,49,15758
123,4203,30,47,15720
124,4237,30,46,15687
125,4278,27,48,15647
126,4311,29,46,15614
127,4366,26,46,15562
128,4393,21,55,15531
129,4433,24,49,15494
130,4465,27,44,15464
131,4505,28,47,15420
132,4544,26,53,15377
133,4579,22,56,15343
134,4615,30,57,15298
135,4655,30,50,15265
136,4687,30,48,15235
137,4729,32,45,15194
138,4765,35,53,15147
139,4804,31,54,15111
140,4831,30,66,15073
141,4866,28,63,15043
142,4888,31,64,15017
143,4923,40,56,14981
144,4960,35,64,14941
145,5002,37,67,14894
146,5040,41,67,14852
147,5070,41,64,14825
148,5097,40,74,14789
149,5111,51,76,14762
150,5134,50,94,14722
151,5161,57,97,14685
152,5186,62,105,14647
153,5208,61,107,14624
154,5239,69,108,14584
155,5279,70,111,14540
156,5289,81,116,14514
157,5314,86,118,14482
158,5326,90,124,14460
159,5335,91,137,14437
160,5339,108,135,14418
161,5340,119,145,14396
162,5337,127,160,14376
163,5342,125,172,14361
164,5343,130,174,14353
165,5348,131,183,14338
166,5341,133,205,14321
167,5346,141,216,14297
168,5335,148,224,14293
169,5318,157,234,14291
170,5316,157,246,14281
171,5295,173,258,14274
172,5292,176,269,14263
173,5300,165,287,14248
174,5285,190,284,14241
175,5278,172,309,14241
176,5266,185,321,14228
177,5256,206,334,14204
178,5226,227,335,14212
179,5194,252,347,14207
180,5166,267,373,14194
181,5136,271,391,14202
182,5086,283,433,14198
183,5050,302,458,14190
184,5020,297,496,14187
185,4973,297,518,14212
186,4915,310,537,14238
187,4852,324,555,14269
188,4786,331,584,14299
189,4747,345,587,14321
190,4686,342,622,14350
191,4625,353,608,14414
192,4573,346,623,14458
193,4522,371,632,14475
194,4481,380,642,14497
195,4419,378,667,14536
196,4373,376,691,14560
197,4292,394,678,14636
198,4232,407,702,14659
199,4163,433,712,14692
200,4126,416,720,14738
201,4054,430,747,14769
202,4010,430,741,14819
203,3961,398,766,14875
204,3908,385,781,14926
205,3842,376,809,14973
206,3791,395,792,15022
207,3727,394,811,15068
208,3650,412,812,15126
209,3589,406,804,15201
210,3551,406,830,15213
