iteration,S,E,I,R
0,19980,0,20,0
1,19974,6,15,5
2,19967,13,13,7
3,19957,16,19,8
4,19940,28,21,11
5,19906,49,32,13
6,19882,65,34,19
7,19859,73,43,25
8,19810,101,61,28
9,19755,125,81,39
10,19683,147,117,53
11,19588,196,151,65
12,19461,270,189,80
13,19302,350,246,102
14,19102,449,305,144
15,18848,587,390,175
16,18529,735,508,228
17,18108,931,678,283
18,17576,1198,855,371
19,16903,1536,1072,489
20,16116,1881,1362,641
21,15176,2278,1728,818
22,14054,2747,2168,1031
23,12752,3257,2685,1306
24,11367,3733,3246,1654
25,9907,4208,3784,2101
26,8402,4538,4456,2604
27,6986,4666,5147,3201
28,5673,4649,5802,3876
29,4496,4562,6324,4618
30,3499,4285,6758,5458
31,2699,3901,7022,6378
32,2048,3485,7173,7294
33,1554,3026,7159,8261
34,1202,2566,7029,9203
35,926,2161,6784,10129
36,745,1730,6512,11013
37,603,1429,6136,11832
38,504,1167,5725,12604
39,443,923,5371,13263
40,399,737,4922,13942
41,365,606,4511,14518
42,346,473,4112,15069
43,339,370,3691,15600
44,349,309,3296,16046
45,346,273,2935,16446
46,381,238,2593,16788
47,400,212,2320,17068
48,435,175,2083,17307
49,465,145,1842,17548
50,501,140,1635,17724
51,534,128,1450,17888
52,568,121,1268,18043
53,601,114,1102,18183
54,658,106,980,18256
55,707,97,882,18314
56,751,100,812,18337
57,801,81,739,18379
58,832,78,640,18450
59,869,72,582,18477
60,928,75,518,18479
61,963,77,465,18495
62,1012,70,421,18497
63,1061,80,373,18486
64,1116,73,335,18476
65,1166,64,305,18465
66,1222,57,273,18448
67,1291,47,254,18408
68,1350,41,228,18381
69,1421,40,205,18334
70,1478,45,179,18298
71,1527,47,162,18264
72,1584,42,154,18220
73,1646,34,146,18174
74,1691,42,136,18131
75,1736,36,135,18093
76,1801,38,126,18035
77,1852,34,116,17998
78,1901,36,111,17952
79,1961,29,108,17902
80,2002,28,98,17872
81,2060,22,95,17823
82,2115,20,85,17780
83,2162,22,83,17733
84,2218,21,72,17689
85,2266,22,64,17648
86,2315,18,60,17607
87,2376,16,58,17550
88,2424,15,54,17507
89,2476,18,48,17458
90,2517,17,47,17419
91,2561,18,43,17378
92,2611,18,41,17330
93,2682,17,35,17266
94,2737,15,38,17210
95,2785,17,29,17169
96,2817,20,30,17133
97,2870,22,29,17079
98,2925,18,29,17028
99,2986,17,30,16967
100,3044,15,32,16909
101,3088,15,31,16866
102,3130,16,32,16822
103,3171,19,29,16781
104,3221,17,29,16733
105,3271,14,30,16685
106,3317,11,33,16639
107,3366,14,25,16595
108,3410,12,25,16553
109,3470,18,24,16488
110,3511,17,24,16448
111,3551,19,23,16407
112,3611,13,23,16353
113,3655,11,23,16311
114,3694,11,26,16269
115,3754,11,29,16206
116,3790,12,31,16167
117,3835,9,31,16125
118,3877,6,31,16086
119,3926,9,28,16037
120,3974,8,29,15989
121,4011,12,29,15948
122,4044,11,30,15915
123,4078,12,30,15880
124,4117,15,29,15839
125,4153,15,30,15802
126,4195,15,33,15757
127,4228,18,31,15723
128,4274,18,25,15683
129,4317,21,30,15632
130,4369,16,38,15577
131,4401,15,40,15544
132,4446,19,35,15500
133,4489,17,36,15458
134,4530,14,39,15417
135,4562,17,34,15387
136,4585,23,35,15357
137,4601,31,34,15334
138,4640,27,41,15292
139,4681,22,45,15252
140,4707,19,51,15223
141,4751,24,50,15175
142,4788,30,53,15129
143,4831,33,57,15079
144,4867,33,63,15037
145,4889,34,60,15017
146,4922,31,63,14984
147,4951,34,65,14950
148,4982,36,63,14919
149,5021,39,65,14875
150,5037,44,70,14849
151,5067,46,67,14820
152,5093,50,70,14787
153,5133,52,68,14747
154,5146,57,67,14730
155,5176,59,68,14697
156,5218,57,74,14651
157,5251,62,74,14613
158,5264,64,80,14592
159,5296,58,83,14563
160,5318,50,93,14539
161,5330,54,101,14515
162,5346,60,103,14491
163,5374,68,106,14452
164,5408,71,111,14410
165,5434,78,116,14372
166,5457,90,114,14339
167,5469,89,119,14323
168,5482,100,116,14302
169,5503,86,141,14270
170,5509,89,147,14255
171,5520,103,148,14229
172,5524,114,152,14210
173,5540,124,163,14173
174,5557,116,181,14146
175,5567,124,195,14114
176,5581,119,219,14081
177,5562,132,230,14076
178,5554,147,233,14066
179,5555,154,236,14055
180,5566,162,234,14038
181,5540,182,248,14030
182,5522,201,267,14010
183,5504,210,287,13999
184,5467,227,306,14000
185,5439,231,317,14013
186,5405,241,343,14011
187,5370,251,357,14022
188,5328,283,366,14023
189,5285,300,381,14034
190,5238,313,415,14034
191,5186,308,445,14061
192,5159,310,456,14075
193,5105,324,479,14092
194,5074,318,507,14101
195,5043,311,517,14129
196,4975,322,539,14164
197,4917,327,553,14203
198,4854,342,566,14238
199,4782,359,596,14263
200,4708,359,637,14296
201,4649,364,660,14327
202,4569,394,653,14384
203,4508,400,686,14406
204,4460,375,706,14459
205,4409,377,723,14491
206,4328,400,732,14540
207,4257,406,755,14582
208,4176,441,745,14638
209,4117,438,776,14669
210,4030,437,800,14733
211,3991,389,829,14791
212,3911,414,819,14856
213,3856,411,814,14919
214,3781,435,804,14980
215,3747,418,813,15022
216,3684,430,812,15074
217,3658,410,824,15108
218,3620,395,825,15160
219,3549,399,846,15206
220,3494,401,818,15287
221,3446,414,808,15332
222,3411,392,835,15362
223,3366,403,843,15388
224,3305,416,854,15425
225,3274,415,843,15468
226,3233,407,826,15534
227,3192,423,787,15598
228,3159,410,793,15638
229,3141,382,810,15667
230,3097,360,820,15723
231,3076,368,807,15749
232,3065,352,791,15792
233,3065,329,794,15812
234,3062,317,779,15842
235,3048,325,757,15870
236,3042,318,751,15889
237,3051,289,736,15924
238,3056,291,712,15941
239,3056,299,705,15940
240,3067,287,671,15975
241,3080,278,656,15986
242,3074,277,631,16018
243,3084,285,611,16020
244,3100,278,600,16022
245,3113,252,615,16020
246,3129,263,597,16011
247,3146,255,600,15999
248,3176,243,577,16004
249,3208,226,581,15985
250,3220,227,558,15995
251,3220,247,533,16000
252,3226,273,532,15969
253,3260,235,540,15965
254,3275,236,532,15957
255,3290,233,527,15950
256,3299,221,531,15949
257,3312,225,516,15947
258,3298,231,519,15952
259,3313,232,506,15949
260,3333,247,498,15922
261,3356,238,520,15886
262,3363,225,513,15899
263,3393,207,505,15895
264,3433,217,480,15870
265,3462,218,461,15859
266,3474,225,470,15831
267,3505,222,468,15805
268,3523,247,462,15768
269,3547,247,460,15746
270,3582,239,469,15710
271,3600,235,488,15677
272,3602,238,489,15671
273,3623,228,489,15660
274,3645,232,465,15658
275,3674,241,455,15630
276,3684,244,448,15624
277,3701,248,440,15611
278,3727,227,456,15590
279,3753,228,458,15561
280,3770,234,466,15530
281,3782,229,455,15534
282,3793,226,460,15521
283,3796,231,455,15518
284,3811,233,451,15505
285,3835,245,443,15477
286,3859,228,450,15463
287,3865,238,451,15446
288,3890,228,459,15423
289,3907,258,460,15375
290,3928,261,445,15366
291,3942,257,451,15350
292,3963,262,464,15311
293,3980,264,461,15295
294,3991,267,474,15268
295,4015,251,491,15243
296,4031,242,496,15231
297,4013,284,487,15216
298,4015,273,495,15217
299,4017,288,485,15210
300,4008,295,500,15197
301,4025,293,518,15164
302,4007,296,533,15164
303,3994,300,544,15162
