iteration,S,E,I,R
0,19980,0,20,0
1,19964,16,17,3
2,19952,25,18,5
3,19937,31,26,6
4,19918,42,29,11
5,19891,54,39,16
6,19868,59,51,22
7,19834,81,54,31
8,19790,106,63,41
9,19729,137,87,47
10,19657,170,115,58
11,19564,212,142,82
12,19444,270,184,102
13,19279,353,244,124
14,19106,437,303,154
15,18849,578,392,181
16,18515,734,527,224
17,18066,979,671,284
18,17524,1238,859,379
19,16889,1527,1103,481
20,16074,1910,1405,611
21,15131,2337,1734,798
22,14044,2769,2159,1028
23,12796,3214,2650,1340
24,11389,3704,3210,1697
25,9955,4071,3811,2163
26,8507,4419,4367,2707
27,7025,4656,5042,3277
28,5692,4658,5707,3943
29,4549,4479,6300,4672
30,3507,4316,6688,5489
31,2690,3933,7015,6362
32,2052,3527,7151,7270
33,1572,3031,7247,8150
34,1202,2553,7152,9093
35,908,2120,6932,10040
36,736,1703,6614,10947
37,585,1394,6163,11858
38,496,1129,5707,12668
39,438,889,5309,13364
40,401,676,4899,14024
41,384,524,4477,14615
42,359,459,4033,15149
43,338,380,3628,15654
44,352,304,3265,16079
45,357,256,2940,16447
46,380,244,2620,16756
47,380,231,2334,17055
48,395,190,2066,17349
49,439,174,1849,17538
50,455,151,1652,17742
51,507,134,1454,17905
52,536,127,1278,18059
53,574,122,1139,18165
54,635,113,1012,18240
55,677,93,914,18316
56,738,77,808,18377
57,798,77,722,18403
58,832,90,650,18428
59,875,80,590,18455
60,921,71,529,18479
61,958,67,468,18507
62,1009,67,441,18483
63,1062,69,388,18481
64,1104,71,356,18469
65,1147,69,328,18456
66,1193,57,289,18461
67,1237,59,267,18437
68,1304,50,258,18388
69,1360,50,235,18355
70,1423,44,222,18311
71,1485,41,208,18266
72,1543,33,190,18234
73,1600,38,159,18203
74,1643,43,157,18157
75,1694,41,144,18121
76,1759,40,135,18066
77,1816,34,123,18027
78,1867,40,118,17975
79,1913,30,115,17942
80,1963,35,106,17896
81,2028,35,99,17838
82,2086,34,90,17790
83,2150,28,85,17737
84,2204,24,79,17693
85,2261,27,71,17641
86,2327,20,64,17589
87,2389,20,61,17530
88,2441,23,58,17478
89,2491,21,56,17432
90,2558,22,49,17371
91,2608,24,51,17317
92,2660,20,42,17278
93,2727,20,40,17213
94,2770,20,43,17167
95,2800,23,43,17134
96,2846,21,45,17088
97,2901,18,48,17033
98,2951,19,46,16984
99,2991,21,39,16949
100,3048,21,37,16894
101,3092,17,41,16850
102,3133,20,39,16808
103,3174,21,33,16772
104,3224,20,33,16723
105,3261,19,34,16686
106,3301,19,33,16647
107,3343,19,30,16608
108,3389,16,32,16563
109,3434,14,29,16523
110,3482,13,32,16473
111,3525,12,36,16427
112,3561,13,33,16393
113,3597,11,30,16362
114,3643,11,29,16317
115,3688,16,29,16267
116,3738,11,32,16219
117,3783,12,30,16175
118,3826,13,29,16132
119,3869,13,28,16090
120,3921,12,24,16043
121,3956,12,28,16004
122,4008,11,27,15954
123,4061,11,24,15904
124,4100,13,22,15865
125,4140,14,22,15824
126,4184,17,20,15779
127,4224,12,24,15740
