iteration,S,E,I,R
0,19980,0,20,0
1,19965,15,20,0
2,19954,25,17,4
3,19940,34,21,5
4,19923,40,27,10
5,19894,56,34,16
6,19862,68,49,21
7,19823,90,57,30
8,19782,105,74,39
9,19713,141,100,46
10,19642,177,116,65
11,19535,230,153,82
12,19402,295,206,97
13,19229,380,268,123
14,19014,482,349,155
15,18718,632,446,204
16,18363,823,556,258
17,17883,1067,723,327
18,17327,1328,914,431
19,16632,1669,1142,557
20,15803,2034,1472,691
21,14816,2461,1840,883
22,13761,2826,2273,1140
23,12472,3274,2824,1430
24,11003,3841,3348,1808
25,9562,4222,3996,2220
26,8027,4571,4702,2700
27,6603,4653,5438,3306
28,5280,4695,6007,4018
29,4125,4537,6481,4857
30,3171,4224,6891,5714
31,2437,3799,7194,6570
32,1869,3293,7321,7517
33,1428,2803,7311,8458
34,1113,2341,7160,9386
35,871,1928,6918,10283
36,678,1596,6543,11183
37,587,1267,6160,11986
38,485,1048,5723,12744
39,436,813,5274,13477
40,387,671,4799,14143
41,367,550,4344,14739
42,354,465,3884,15297
43,343,396,3515,15746
44,361,316,3145,16178
45,378,249,2833,16540
46,390,203,2569,16838
47,430,177,2287,17106
48,448,166,2029,17357
49,477,150,1815,17558
50,493,132,1618,17757
51,530,123,1439,17908
52,557,117,1268,18058
53,595,110,1128,18167
54,638,116,1001,18245
55,670,108,894,18328
56,709,102,790,18399
57,768,94,720,18418
58,815,91,648,18446
59,859,85,591,18465
60,895,89,520,18496
61,941,86,488,18485
62,974,82,445,18499
63,1030,71,409,18490
64,1077,61,370,18492
65,1124,68,322,18486
66,1178,58,291,18473
67,1234,56,267,18443
68,1294,50,229,18427
69,1361,50,201,18388
70,1405,43,185,18367
71,1469,30,166,18335
72,1523,29,150,18298
73,1577,33,138,18252
74,1642,36,125,18197
75,1696,27,121,18156
76,1742,22,112,18124
77,1784,29,107,18080
78,1845,20,98,18037
79,1903,21,90,17986
80,1962,21,85,17932
81,2005,24,80,17891
82,2060,23,72,17845
83,2111,21,69,17799
84,2165,21,55,17759
85,2213,19,54,17714
86,2261,18,54,17667
87,2319,12,44,17625
88,2371,10,45,17574
89,2429,11,44,17516
90,2473,12,39,17476
91,2539,12,37,17412
92,2609,10,37,17344
93,2675,11,31,17283
94,2733,13,27,17227
95,2790,13,21,17176
96,2838,10,23,17129
97,2904,9,19,17068
98,2953,8,20,17019
99,3006,8,19,16967
100,3071,8,17,16904
101,3118,7,19,16856
102,3173,7,22,16798
103,3226,8,18,16748
104,3285,6,20,16689
105,3323,4,20,16653
106,3376,3,20,16601
107,3411,6,14,16569
108,3459,6,15,16520
109,3508,8,15,16469
110,3555,9,14,16422
111,3599,7,14,16380
112,3658,6,16,16320
113,3705,5,16,16274
114,3753,8,15,16224
115,3798,13,13,16176
116,3840,13,13,16134
117,3887,13,12,16088
118,3929,11,13,16047
119,3977,8,14,16001
120,4014,6,15,15965
121,4041,4,15,15940
122,4078,6,17,15899
123,4123,6,16,15855
124,4174,7,12,15807
125,4218,4,12,15766
126,4268,6,9,15717
127,4307,5,11,15677
128,4356,7,10,15627
129,4387,7,8,15598
130,4428,6,10,15556
131,4470,7,11,15512
132,4511,7,11,15471
133,4553,6,12,15429
134,4581,5,13,15401
135,4628,3,14,15355
136,4665,7,12,15316
137,4694,6,14,15286
138,4729,8,12,15251
139,4790,8,14,15188
140,4831,7,13,15149
141,4889,8,12,15091
142,4932,6,11,15051
143,4976,3,13,15008
144,5010,3,14,14973
145,5061,4,14,14921
146,5107,4,13,14876
147,5141,5,13,14841
148,5186,8,11,14795
149,5227,11,11,14751
150,5265,10,12,14713
151,5298,9,15,14678
152,5322,14,17,14647
153,5357,16,17,14610
154,5408,12,20,14560
155,5441,15,23,14521
156,5473,21,21,14485
157,5507,19,26,14448
158,5541,16,31,14412
159,5573,20,29,14378
160,5612,23,31,14334
161,5654,26,35,14285
162,5687,32,34,14247
163,5714,31,41,14214
164,5752,29,41,14178
165,5787,24,51,14138
166,5814,24,56,14106
167,5850,27,59,14064
168,5865,38,55,14042
169,5900,34,61,14005
170,5906,37,66,13991
171,5926,48,62,13964
172,5957,49,71,13923
173,5986,48,78,13888
174,6004,60,77,13859
175,6015,69,85,13831
176,6036,56,94,13814
177,6062,52,99,13787
178,6084,57,105,13754
179,6095,64,111,13730
180,6117,65,105,13713
181,6130,79,107,13684
182,6129,83,110,13678
183,6146,94,112,13648
184,6154,92,124,13630
185,6137,107,139,13617
186,6156,111,148,13585
187,6147,126,164,13563
188,6137,133,177,13553
189,6134,147,173,13546
190,6149,127,188,13536
191,6140,133,207,13520
192,6116,147,213,13524
193,6108,164,227,13501
194,6079,184,229,13508
195,6050,190,263,13497
196,6007,209,292,13492
197,5991,214,311,13484
198,5943,236,343,13478
199,5894,254,369,13483
200,5846,265,387,13502
201,5786,301,398,13515
202,5743,296,430,13531
203,5697,297,452,13554
204,5631,312,468,13589
205,5575,336,478,13611
206,5510,345,515,13630
207,5406,408,535,13651
208,5313,442,551,13694
209,5230,450,600,13720
210,5154,445,627,13774
211,5051,455,685,13809
212,4958,451,721,13870
213,4889,461,723,13927
214,4805,461,743,13991
215,4723,466,796,14015
216,4649,480,800,14071
217,4568,462,846,14124
218,4455,496,860,14189
219,4348,518,885,14249
220,4249,524,913,14314
221,4160,500,948,14392
222,4059,500,969,14472
223,3952,514,987,14547
224,3850,528,995,14627
225,3775,504,1010,14711
226,3686,521,1020,14773
227,3609,525,1025,14841
228,3519,515,1035,14931
229,3429,513,1029,15029
230,3352,498,1063,15087
231,3284,469,1077,15170
232,3215,469,1073,15243
233,3157,447,1082,15314
234,3111,430,1076,15383
235,3045,432,1071,15452
236,2982,435,1032,15551
237,2905,461,971,15663
238,2865,439,971,15725
239,2840,424,955,15781
240,2809,395,980,15816
241,2769,380,968,15883
242,2729,385,932,15954
243,2707,383,910,16000
244,2701,363,888,16048
245,2686,373,873,16068
246,2664,354,847,16135
247,2655,332,828,16185
248,2640,323,835,16202
249,2645,304,815,16236
250,2644,287,797,16272
251,2626,309,762,16303
252,2627,292,743,16338
253,2625,282,720,16373
254,2621,271,698,16410
255,2639,265,663,16433
256,2643,249,663,16445
257,2678,238,649,16435
258,2671,235,639,16455
259,2698,230,612,16460
260,2733,220,599,16448
261,2767,209,592,16432
262,2791,226,552,16431
263,2804,231,546,16419
264,2831,228,538,16403
265,2864,226,534,16376
266,2890,202,537,16371
267,2908,218,518,16356
268,2937,221,512,16330
269,2969,234,495,16302
270,2996,236,493,16275
271,3040,217,490,16253
272,3040,230,492,16238
273,3065,231,494,16210
274,3079,230,493,16198
275,3102,210,493,16195
276,3122,223,473,16182
277,3147,231,484,16138
278,3186,223,477,16114
279,3221,214,475,16090
280,3245,232,447,16076
281,3261,228,466,16045
282,3273,223,474,16030
283,3306,211,472,16011
284,3327,228,435,16010
285,3358,217,429,15996
286,3371,241,425,15963
287,3386,233,443,15938
288,3411,233,440,15916
289,3442,220,455,15883
290,3476,197,464,15863
291,3507,196,473,15824
292,3530,210,459,15801
293,3548,204,451,15797
294,3572,208,458,15762
295,3594,214,454,15738
296,3621,222,451,15706
297,3658,211,445,15686
298,3682,226,420,15672
299,3708,250,423,15619
300,3732,243,423,15602
301,3759,244,437,15560
302,3799,220,448,15533
303,3810,247,423,15520
304,3823,227,441,15509
305,3837,234,449,15480
306,3866,238,455,15441
307,3884,257,467,15392
308,3869,276,485,15370
309,3872,277,498,15353
310,3873,278,512,15337
311,3886,268,517,15329
312,3885,285,518,15312
313,3892,288,518,15302
314,3900,276,540,15284
315,3905,294,545,15256
316,3908,292,565,15235
317,3920,279,577,15224
318,3924,297,574,15205
319,3936,295,579,15190
320,3913,322,567,15198
321,3925,310,581,15184
322,3895,326,607,15172
323,3873,341,613,15173
324,3875,346,615,15164
325,3860,340,637,15163
326,3848,342,641,15169
327,3861,325,661,15153
328,3858,346,680,15116
329,3850,357,676,15117
330,3843,366,691,15100
331,3823,384,697,15096
332,3818,385,717,15080
333,3798,391,739,15072
334,3777,403,726,15094
335,3792,369,748,15091
336,3782,376,764,15078
337,3765,377,752,15106
338,3736,376,771,15117
339,3717,389,741,15153
340,3686,404,754,15156
341,3676,400,769,15155
342,3674,393,770,15163
343,3671,389,777,15163
344,3656,392,780,15172
