iteration,S,E,I,R
0,19980,0,20,0
1,19966,14,19,1
2,19948,30,17,5
3,19934,31,26,9
4,19914,45,27,14
5,19895,48,40,17
6,19866,59,46,29
7,19827,82,53,38
8,19780,103,75,42
9,19709,152,85,54
10,19631,186,120,63
11,19504,254,159,83
12,19352,327,217,104
13,19174,397,295,134
14,18927,541,355,177
15,18597,703,471,229
16,18211,896,596,297
17,17775,1086,747,392
18,17177,1361,980,482
19,16455,1676,1252,617
20,15556,2088,1555,801
21,14502,2527,1970,1001
22,13275,3032,2450,1243
23,11881,3557,2977,1585
24,10440,3997,3610,1953
25,8942,4385,4266,2407
26,7482,4631,4947,2940
27,6135,4661,5623,3581
28,4875,4640,6153,4332
29,3710,4502,6688,5100
30,2848,4162,6968,6022
31,2192,3691,7200,6917
32,1663,3179,7299,7859
33,1264,2678,7285,8773
34,974,2220,7085,9721
35,767,1823,6742,10668
36,644,1449,6369,11538
37,543,1159,5966,12332
38,458,956,5465,13121
39,405,785,5024,13786
40,397,635,4597,14371
41,385,507,4169,14939
42,379,404,3747,15470
43,368,341,3385,15906
44,378,276,3059,16287
45,383,257,2725,16635
46,402,224,2417,16957
47,416,185,2165,17234
48,431,175,1906,17488
49,471,153,1691,17685
50,496,152,1478,17874
51,545,120,1311,18024
52,582,129,1156,18133
53,626,125,1043,18206
54,661,104,912,18323
55,702,100,809,18389
56,752,96,728,18424
57,784,98,657,18461
58,812,91,602,18495
59,852,98,521,18529
60,902,92,470,18536
61,958,76,434,18532
62,1002,71,395,18532
63,1061,61,360,18518
64,1130,54,328,18488
65,1178,60,299,18463
66,1231,52,272,18445
67,1284,53,244,18419
68,1339,48,222,18391
69,1395,48,208,18349
70,1463,45,186,18306
71,1535,44,165,18256
72,1588,36,152,18224
73,1665,34,135,18166
74,1717,33,127,18123
75,1791,30,115,18064
76,1846,21,115,18018
77,1878,37,105,17980
78,1929,31,102,17938
79,1987,28,94,17891
80,2029,30,88,17853
81,2079,28,84,17809
82,2131,28,84,17757
83,2184,25,83,17708
84,2242,22,81,17655
85,2301,26,70,17603
86,2342,27,67,17564
87,2398,21,71,17510
88,2458,18,71,17453
89,2508,24,58,17410
90,2555,23,60,17362
91,2604,29,49,17318
92,2651,20,51,17278
93,2697,24,53,17226
94,2744,21,51,17184
95,2786,18,56,17140
96,2820,20,56,17104
97,2873,26,51,17050
98,2920,23,51,17006
99,2973,21,50,16956
100,3015,20,50,16915
101,3054,15,50,16881
102,3102,15,45,16838
103,3151,17,41,16791
104,3190,20,31,16759
105,3247,19,31,16703
106,3300,15,29,16656
107,3348,14,32,16606
108,3400,16,26,16558
109,3444,14,26,16516
110,3492,13,29,16466
111,3536,14,29,16421
112,3586,17,23,16374
113,3631,13,24,16332
114,3679,11,26,16284
115,3740,10,26,16224
116,3785,8,26,16181
117,3851,5,26,16118
118,3887,8,27,16078
119,3928,12,26,16034
120,3967,18,28,15987
121,4024,12,32,15932
122,4055,15,31,15899
123,4095,18,29,15858
124,4139,16,31,15814
125,4179,17,34,15770
126,4216,19,30,15735
127,4250,22,32,15696
128,4288,19,37,15656
129,4333,17,38,15612
130,4378,24,34,15564
131,4410,21,34,15535
132,4435,24,35,15506
133,4483,25,30,15462
134,4534,23,33,15410
135,4577,24,35,15364
136,4617,25,34,15324
137,4639,21,35,15305
138,4687,18,37,15258
139,4737,21,36,15206
140,4775,27,35,15163
141,4822,27,39,15112
142,4870,20,40,15070
143,4902,19,40,15039
144,4949,21,38,14992
145,4983,17,43,14957
146,5007,21,45,14927
147,5049,29,46,14876
148,5079,26,52,14843
149,5107,33,45,14815
150,5147,30,50,14773
151,5181,30,53,14736
152,5217,36,51,14696
153,5258,34,59,14649
154,5289,50,57,14604
155,5322,42,62,14574
156,5342,46,64,14548
157,5373,52,66,14509
158,5395,52,71,14482
159,5429,46,80,14445
160,5462,46,82,14410
161,5487,44,79,14390
162,5507,44,84,14365
163,5528,52,93,14327
164,5552,57,93,14298
165,5562,67,99,14272
166,5586,63,102,14249
167,5605,65,103,14227
168,5626,72,113,14189
169,5629,70,125,14176
170,5669,71,128,14132
171,5681,74,138,14107
172,5695,85,141,14079
173,5702,86,146,14066
174,5706,107,145,14042
175,5715,103,156,14026
176,5718,103,168,14011
177,5716,117,179,13988
178,5718,130,183,13969
179,5712,125,190,13973
180,5708,122,201,13969
181,5701,133,210,13956
182,5695,151,214,13940
183,5681,160,224,13935
184,5683,150,241,13926
185,5675,163,248,13914
186,5660,181,250,13909
187,5639,194,284,13883
188,5621,181,319,13879
189,5578,213,322,13887
190,5547,215,328,13910
191,5517,200,354,13929
192,5486,224,357,13933
193,5460,236,375,13929
194,5426,254,391,13929
195,5381,277,411,13931
196,5364,274,436,13926
197,5300,283,476,13941
198,5247,300,489,13964
199,5198,302,527,13973
200,5116,343,563,13978
201,5024,379,585,14012
202,4946,370,632,14052
203,4884,374,664,14078
204,4790,400,681,14129
205,4686,441,692,14181
206,4605,444,709,14242
207,4521,466,726,14287
208,4413,497,731,14359
209,4336,492,768,14404
210,4249,491,808,14452
211,4189,473,851,14487
212,4118,473,871,14538
213,4028,465,902,14605
214,3936,487,917,14660
215,3867,471,936,14726
216,3761,508,935,14796
217,3682,494,970,14854
218,3596,512,960,14932
219,3542,491,975,14992
220,3459,479,1001,15061
221,3382,489,994,15135
222,3292,495,1008,15205
223,3228,472,1022,15278
224,3161,467,1008,15364
225,3118,439,1015,15428
226,3067,431,1023,15479
227,3002,446,1001,15551
228,2924,458,992,15626
229,2895,440,971,15694
230,2850,440,960,15750
231,2821,424,932,15823
232,2819,377,912,15892
233,2797,358,901,15944
234,2776,361,871,15992
235,2772,362,859,16007
236,2789,321,847,16043
237,2774,319,815,16092
238,2756,315,799,16130
239,2734,320,771,16175
240,2735,303,744,16218
241,2715,303,718,16264
242,2705,315,701,16279
243,2709,297,692,16302
244,2734,278,670,16318
245,2741,297,654,16308
246,2750,287,652,16311
247,2753,282,633,16332
248,2776,243,633,16348
249,2792,251,616,16341
250,2804,245,581,16370
251,2827,225,568,16380
252,2886,208,571,16335
253,2900,224,542,16334
254,2935,223,513,16329
255,2954,232,494,16320
256,2976,230,493,16301
257,2986,230,507,16277
258,2988,217,500,16295
259,3018,207,506,16269
260,3044,205,482,16269
261,3071,208,484,16237
262,3109,195,508,16188
263,3167,189,484,16160
264,3186,194,478,16142
265,3207,207,466,16120
266,3230,208,457,16105
267,3257,199,469,16075
268,3275,199,465,16061
269,3304,206,460,16030
270,3317,224,464,15995
271,3351,214,458,15977
272,3376,206,456,15962
273,3400,215,448,15937
274,3418,215,443,15924
275,3454,208,445,15893
276,3489,200,453,15858
277,3517,181,452,15850
278,3536,202,434,15828
279,3542,211,427,15820
280,3557,225,425,15793
281,3586,219,445,15750
282,3619,207,445,15729
283,3627,219,442,15712
284,3649,225,438,15688
285,3671,217,455,15657
286,3712,213,453,15622
287,3712,203,481,15604
288,3727,212,480,15581
289,3747,215,468,15570
290,3762,213,478,15547
291,3770,237,467,15526
292,3789,242,469,15500
293,3812,252,459,15477
294,3841,231,467,15461
295,3856,239,468,15437
296,3867,242,465,15426
297,3883,240,472,15405
298,3916,229,479,15376
299,3929,240,478,15353
300,3940,252,475,15333
301,3948,232,500,15320
302,3941,229,520,15310
303,3933,242,511,15314
304,3933,271,497,15299
305,3935,292,496,15277
306,3936,294,496,15274
307,3949,287,501,15263
308,3946,306,501,15247
309,3949,309,525,15217
310,3956,311,523,15210
311,3958,320,536,15186
312,3975,318,565,15142
313,3973,315,583,15129
314,3963,319,581,15137
315,3960,320,587,15133
316,3981,304,598,15117
317,3970,322,601,15107
318,3952,328,617,15103
319,3942,328,629,15101
320,3917,340,643,15100
321,3904,340,651,15105
322,3872,350,676,15102
323,3858,351,672,15119
324,3847,357,680,15116
325,3839,381,666,15114
326,3825,372,670,15133
327,3823,367,680,15130
328,3814,349,723,15114
329,3800,359,737,15104
330,3799,356,734,15111
331,3772,364,744,15120
332,3755,348,778,15119
333,3703,387,750,15160
334,3690,371,771,15168
335,3664,375,777,15184
336,3628,388,798,15186
337,3606,395,804,15195
338,3568,405,809,15218
339,3542,402,806,15250
340,3529,404,832,15235
341,3489,413,833,15265
342,3464,426,828,15282
343,3435,426,812,15327
344,3433,395,823,15349
345,3427,383,814,15376
346,3399,406,812,15383
347,3358,389,852,15401
348,3359,374,868,15399
349,3358,366,863,15413
350,3356,361,851,15432
351,3331,382,841,15446
352,3312,401,821,15466
353,3303,396,826,15475
354,3292,391,829,15488
355,3276,369,840,15515
356,3257,372,832,15539
357,3254,356,824,15566
358,3258,381,811,15550
359,3276,350,821,15553
360,3252,368,801,15579
361,3260,360,786,15594
362,3270,354,779,15597
363,3263,356,758,15623
364,3278,352,773,15597
365,3291,345,778,15586
366,3310,338,788,15564
367,3317,342,791,15550
368,3311,345,783,15561
369,3312,348,770,15570
370,3307,335,771,15587
371,3306,346,746,15602
372,3333,355,730,15582
373,3328,359,726,15587
374,3318,351,727,15604
375,3300,366,727,15607
376,3302,346,728,15624
377,3326,345,716,15613
378,3312,341,734,15613
379,3317,335,720,15628
380,3307,345,723,15625
381,3312,347,716,15625
382,3306,354,724,15616
383,3310,334,733,15623
384,3335,323,733,15609
385,3359,312,716,15613
386,3351,320,705,15624
387,3368,325,685,15622
388,3371,311,691,15627
389,3412,316,666,15606
390,3410,318,659,15613
391,3412,314,653,15621
392,3428,319,641,15612
393,3452,309,647,15592
394,3461,303,649,15587
395,3461,301,659,15579
396,3459,318,641,15582
397,3477,321,636,15566
398,3471,315,644,15570
399,3476,323,645,15556
400,3500,321,640,15539
401,3523,315,651,15511
402,3546,322,639,15493
403,3551,324,643,15482
404,3573,321,626,15480
405,3572,337,617,15474
406,3578,332,642,15448
407,3585,326,669,15420
408,3582,330,675,15413
409,3592,332,677,15399
410,3600,324,653,15423
411,3591,323,661,15425
412,3585,315,684,15416
413,3586,334,690,15390
414,3597,340,698,15365
415,3593,344,713,15350
416,3608,332,705,15355
417,3610,343,692,15355
418,3613,344,696,15347
419,3632,334,692,15342
420,3641,329,701,15329
421,3620,341,701,15338
422,3610,344,698,15348
423,3614,348,690,15348
424,3623,327,701,15349
425,3618,341,704,15337
426,3632,324,702,15342
427,3645,302,700,15353
428,3649,322,674,15355
429,3655,325,676,15344
430,3647,323,682,15348
431,3652,319,690,15339
432,3656,314,704,15326
433,3661,314,708,15317
434,3641,332,696,15331
435,3644,326,688,15342
436,3636,354,668,15342
437,3634,352,680,15334
438,3649,348,684,15319
439,3663,323,678,15336
440,3639,344,660,15357
441,3630,347,665,15358
442,3625,332,683,15360
443,3620,339,674,15367
444,3612,346,671,15371
445,3622,342,696,15340
446,3616,336,708,15340
447,3619,325,704,15352
448,3604,332,699,15365
449,3597,333,706,15364
450,3599,348,695,15358
451,3607,352,679,15362
452,3592,351,689,15368
453,3589,353,683,15375
454,3584,327,689,15400
455,3563,342,674,15421
456,3574,338,681,15407
457,3591,323,690,15396
458,3590,325,672,15413
459,3581,341,669,15409
460,3580,347,678,15395
461,3566,368,680,15386
462,3574,352,704,15370
463,3588,336,714,15362
464,3582,330,724,15364
465,3566,342,719,15373
466,3561,346,736,15357
467,3544,367,706,15383
468,3546,368,719,15367
469,3546,363,711,15380
470,3563,353,714,15370
471,3576,350,720,15354
472,3560,340,747,15353
473,3568,328,751,15353
474,3546,355,743,15356
475,3553,337,733,15377
476,3539,352,703,15406
477,3535,359,709,15397
478,3510,373,724,15393
479,3498,368,725,15409
480,3478,358,713,15451
481,3452,382,695,15471
482,3434,367,705,15494
483,3446,364,720,15470
484,3460,357,725,15458
485,3448,361,734,15457
486,3436,364,718,15482
487,3432,360,744,15464
488,3443,367,740,15450
489,3438,361,742,15459
490,3440,350,754,15456
491,3421,360,744,15475
492,3415,369,726,15490
493,3430,337,731,15502
494,3419,341,733,15507
495,3419,341,719,15521
