iteration,S,E,I,R
0,19980,0,20,0
1,19967,13,17,3
2,19953,24,17,6
3,19938,34,21,7
4,19920,43,27,10
5,19898,58,30,14
6,19866,77,38,19
7,19833,87,58,22
8,19777,115,80,28
9,19707,150,102,41
10,19625,185,138,52
11,19503,246,182,69
12,19348,325,230,97
13,19151,426,294,129
14,18898,557,388,157
15,18586,717,499,198
16,18202,898,629,271
17,17717,1133,800,350
18,17083,1442,1020,455
19,16324,1816,1275,585
20,15488,2161,1585,766
21,14400,2627,2010,963
22,13193,3081,2498,1228
23,11831,3601,3008,1560
24,10359,4085,3577,1979
25,8836,4457,4264,2443
26,7355,4657,4981,3007
27,5960,4726,5683,3631
28,4737,4663,6248,4352
29,3735,4352,6735,5178
30,2848,4043,7067,6042
31,2163,3618,7248,6971
32,1641,3182,7302,7875
33,1250,2687,7243,8820
34,977,2265,7010,9748
35,756,1849,6772,10623
36,603,1499,6326,11572
37,500,1203,5893,12404
38,441,950,5487,13122
39,393,768,5104,13735
40,374,611,4640,14375
41,360,473,4231,14936
42,348,397,3788,15467
43,357,325,3379,15939
44,377,291,3007,16325
45,382,237,2690,16691
46,394,220,2398,16988
47,418,191,2166,17225
48,430,165,1902,17503
49,454,151,1695,17700
50,491,142,1516,17851
51,527,119,1342,18012
52,570,118,1171,18141
53,606,109,1045,18240
54,643,106,951,18300
55,686,96,843,18375
56,726,97,732,18445
57,784,89,664,18463
58,847,80,594,18479
59,897,68,544,18491
60,954,61,482,18503
61,1008,59,435,18498
62,1044,67,384,18505
63,1095,63,342,18500
64,1148,60,306,18486
65,1197,61,286,18456
66,1255,46,267,18432
67,1310,47,255,18388
68,1387,45,227,18341
69,1434,34,215,18317
70,1492,32,189,18287
71,1551,35,170,18244
72,1622,28,166,18184
73,1682,32,138,18148
74,1726,28,131,18115
75,1786,27,112,18075
76,1839,27,111,18023
77,1892,33,102,17973
78,1949,23,100,17928
79,2007,25,87,17881
80,2073,24,86,17817
81,2128,25,81,17766
82,2190,23,73,17714
83,2249,23,69,17659
84,2290,20,66,17624
85,2358,19,63,17560
86,2405,17,60,17518
87,2455,15,59,17471
88,2522,15,53,17410
89,2578,12,51,17359
90,2628,10,49,17313
91,2692,10,45,17253
92,2730,11,43,17216
93,2781,12,40,17167
94,2830,12,35,17123
95,2887,14,32,17067
96,2938,16,30,17016
97,2982,12,35,16971
98,3026,8,37,16929
99,3070,14,36,16880
100,3106,11,33,16850
101,3157,10,34,16799
102,3183,17,34,16766
103,3227,13,36,16724
104,3266,13,36,16685
105,3301,17,27,16655
106,3352,15,26,16607
107,3391,12,29,16568
108,3445,12,29,16514
109,3494,16,29,16461
110,3536,14,29,16421
111,3586,21,27,16366
112,3633,17,31,16319
113,3672,21,33,16274
114,3697,21,32,16250
115,3743,19,36,16202
