iteration,S,E,I,R
0,19980,0,20,0
1,19965,15,18,2
2,19946,30,20,4
3,19924,44,25,7
4,19907,53,31,9
5,19879,62,44,15
6,19842,79,56,23
7,19791,112,65,32
8,19744,131,82,43
9,19675,167,107,51
10,19577,212,144,67
11,19458,269,193,80
12,19275,361,260,104
13,19044,494,312,150
14,18737,648,429,186
15,18395,819,556,230
16,17970,1032,699,299
17,17432,1272,912,384
18,16707,1632,1178,483
19,15874,2000,1499,627
20,14862,2492,1803,843
21,13749,2874,2309,1068
22,12452,3340,2825,1383
23,11078,3774,3395,1753
24,9576,4233,3968,2223
25,8083,4577,4580,2760
26,6638,4763,5242,3357
27,5345,4696,5907,4052
28,4161,4558,6410,4871
29,3242,4216,6870,5672
30,2453,3829,7117,6601
31,1860,3381,7217,7542
32,1421,2832,7282,8465
33,1091,2367,7150,9392
34,847,1964,6854,10335
35,675,1629,6489,11207
36,552,1321,6076,12051
37,483,1041,5669,12807
38,435,852,5247,13466
39,386,725,4737,14152
40,362,589,4331,14718
41,326,490,3882,15302
42,335,395,3494,15776
43,351,340,3098,16211
44,375,288,2791,16546
45,395,235,2512,16858
46,409,193,2270,17128
47,437,165,2023,17375
48,464,150,1798,17588
49,483,141,1591,17785
50,523,123,1411,17943
51,556,111,1240,18093
52,592,98,1140,18170
53,647,94,1019,18240
54,696,92,893,18319
55,725,80,803,18392
56,760,82,696,18462
57,826,69,609,18496
58,868,49,554,18529
59,934,50,491,18525
60,974,55,442,18529
61,1027,55,388,18530
62,1076,63,345,18516
63,1111,59,302,18528
64,1179,54,280,18487
65,1239,50,250,18461
66,1287,46,221,18446
67,1340,42,210,18408
68,1394,36,194,18376
69,1448,42,178,18332
70,1492,38,166,18304
71,1546,31,158,18265
72,1600,32,134,18234
73,1673,32,124,18171
74,1729,31,112,18128
75,1792,30,103,18075
76,1849,25,98,18028
77,1922,23,89,17966
78,1966,25,82,17927
79,2023,26,74,17877
80,2085,27,69,17819
81,2144,29,69,17758
82,2215,24,69,17692
83,2263,19,67,17651
84,2325,16,62,17597
85,2379,22,58,17541
86,2436,24,57,17483
87,2487,27,51,17435
88,2545,23,53,17379
89,2591,19,51,17339
90,2634,19,49,17298
91,2671,24,48,17257
92,2716,19,51,17214
93,2759,23,42,17176
94,2803,21,38,17138
95,2862,21,35,17082
96,2904,25,33,17038
97,2957,23,33,16987
98,3011,21,35,16933
99,3066,17,40,16877
100,3124,20,35,16821
101,3175,21,35,16769
102,3223,17,36,16724
103,3265,18,35,16682
104,3308,14,36,16642
105,3346,18,30,16606
106,3399,17,36,16548
107,3433,17,35,16515
108,3478,17,32,16473
109,3534,13,34,16419
110,3573,14,34,16379
111,3622,11,34,16333
112,3649,14,34,16303
113,3687,11,34,16268
114,3725,12,33,16230
115,3762,16,34,16188
116,3819,16,35,16130
117,3860,12,34,16094
118,3911,10,32,16047
119,3957,11,27,16005
120,4012,11,27,15950
121,4054,16,28,15902
122,4091,12,32,15865
123,4124,13,32,15831
124,4178,16,29,15777
125,4218,17,27,15738
126,4248,21,28,15703
127,4292,13,32,15663
128,4340,15,27,15618
129,4386,15,32,15567
130,4435,18,32,15515
131,4467,24,29,15480
132,4504,22,32,15442
133,4550,19,33,15398
134,4579,19,33,15369
135,4609,16,38,15337
136,4639,19,38,15304
137,4689,19,35,15257
138,4729,14,38,15219
139,4767,16,31,15186
140,4822,10,33,15135
141,4864,14,26,15096
142,4910,14,27,15049
143,4945,15,23,15017
144,4983,15,28,14974
145,5024,18,27,14931
146,5062,17,24,14897
147,5103,19,24,14854
148,5137,19,27,14817
149,5176,19,27,14778
150,5207,19,27,14747
151,5242,20,29,14709
152,5295,20,30,14655
153,5323,21,30,14626
154,5360,21,32,14587
155,5396,15,39,14550
156,5430,15,40,14515
157,5458,20,34,14488
158,5483,24,35,14458
159,5530,24,35,14411
160,5565,23,38,14374
161,5594,27,41,14338
162,5636,33,42,14289
163,5674,29,48,14249
164,5705,26,47,14222
165,5731,32,44,14193
166,5759,35,49,14157
167,5788,37,54,14121
168,5826,43,49,14082
169,5851,50,54,14045
170,5883,49,67,14001
171,5932,49,63,13956
172,5963,51,67,13919
173,5976,71,71,13882
174,6003,70,84,13843
175,6011,76,93,13820
176,6021,84,101,13794
177,6028,87,104,13781
