iteration,S,E,I,R
0,19980,0,20,0
1,19966,14,18,2
2,19949,28,18,5
3,19932,33,28,7
4,19911,46,32,11
5,19884,58,44,14
6,19842,84,53,21
7,19781,131,67,21
8,19721,153,95,31
9,19649,184,120,47
10,19534,238,167,61
11,19397,302,219,82
12,19214,411,263,112
13,18979,522,355,144
14,18685,662,473,180
15,18282,859,621,238
16,17741,1146,779,334
17,17126,1429,1009,436
18,16341,1793,1304,562
19,15367,2237,1662,734
20,14304,2667,2053,976
21,13077,3144,2537,1242
22,11718,3644,3076,1562
23,10319,4053,3687,1941
24,8821,4422,4313,2444
25,7299,4638,5016,3047
26,5966,4687,5695,3652
27,4719,4659,6227,4395
28,3648,4440,6741,5171
29,2784,4086,7098,6032
30,2142,3557,7356,6945
31,1624,3081,7427,7868
32,1238,2614,7327,8821
33,945,2159,7117,9779
34,743,1784,6771,10702
35,572,1476,6364,11588
36,458,1220,5936,12386
37,414,979,5501,13106
38,343,803,5082,13772
39,312,644,4624,14420
40,323,490,4229,14958
41,327,390,3789,15494
42,328,343,3387,15942
43,334,279,3010,16377
44,350,247,2694,16709
45,376,197,2392,17035
46,408,170,2122,17300
47,428,152,1868,17552
48,467,141,1643,17749
49,488,143,1450,17919
50,537,125,1287,18051
51,579,101,1154,18166
52,625,85,1010,18280
53,676,88,873,18363
54,734,77,785,18404
55,771,78,697,18454
56,827,72,609,18492
57,891,72,525,18512
58,951,67,474,18508
59,985,77,409,18529
60,1037,71,384,18508
61,1079,56,358,18507
62,1127,49,322,18502
63,1185,45,271,18499
64,1245,44,237,18474
65,1301,42,218,18439
66,1358,39,204,18399
67,1395,34,186,18385
68,1456,34,173,18337
69,1512,36,157,18295
70,1568,39,135,18258
71,1619,40,121,18220
72,1672,37,111,18180
73,1735,31,108,18126
74,1791,26,112,18071
75,1853,27,105,18015
76,1912,22,98,17968
77,1983,23,89,17905
78,2042,16,89,17853
79,2090,20,82,17808
80,2159,20,72,17749
81,2206,26,65,17703
82,2262,28,57,17653
83,2324,25,57,17594
84,2384,22,56,17538
85,2426,23,53,17498
86,2495,23,47,17435
87,2551,13,47,17389
88,2604,14,45,17337
89,2637,11,47,17305
90,2687,11,40,17262
91,2739,13,37,17211
92,2794,12,34,17160
93,2846,16,32,17106
94,2907,11,36,17046
95,2971,13,35,16981
96,3024,17,29,16930
97,3063,19,26,16892
98,3111,15,26,16848
99,3159,14,25,16802
100,3207,13,19,16761
101,3253,14,19,16714
102,3305,10,22,16663
103,3363,9,21,16607
104,3412,9,21,16558
105,3462,10,20,16508
106,3509,12,21,16458
107,3544,16,24,16416
108,3591,16,28,16365
109,3632,18,24,16326
110,3669,17,26,16288
111,3727,17,25,16231
112,3773,20,26,16181
113,3821,18,28,16133
114,3867,19,31,16083
115,3912,22,32,16034
116,3949,20,31,16000
117,3979,21,32,15968
118,4017,21,29,15933
119,4063,17,35,15885
120,4105,20,36,15839
121,4142,20,36,15802
122,4185,18,32,15765
123,4227,18,33,15722
124,4264,18,34,15684
125,4302,19,32,15647
126,4336,19,29,15616
127,4372,17,34,15577
128,4421,20,36,15523
129,4453,21,37,15489
130,4486,22,43,15449
131,4538,20,47,15395
132,4574,26,43,15357
133,4610,24,45,15321
134,4643,29,43,15285
135,4691,28,43,15238
136,4734,28,42,15196
137,4775,28,49,15148
138,4815,34,53,15098
139,4839,33,61,15067
140,4874,35,63,15028
141,4915,35,65,14985
142,4944,43,65,14948
143,4965,47,67,14921
144,5007,46,74,14873
145,5049,42,78,14831
146,5074,47,70,14809
147,5111,51,80,14758
148,5130,59,80,14731
149,5152,69,83,14696
150,5166,70,82,14682
151,5197,58,97,14648
152,5249,58,102,14591
153,5274,54,113,14559
154,5307,56,109,14528
155,5326,69,107,14498
156,5352,72,113,14463
157,5375,79,118,14428
158,5404,70,133,14393
159,5411,86,135,14368
160,5428,81,139,14352
161,5431,89,146,14334
162,5443,95,151,14311
163,5472,96,163,14269
164,5466,106,181,14247
165,5472,119,190,14219
166,5476,117,209,14198
167,5461,131,218,14190
168,5469,146,224,14161
169,5452,157,250,14141
170,5426,167,257,14150
171,5403,183,278,14136
172,5376,187,299,14138
173,5364,199,308,14129
174,5344,190,345,14121
175,5308,212,350,14130
176,5292,223,358,14127
177,5257,232,386,14125
178,5211,257,401,14131
179,5178,259,433,14130
180,5120,288,448,14144
181,5069,301,482,14148
182,5006,330,502,14162
183,4965,353,500,14182
184,4913,345,526,14216
185,4869,342,533,14256
186,4813,350,559,14278
187,4738,358,597,14307
188,4687,362,613,14338
189,4628,371,631,14370
190,4541,404,642,14413
191,4485,396,679,14440
192,4417,402,712,14469
193,4354,415,722,14509
194,4265,440,724,14571
195,4196,444,738,14622
196,4157,420,764,14659
197,4092,425,784,14699
198,4009,446,799,14746
199,3938,452,804,14806
200,3875,447,822,14856
201,3810,436,822,14932
202,3759,432,835,14974
203,3682,437,852,15029
204,3605,447,882,15066
205,3536,458,862,15144
206,3475,451,878,15196
207,3403,462,876,15259
208,3350,454,877,15319
209,3268,444,910,15378
210,3241,411,894,15454
211,3223,382,883,15512
212,3196,387,857,15560
213,3166,378,837,15619
214,3155,359,831,15655
215,3130,350,800,15720
216,3078,358,813,15751
217,3039,356,814,15791
218,3014,355,801,15830
219,3000,347,776,15877
220,2988,341,753,15918
221,2976,334,766,15924
222,2961,333,773,15933
223,2923,356,742,15979
224,2915,344,729,16012
225,2916,309,723,16052
226,2929,310,714,16047
227,2915,322,707,16056
228,2948,283,707,16062
229,2938,271,708,16083
230,2940,255,707,16098
231,2936,253,704,16107
232,2947,245,673,16135
233,2935,273,629,16163
234,2945,268,636,16151
235,2950,267,612,16171
236,2967,274,594,16165
237,2987,258,611,16144
238,2995,266,596,16143
239,3004,258,588,16150
240,3022,258,572,16148
241,3035,259,566,16140
242,3037,257,566,16140
243,3028,263,557,16152
244,3042,246,555,16157
245,3059,241,539,16161
246,3087,229,529,16155
247,3135,235,520,16110
248,3163,241,502,16094
249,3186,230,496,16088
250,3222,199,501,16078
251,3217,229,474,16080
252,3256,208,478,16058
253,3266,210,465,16059
254,3303,219,461,16017
255,3340,211,462,15987
256,3379,211,461,15949
257,3409,204,457,15930
258,3438,210,467,15885
259,3477,208,464,15851
260,3510,219,438,15833
261,3536,219,433,15812
262,3555,222,439,15784
263,3591,214,438,15757
264,3633,205,449,15713
265,3649,201,442,15708
266,3664,218,437,15681
267,3700,229,428,15643
268,3715,230,428,15627
269,3750,241,421,15588
270,3797,220,428,15555
271,3829,220,433,15518
272,3871,220,448,15461
273,3904,210,461,15425
274,3913,231,457,15399
275,3912,235,452,15401
276,3939,236,444,15381
277,3969,236,450,15345
278,3978,239,445,15338
279,4009,226,451,15314
280,4025,247,437,15291
281,4029,260,430,15281
282,4025,254,443,15278
283,4042,253,458,15247
284,4040,274,470,15216
285,4040,282,473,15205
286,4042,277,495,15186
287,4052,258,514,15176
288,4079,258,520,15143
289,4111,260,510,15119
290,4114,271,521,15094
291,4120,279,529,15072
292,4117,288,529,15066
293,4112,297,524,15067
294,4112,295,535,15058
295,4127,303,534,15036
296,4125,299,552,15024
297,4135,293,574,14998
298,4129,319,558,14994
299,4132,332,579,14957
300,4130,312,607,14951
301,4123,315,602,14960
302,4134,313,608,14945
303,4124,306,617,14953
304,4122,315,620,14943
305,4100,346,647,14907
306,4095,344,660,14901
307,4083,338,668,14911
308,4056,354,679,14911
309,4050,366,670,14914
310,4041,366,687,14906
311,3990,393,684,14933
312,3959,400,711,14930
313,3939,382,737,14942
314,3926,414,723,14937
315,3915,414,753,14918
316,3896,423,754,14927
317,3870,397,786,14947
318,3843,394,790,14973
319,3830,383,803,14984
320,3813,393,801,14993
321,3782,397,813,15008
322,3742,431,811,15016
323,3694,449,825,15032
324,3681,435,846,15038
325,3664,410,883,15043
326,3625,412,865,15098
327,3605,419,855,15121
328,3582,411,848,15159
329,3570,434,835,15161
330,3548,411,859,15182
331,3528,398,866,15208
332,3504,408,850,15238
333,3464,420,848,15268
334,3453,433,829,15285
335,3445,435,818,15302
336,3423,424,848,15305
337,3425,388,876,15311
338,3429,367,869,15335
339,3402,384,857,15357
340,3371,403,827,15399
341,3345,402,818,15435
342,3340,414,815,15431
343,3304,421,818,15457
344,3303,410,820,15467
345,3315,397,815,15473
346,3294,403,800,15503
347,3266,385,795,15554
348,3248,358,818,15576
349,3230,363,815,15592
350,3216,379,781,15624
351,3202,384,778,15636
352,3188,382,780,15650
353,3171,420,778,15631
354,3181,404,789,15626
355,3188,382,798,15632
356,3205,362,792,15641
357,3202,358,783,15657
358,3197,371,786,15646
359,3201,381,781,15637
360,3221,379,782,15618
361,3221,380,772,15627
362,3228,369,782,15621
363,3241,347,766,15646
364,3272,310,784,15634
365,3265,337,741,15657
366,3276,344,723,15657
367,3299,314,743,15644
368,3330,316,706,15648
369,3340,328,685,15647
370,3357,308,699,15636
371,3359,312,691,15638
372,3355,314,703,15628
373,3368,309,710,15613
374,3373,303,701,15623
375,3379,309,696,15616
376,3361,300,701,15638
377,3358,323,677,15642
378,3362,328,680,15630
379,3368,322,657,15653
380,3378,336,650,15636
381,3365,333,667,15635
382,3350,339,667,15644
383,3351,339,674,15636
384,3373,334,673,15620
385,3374,350,651,15625
386,3397,347,648,15608
387,3421,321,664,15594
388,3453,302,663,15582
389,3457,304,662,15577
390,3502,284,658,15556
391,3528,282,647,15543
392,3530,274,650,15546
393,3519,295,618,15568
394,3533,291,627,15549
395,3519,302,620,15559
396,3539,314,627,15520
397,3524,322,629,15525
398,3547,321,628,15504
399,3554,324,641,15481
400,3556,342,634,15468
401,3578,318,658,15446
402,3602,315,645,15438
403,3612,316,648,15424
404,3627,318,654,15401
405,3630,331,645,15394
406,3617,340,642,15401
407,3637,334,639,15390
408,3621,325,677,15377
409,3598,351,657,15394
410,3627,331,654,15388
411,3644,313,670,15373
