iteration,S,E,I,R
0,19980,0,20,0
1,19964,16,18,2
2,19947,29,17,7
3,19933,34,23,10
4,19920,38,25,17
5,19899,49,33,19
6,19874,64,40,22
7,19846,78,49,27
8,19805,98,57,40
9,19753,128,74,45
10,19681,161,104,54
11,19593,208,131,68
12,19492,244,184,80
13,19331,324,238,107
14,19148,425,292,135
15,18890,560,380,170
16,18547,718,529,206
17,18117,935,672,276
18,17594,1204,854,348
19,16939,1563,1035,463
20,16182,1891,1303,624
21,15264,2265,1674,797
22,14177,2724,2084,1015
23,12928,3167,2622,1283
24,11598,3586,3210,1606
25,10135,4044,3773,2048
26,8647,4421,4387,2545
27,7180,4633,5023,3164
28,5810,4677,5689,3824
29,4586,4571,6300,4543
30,3582,4276,6737,5405
31,2776,3875,6996,6353
32,2111,3501,7140,7248
33,1590,3028,7181,8201
34,1222,2564,7106,9108
35,970,2098,6919,10013
36,764,1764,6597,10875
37,621,1428,6253,11698
38,518,1138,5879,12465
39,456,929,5419,13196
40,407,754,4967,13872
41,385,612,4520,14483
42,355,510,4113,15022
43,364,407,3700,15529
44,373,317,3312,15998
45,388,269,2957,16386
46,377,256,2610,16757
47,397,206,2311,17086
48,423,188,2042,17347
49,459,156,1825,17560
50,477,148,1618,17757
51,513,125,1437,17925
52,568,109,1258,18065
53,617,91,1135,18157
54,660,93,998,18249
55,693,84,901,18322
56,734,87,813,18366
57,792,68,743,18397
58,829,77,638,18456
59,877,67,588,18468
60,948,61,510,18481
61,1005,61,455,18479
62,1051,60,407,18482
63,1108,54,373,18465
64,1153,43,334,18470
65,1214,44,316,18426
66,1273,41,290,18396
67,1330,42,255,18373
68,1393,33,233,18341
69,1446,44,209,18301
70,1504,37,201,18258
71,1561,37,183,18219
72,1615,35,178,18172
73,1668,30,168,18134
74,1712,36,145,18107
75,1767,31,135,18067
76,1821,32,128,18019
77,1883,35,118,17964
78,1929,33,111,17927
79,1980,35,96,17889
80,2022,31,96,17851
81,2087,30,80,17803
82,2131,29,78,17762
83,2182,24,72,17722
84,2240,23,70,17667
85,2283,28,63,17626
86,2330,27,61,17582
87,2365,25,62,17548
88,2431,24,59,17486
89,2475,23,54,17448
90,2533,22,53,17392
91,2575,21,54,17350
92,2625,23,49,17303
93,2668,21,44,17267
94,2727,14,45,17214
95,2787,18,43,17152
96,2856,18,37,17089
97,2905,18,31,17046
98,2949,14,34,17003
99,3005,13,27,16955
100,3059,13,28,16900
101,3115,13,29,16843
102,3173,17,25,16785
103,3225,15,23,16737
104,3273,13,24,16690
105,3329,12,26,16633
106,3382,12,27,16579
107,3435,12,26,16527
108,3477,11,26,16486
109,3537,11,26,16426
110,3575,8,25,16392
111,3620,14,25,16341
112,3671,11,23,16295
113,3704,8,22,16266
114,3761,6,21,16212
115,3804,6,17,16173
116,3855,8,15,16122
117,3896,9,17,16078
118,3939,11,14,16036
119,3991,9,14,15986
120,4038,6,13,15943
121,4087,6,15,15892
122,4118,9,15,15858
123,4160,9,17,15814
124,4199,7,17,15777
125,4234,10,19,15737
126,4270,12,18,15700
127,4322,10,21,15647
128,4370,9,15,15606
129,4401,12,14,15573
130,4451,11,15,15523
131,4489,7,20,15484
132,4529,10,19,15442
133,4575,9,20,15396
134,4609,12,19,15360
135,4646,11,20,15323
136,4691,10,20,15279
137,4737,12,18,15233
138,4776,10,20,15194
139,4821,14,18,15147
140,4867,12,20,15101
141,4905,9,22,15064
142,4940,3,25,15032
143,4986,6,23,14985
144,5026,8,22,14944
145,5064,10,20,14906
146,5105,6,23,14866
147,5137,8,18,14837
148,5186,9,21,14784
149,5209,21,22,14748
150,5244,23,26,14707
151,5278,23,31,14668
152,5315,17,32,14636
153,5352,22,33,14593
154,5391,22,39,14548
155,5417,30,39,14514
156,5460,29,43,14468
157,5485,33,40,14442
158,5524,30,39,14407
159,5551,34,39,14376
160,5585,33,45,14337
161,5618,31,50,14301
162,5650,34,53,14263
163,5691,34,57,14218
164,5718,40,57,14185
165,5747,36,59,14158
166,5771,39,65,14125
167,5803,43,68,14086
168,5796,59,67,14078
169,5827,49,77,14047
170,5855,49,78,14018
171,5876,51,89,13984
172,5897,60,85,13958
173,5927,67,82,13924
174,5936,68,90,13906
175,5950,70,94,13886
176,5975,71,104,13850
177,6008,73,110,13809
178,6021,79,118,13782
179,6037,88,123,13752
180,6029,108,122,13741
181,6055,108,129,13708
182,6068,109,138,13685
183,6084,113,143,13660
184,6087,118,153,13642
185,6100,113,178,13609
186,6098,119,185,13598
187,6087,129,194,13590
188,6081,133,213,13573
189,6049,163,218,13570
190,6025,161,248,13566
191,5990,179,275,13556
192,5946,209,299,13546
193,5888,245,308,13559
194,5859,241,347,13553
195,5818,276,361,13545
196,5776,279,375,13570
197,5723,290,403,13584
198,5679,299,404,13618
199,5632,309,438,13621
200,5573,320,469,13638
201,5499,351,497,13653
202,5437,362,537,13664
203,5388,360,562,13690
204,5330,376,595,13699
205,5266,388,618,13728
206,5184,395,653,13768
207,5094,427,669,13810
208,5027,445,664,13864
209,4942,457,701,13900
210,4835,471,759,13935
211,4738,463,814,13985
212,4635,472,846,14047
213,4530,490,882,14098
214,4430,511,893,14166
215,4315,516,923,14246
216,4216,519,934,14331
217,4114,516,973,14397
218,3983,527,1008,14482
219,3863,543,1017,14577
220,3766,516,1075,14643
221,3650,539,1069,14742
222,3559,537,1059,14845
223,3463,540,1042,14955
224,3383,535,1036,15046
225,3309,515,1035,15141
226,3237,479,1065,15219
227,3167,455,1067,15311
228,3089,462,1063,15386
229,3031,443,1057,15469
230,2941,461,1054,15544
231,2882,448,1024,15646
232,2836,442,1000,15722
233,2783,450,972,15795
234,2772,412,996,15820
235,2722,408,967,15903
236,2699,401,947,15953
237,2673,395,925,16007
238,2649,357,936,16058
239,2625,336,925,16114
240,2624,316,918,16142
241,2622,307,875,16196
242,2612,301,845,16242
243,2599,309,806,16286
244,2595,305,772,16328
245,2605,299,753,16343
246,2613,288,736,16363
247,2609,281,719,16391
248,2618,260,726,16396
249,2611,267,681,16441
250,2616,256,653,16475
251,2644,243,627,16486
252,2670,231,622,16477
253,2709,213,623,16455
254,2755,209,601,16435
255,2768,223,574,16435
256,2797,225,562,16416
257,2839,218,536,16407
258,2862,228,527,16383
259,2903,211,518,16368
260,2942,206,510,16342
261,2964,195,503,16338
262,2971,219,472,16338
263,3011,209,456,16324
264,3035,202,436,16327
265,3075,204,424,16297
266,3108,212,420,16260
267,3147,209,407,16237
268,3175,185,423,16217
269,3205,176,418,16201
270,3253,172,403,16172
271,3315,177,370,16138
272,3339,181,379,16101
273,3374,180,399,16047
274,3388,188,399,16025
275,3403,201,403,15993
276,3437,193,410,15960
277,3486,181,408,15925
278,3498,188,420,15894
279,3552,178,420,15850
280,3580,196,412,15812
281,3603,196,413,15788
282,3632,189,420,15759
283,3665,196,406,15733
284,3677,212,389,15722
285,3671,238,379,15712
286,3720,214,402,15664
287,3754,204,413,15629
288,3772,215,412,15601
289,3789,225,399,15587
290,3792,235,414,15559
291,3823,231,419,15527
292,3838,238,445,15479
293,3848,248,463,15441
294,3842,246,477,15435
295,3870,235,469,15426
296,3903,235,478,15384
297,3919,257,477,15347
298,3935,253,489,15323
299,3955,248,494,15303
300,3960,263,489,15288
301,3960,278,485,15277
302,3987,278,477,15258
303,4018,261,496,15225
304,4027,279,501,15193
305,4030,267,512,15191
306,4022,289,509,15180
307,4011,291,501,15197
308,4024,278,539,15159
309,4014,299,549,15138
310,4006,305,573,15116
311,3987,313,583,15117
312,3989,319,591,15101
313,3974,322,609,15095
314,3942,347,609,15102
315,3940,345,607,15108
316,3956,323,637,15084
317,3953,323,653,15071
318,3939,330,656,15075
319,3922,352,634,15092
320,3912,353,637,15098
321,3897,351,667,15085
322,3872,351,684,15093
323,3856,373,694,15077
324,3856,356,723,15065
325,3853,361,704,15082
326,3848,349,727,15076
327,3842,366,720,15072
328,3814,375,723,15088
329,3765,388,738,15109
330,3745,359,769,15127
331,3728,373,768,15131
332,3718,380,762,15140
333,3693,402,754,15151
334,3669,418,760,15153
335,3630,440,766,15164
336,3591,441,773,15195
337,3563,443,783,15211
338,3549,420,804,15227
339,3537,416,786,15261
340,3515,406,793,15286
341,3511,366,832,15291
342,3496,374,824,15306
343,3479,372,815,15334
344,3442,404,824,15330
345,3416,415,840,15329
346,3405,394,850,15351
347,3401,398,829,15372
348,3393,397,830,15380
349,3372,406,827,15395
350,3338,417,813,15432
351,3340,402,805,15453
352,3310,416,812,15462
353,3324,398,816,15462
354,3313,387,819,15481
355,3310,399,811,15480
356,3288,378,837,15497
357,3288,357,839,15516
358,3272,372,847,15509
359,3241,387,822,15550
360,3230,381,833,15556
361,3215,373,824,15588
362,3189,379,818,15614
363,3188,374,819,15619
364,3177,385,819,15619
365,3172,381,805,15642
366,3188,355,793,15664
367,3200,351,776,15673
368,3201,362,768,15669
369,3220,357,765,15658
370,3207,354,758,15681
371,3212,361,740,15687
372,3238,349,728,15685
373,3224,345,738,15693
374,3218,346,710,15726
375,3227,323,722,15728
376,3247,316,731,15706
377,3268,318,718,15696
378,3260,322,726,15692
379,3265,325,715,15695
380,3270,320,736,15674
381,3272,317,747,15664
382,3258,358,742,15642
383,3264,365,748,15623
384,3268,365,760,15607
385,3280,336,765,15619
386,3282,358,732,15628
387,3290,350,744,15616
388,3278,355,737,15630
389,3281,332,751,15636
390,3312,344,717,15627
391,3309,351,717,15623
392,3319,350,717,15614
393,3338,340,716,15606
394,3357,322,720,15601
395,3370,332,703,15595
396,3385,328,692,15595
397,3389,349,688,15574
398,3426,317,696,15561
399,3435,319,691,15555
400,3452,311,687,15550
401,3499,291,670,15540
402,3480,320,642,15558
403,3498,314,625,15563
404,3526,314,622,15538
405,3537,316,632,15515
406,3555,298,632,15515
407,3552,307,638,15503
408,3547,314,643,15496
409,3549,293,674,15484
410,3546,301,668,15485
411,3560,291,663,15486
412,3570,297,648,15485
413,3575,308,640,15477
414,3583,314,637,15466
415,3549,342,636,15473
416,3571,333,642,15454
417,3576,314,669,15441
418,3596,306,678,15420
419,3599,328,665,15408
420,3609,310,700,15381
421,3613,310,707,15370
422,3601,333,691,15375
423,3596,340,697,15367
424,3579,345,701,15375
425,3570,351,703,15376
426,3570,363,711,15356
427,3555,372,735,15338
428,3518,405,714,15363
429,3503,413,734,15350
430,3504,398,769,15329
431,3493,375,798,15334
432,3473,375,792,15360
433,3475,361,786,15378
434,3441,387,782,15390
435,3420,381,777,15422
436,3373,396,767,15464
437,3365,396,770,15469
438,3376,363,782,15479
439,3352,381,772,15495
440,3354,379,775,15492
441,3362,384,789,15465
442,3375,368,785,15472
443,3374,364,785,15477
444,3365,351,778,15506
445,3358,346,777,15519
446,3361,320,781,15538
447,3374,325,771,15530
448,3371,324,761,15544
449,3354,362,744,15540
450,3369,347,747,15537
451,3390,330,746,15534
452,3379,341,720,15560
453,3386,337,699,15578
454,3392,325,722,15561
455,3412,325,721,15542
456,3424,309,724,15543
457,3430,323,698,15549
458,3440,343,682,15535
459,3455,345,693,15507
460,3459,352,685,15504
461,3439,358,665,15538
462,3444,337,678,15541
463,3435,340,688,15537
464,3472,322,680,15526
465,3462,339,674,15525
466,3468,318,655,15559
467,3472,306,657,15565
468,3485,309,641,15565
469,3497,310,661,15532
470,3489,312,669,15530
471,3492,314,659,15535
472,3534,306,644,15516
473,3534,314,647,15505
474,3529,321,652,15498
475,3533,307,647,15513
476,3555,299,648,15498
477,3562,296,654,15488
478,3586,305,636,15473
479,3578,314,625,15483
480,3596,301,630,15473
481,3605,322,600,15473
482,3608,324,622,15446
483,3604,321,643,15432
484,3607,321,651,15421
485,3605,317,640,15438
486,3610,298,650,15442
487,3597,315,634,15454
488,3602,320,634,15444
489,3604,319,640,15437
490,3603,317,670,15410
491,3609,312,672,15407
492,3612,307,668,15413
493,3636,297,661,15406
494,3637,311,671,15381
495,3655,299,657,15389
496,3647,298,661,15394
497,3648,311,634,15407
498,3643,324,653,15380
499,3663,329,659,15349
500,3662,333,665,15340
501,3653,333,675,15339
502,3658,327,674,15341
503,3663,337,667,15333
504,3653,338,658,15351
505,3641,340,652,15367
506,3671,320,667,15342
507,3665,320,692,15323
508,3645,341,714,15300
509,3627,361,715,15297
510,3606,360,731,15303
511,3568,398,721,15313
512,3569,351,758,15322
513,3563,347,759,15331
514,3553,348,777,15322
515,3537,354,771,15338
516,3541,342,764,15353
517,3532,370,747,15351
518,3546,352,758,15344
519,3547,362,762,15329
520,3544,368,754,15334
521,3517,368,747,15368
522,3498,359,754,15389
523,3493,376,747,15384
524,3471,382,764,15383
525,3464,379,761,15396
526,3463,382,735,15420
527,3452,378,766,15404
528,3469,363,757,15411
529,3450,369,761,15420
530,3439,381,750,15430
531,3433,408,727,15432
532,3431,404,739,15426
533,3421,372,758,15449
534,3423,368,771,15438
535,3433,376,760,15431
536,3429,371,788,15412
537,3413,376,782,15429
538,3413,379,780,15428
539,3417,354,791,15438
540,3429,339,794,15438
541,3424,345,777,15454
542,3423,358,768,15451
543,3419,364,775,15442
544,3422,362,790,15426
545,3409,358,789,15444
546,3390,350,801,15459
547,3383,356,802,15459
548,3381,354,823,15442
549,3384,363,785,15468
550,3348,375,804,15473
551,3329,378,785,15508
552,3318,374,792,15516
553,3325,352,775,15548
554,3334,364,723,15579
555,3352,334,731,15583
556,3363,331,706,15600
557,3375,328,713,15584
558,3384,335,702,15579
559,3374,337,741,15548
560,3377,356,719,15548
561,3387,355,721,15537
562,3387,372,711,15530
563,3416,359,713,15512
564,3418,370,701,15511
565,3412,385,679,15524
566,3407,362,694,15537
567,3426,355,698,15521
568,3431,348,697,15524
569,3428,349,709,15514
570,3435,348,691,15526
571,3429,364,680,15527
572,3444,344,712,15500
573,3453,350,716,15481
574,3459,354,708,15479
575,3464,347,725,15464
576,3466,356,719,15459
577,3449,369,736,15446
578,3433,361,749,15457
579,3450,345,744,15461
580,3426,352,735,15487
581,3439,345,747,15469
582,3437,326,763,15474
583,3428,336,724,15512
584,3463,316,708,15513
585,3486,316,724,15474
586,3502,323,693,15482
587,3517,337,676,15470
588,3555,316,669,15460
589,3570,333,658,15439
590,3580,332,670,15418
591,3581,349,676,15394
592,3611,314,695,15380
593,3598,339,688,15375
594,3630,312,705,15353
595,3622,333,705,15340
596,3618,337,711,15334
597,3619,343,688,15350
598,3642,327,694,15337
599,3638,338,700,15324
600,3637,363,691,15309
601,3639,353,711,15297
602,3641,353,731,15275
603,3659,370,718,15253
604,3650,360,727,15263
605,3644,360,723,15273
606,3627,363,740,15270
607,3622,372,744,15262
608,3634,365,727,15274
609,3627,359,728,15286
610,3625,357,700,15318
611,3623,357,686,15334
612,3607,361,710,15322
613,3606,357,720,15317
614,3621,353,719,15307
615,3629,351,728,15292
616,3628,342,729,15301
617,3624,346,732,15298
618,3599,355,743,15303
619,3615,360,722,15303
620,3618,359,732,15291
621,3632,347,717,15304
622,3623,361,721,15295
623,3626,353,730,15291
624,3595,359,736,15310
625,3612,366,725,15297
626,3615,349,729,15307
627,3598,356,727,15319
628,3592,374,731,15303
629,3610,361,746,15283
630,3614,382,748,15256
631,3613,366,767,15254
632,3593,364,787,15256
633,3613,351,778,15258
634,3624,352,754,15270
635,3613,365,754,15268
636,3627,361,753,15259
637,3590,394,761,15255
638,3579,385,762,15274
639,3571,395,763,15271
640,3565,389,770,15276
641,3560,368,794,15278
642,3535,372,796,15297
643,3492,377,798,15333
644,3477,378,775,15370
645,3477,354,780,15389
646,3467,347,790,15396
647,3461,335,802,15402
648,3490,343,777,15390
649,3493,371,732,15404
650,3490,362,728,15420
651,3497,362,726,15415
652,3499,358,748,15395
653,3491,349,749,15411
654,3465,367,748,15420
655,3447,357,766,15430
656,3448,350,763,15439
657,3475,349,740,15436
658,3448,362,746,15444
659,3463,364,743,15430
660,3455,358,752,15435
661,3456,360,750,15434
662,3470,371,726,15433
663,3485,371,741,15403
664,3470,362,751,15417
665,3439,402,743,15416
666,3453,390,741,15416
667,3477,383,759,15381
668,3486,359,760,15395
669,3482,345,753,15420
670,3472,342,752,15434
671,3493,322,746,15439
672,3500,316,738,15446
673,3498,320,736,15446
674,3510,319,739,15432
675,3501,321,734,15444
676,3478,323,742,15457
677,3454,337,717,15492
678,3465,331,722,15482
679,3464,339,709,15488
680,3443,356,707,15494
681,3455,330,725,15490
682,3464,334,729,15473
683,3465,331,726,15478
684,3467,332,733,15468
685,3460,318,732,15490
686,3474,331,714,15481
687,3470,335,710,15485
688,3476,336,717,15471
689,3439,354,719,15488
690,3427,347,731,15495
691,3408,363,726,15503
692,3412,332,735,15521
693,3408,348,733,15511
694,3415,335,737,15513
695,3412,352,738,15498
696,3406,341,738,15515
697,3397,363,737,15503
698,3396,368,764,15472
699,3381,368,771,15480
700,3383,344,791,15482
701,3367,356,788,15489
702,3363,352,785,15500
703,3357,335,786,15522
704,3359,341,774,15526
705,3365,340,763,15532
706,3379,366,752,15503
707,3389,367,742,15502
708,3387,366,750,15497
709,3401,364,742,15493
710,3422,369,719,15490
711,3435,361,724,15480
712,3436,340,719,15505
713,3433,342,725,15500
714,3423,355,704,15518
715,3438,344,722,15496
716,3439,338,719,15504
717,3441,361,706,15492
718,3443,340,707,15510
719,3437,348,709,15506
720,3427,356,699,15518
721,3439,346,709,15506
722,3431,347,703,15519
723,3437,355,704,15504
724,3439,340,718,15503
725,3419,355,701,15525
726,3416,353,699,15532
727,3438,337,697,15528
728,3444,327,694,15535
729,3464,327,699,15510
