iteration,S,E,I,R
0,19980,0,20,0
1,19970,10,18,2
2,19957,23,16,4
3,19945,30,19,6
4,19923,49,21,7
5,19897,58,34,11
6,19873,66,46,15
7,19834,85,61,20
8,19775,114,83,28
9,19714,148,95,43
10,19633,184,129,54
11,19528,236,166,70
12,19395,293,217,95
13,19211,390,279,120
14,18984,497,360,159
15,18707,666,426,201
16,18340,850,547,263
17,17882,1051,740,327
18,17337,1292,948,423
19,16623,1655,1178,544
20,15779,2013,1508,700
21,14766,2455,1899,880
22,13605,2897,2369,1129
23,12311,3383,2872,1434
24,10911,3773,3500,1816
25,9444,4144,4147,2265
26,7860,4560,4761,2819
27,6441,4765,5326,3468
28,5149,4737,5878,4236
29,4008,4540,6460,4992
30,3116,4098,6924,5862
31,2363,3712,7200,6725
32,1810,3257,7288,7645
33,1360,2819,7229,8592
34,1029,2373,7054,9544
35,779,1921,6843,10457
36,622,1565,6452,11361
37,544,1239,6055,12162
38,479,1021,5596,12904
39,416,837,5173,13574
40,403,650,4685,14262
41,396,534,4209,14861
42,379,419,3775,15427
43,377,350,3375,15898
44,393,292,2996,16319
45,387,251,2658,16704
46,417,221,2405,16957
47,444,191,2133,17232
48,475,162,1919,17444
49,507,149,1707,17637
50,537,143,1521,17799
51,601,124,1339,17936
52,621,134,1169,18076
53,668,105,1063,18164
54,711,103,925,18261
55,776,93,826,18305
56,808,96,737,18359
57,858,89,648,18405
58,900,87,579,18434
59,941,76,518,18465
60,1001,77,454,18468
61,1053,68,404,18475
62,1107,65,371,18457
63,1157,53,337,18453
64,1203,51,304,18442
65,1272,49,268,18411
66,1318,43,234,18405
67,1385,39,209,18367
68,1448,44,189,18319
69,1507,36,162,18295
70,1552,32,148,18268
71,1602,28,124,18246
72,1666,37,108,18189
73,1755,27,108,18110
74,1816,26,93,18065
75,1878,20,89,18013
76,1926,23,81,17970
77,1973,25,79,17923
78,2023,22,80,17875
79,2091,19,80,17810
80,2148,19,73,17760
81,2204,24,68,17704
82,2253,20,71,17656
83,2321,16,66,17597
84,2379,17,56,17548
85,2423,22,52,17503
86,2478,18,55,17449
87,2524,17,60,17399
88,2570,15,59,17356
89,2600,22,59,17319
90,2642,17,63,17278
91,2677,19,49,17255
92,2725,13,50,17212
93,2776,12,48,17164
94,2817,14,45,17124
95,2863,14,40,17083
96,2913,17,37,17033
97,2957,18,32,16993
98,3022,17,31,16930
99,3069,14,29,16888
100,3120,14,27,16839
101,3171,11,31,16787
102,3213,13,30,16744
103,3252,7,35,16706
104,3305,4,30,16661
105,3357,12,27,16604
106,3398,15,24,16563
107,3451,16,25,16508
108,3485,19,24,16472
109,3519,25,23,16433
110,3561,24,25,16390
111,3603,17,28,16352
112,3643,10,33,16314
113,3680,13,35,16272
114,3719,17,35,16229
115,3742,17,32,16209
116,3781,19,35,16165
117,3829,21,34,16116
118,3876,20,33,16071
119,3916,19,35,16030
120,3963,20,42,15975
121,4004,19,40,15937
122,4052,16,39,15893
123,4104,17,35,15844
124,4143,19,35,15803
125,4173,20,36,15771
126,4231,20,37,15712
127,4259,18,37,15686
128,4298,21,32,15649
129,4353,15,35,15597
130,4377,19,37,15567
131,4417,23,38,15522
132,4457,24,37,15482
133,4496,19,38,15447
134,4533,21,32,15414
135,4589,21,25,15365
136,4630,19,28,15323
137,4675,14,30,15281
138,4723,11,29,15237
139,4766,15,30,15189
140,4805,13,34,15148
141,4843,13,33,15111
142,4880,14,31,15075
143,4914,17,29,15040
144,4955,19,31,14995
145,4992,21,32,14955
146,5020,22,37,14921
147,5051,26,39,14884
148,5082,26,40,14852
149,5107,24,45,14824
150,5143,20,48,14789
