Langage,Pic I (moyenne),Pic I (std),Jour pic (moyenne)
C,6586.9,73.35005817641017,26.533333333333335
C++,6580.7,96.64087448222752,26.833333333333332
Python,7296.033333333334,82.87443070312952,31.5
