temps,S,E,I,R
704.8000000000001,0.28482614222786806,0.0040379791764230425,0.009471006442391666,0.7016648721533162
704.9000000000001,0.28488348323500223,0.004038263301723871,0.009470315329435508,0.7016079381338374
705.0,0.2849407912070981,0.004038555263039933,0.009469643552845174,0.7015510099770158
705.1,0.28499806589000026,0.0040388550550584925,0.009468991097606084,0.7014940879573341
705.2,0.28505530702979315,0.00403916267247912,0.009468357948741003,0.7014371723489857
705.3000000000001,0.28511251437280044,0.004039478110013594,0.00946774409130991,0.701380263425875
705.4000000000001,0.2851696876655848,0.004039801362385806,0.009467149510409879,0.7013233614616184
705.5,0.28522682665494753,0.0040401324243316645,0.009466574191174946,0.7012664667295447
705.6,0.28528393108792804,0.004040471290598994,0.009466018118775985,0.7012095795026958
705.7,0.2853410007118036,0.004040817955947442,0.009465481278420578,0.7011527000538271
705.8000000000001,0.285398035274089,0.0040411724151483775,0.009464963655352881,0.7010958286554085
705.9000000000001,0.28545503452253596,0.004041534662984792,0.009464465234853498,0.7010389655796245
706.0,0.285511998205133,0.004041904694251203,0.009463986002239336,0.7009821110983753
706.1,0.28556892607010503,0.0040422825037535505,0.009463525942863482,0.7009252654832767
706.2,0.2856258178659129,0.004042668086309101,0.00946308504211506,0.7008684290056617
706.3000000000001,0.28568267334125313,0.004043061436746343,0.009462663285419089,0.7008116019365802
706.4000000000001,0.28573949224505757,0.00404346254990489,0.009462260658236354,0.7007547845468
706.5,0.28579627432649296,0.004043871420635376,0.00946187714606326,0.7006979771068071
706.6,0.28585301933496066,0.004044288043799353,0.009461512734431682,0.7006411798868071
706.7,0.2859097270200963,0.004044712414269193,0.009461167408908837,0.7005843931567244
706.8000000000001,0.2859663971317695,0.004045144526927981,0.009460841155097127,0.700527617186204
706.9000000000001,0.2860230294200835,0.004045584376669412,0.009460533958633997,0.7004708522446117
707.0,0.28607962363537476,0.004046031958397691,0.009460245805191789,0.7004140986010343
707.1,0.28613617952821274,0.004046487267027425,0.00945997668047759,0.7003573565242808
707.2,0.2861926968493995,0.004046950297483518,0.009459726570233081,0.7003006262828824
707.3000000000001,0.2862491753499696,0.004047421044701072,0.009459495460234392,0.7002439081450934
707.4000000000001,0.28630561478118943,0.004047899503625272,0.009459283336291943,0.7001872023788919
707.5,0.2863620148945572,0.004048385669211291,0.009459090184250287,0.7001305092519797
707.6,0.2864183754418026,0.004048879536424174,0.009458915989987963,0.7000738290317838
707.7,0.2864746961748863,0.004049381100238736,0.009458760739417335,0.7000171619854562
707.8000000000001,0.286530976846,0.004049890355639456,0.00945862441848443,0.6999605083798747
707.9000000000001,0.28658721720756575,0.004050407297620366,0.009458507013168785,0.6999038684816437
708.0,0.286643417012236,0.004050931921184944,0.009458408509483283,0.6998472425570943
708.1,0.28669957601289314,0.004051464221346008,0.00945832889347399,0.6997906308722854
708.2,0.28675569396264927,0.004052004193125603,0.00945826815121999,0.6997340336930037
708.3000000000001,0.286811770614846,0.004052551831554895,0.009458226268833227,0.6996774512847644
