temps,S,E,I,R
92.80000000000001,0.1131904216302788,0.001007242615654909,0.004890279546991974,0.8809120562070758
92.9,0.11340409075891196,0.0010013445019904429,0.004853993164461538,0.8807405715746376
93.0,0.11361786641157645,0.0009954894859923815,0.0048180285550355785,0.8805686155473971
93.10000000000001,0.11383174738083222,0.0009896772093626286,0.00478238255854434,0.8803961928512622
93.2,0.1140457324690657,0.0009839073172146768,0.00474705204802008,0.880223308165701
93.30000000000001,0.11425982048840176,0.0009781794580351157,0.004712033929336473,0.8800499661242281
93.4,0.11447401026061677,0.0009724932836456741,0.004677325140851884,0.8798761713148872
93.5,0.11468830061705226,0.0009668484491657909,0.004642922653056475,0.8797019282807269
93.60000000000001,0.11490269039852971,0.0009612446129757044,0.0046088234682231,0.879527241520273
93.7,0.11511717845526598,0.0009556814366800501,0.00457502462006196,0.8793521154879935
93.80000000000001,0.11533176364678967,0.0009501585850719605,0.004541523173378981,0.879176554594761
93.9,0.11554644484185832,0.0009446757260976566,0.00450831622373787,0.8790005632083078
94.0,0.11576122091837639,0.0009392325308215238,0.0044754008971258225,0.8788241456536778
94.10000000000001,0.11597609076331411,0.0009338286733916638,0.004442774349622838,0.8786473062136729
94.2,0.11619105327262708,0.0009284638310059141,0.004410433767074615,0.8784700491292939
94.30000000000001,0.11640610735117665,0.0009231376838783283,0.004378376364768984,0.8782923786001776
94.4,0.11662125191265114,0.0009178499152061084,0.004346599387115848,0.8781142987850284
94.5,0.11683648587948783,0.000912600211136982,0.004315100107330587,0.8779358138020461
94.60000000000001,0.11705180818279566,0.0009073882607370179,0.004283875827120906,0.8777569277293479
94.7,0.11726721776227875,0.0009022137559588708,0.004252923876377079,0.8775776446053868
94.80000000000001,0.11748271356616061,0.0008970763916104504,0.004222241612865559,0.8773979684293649
94.9,0.11769829455110918,0.0008919758653240057,0.004191826421925924,0.8772179031616424
95.0,0.11791395968216252,0.0008869118775256202,0.0041616757161711156,0.8770374527241422
95.10000000000001,0.11812970793265523,0.000881884131405108,0.0041317869351909535,0.8768566210007502
95.2,0.11834553828414567,0.0008768923328863078,0.004102157545258872,0.8766754118377107
95.30000000000001,0.11856144972634376,0.0008719361905977658,0.004072785039041861,0.8764938290440182
95.4,0.11877744125703964,0.0008670154158438019,0.004043666935313569,0.8763118763918045
95.5,0.11899351188203282,0.0008621297225759539,0.00401480077867055,0.8761295576167222
95.60000000000001,0.11920966061506225,0.0008572788273647919,0.0039861841392515975,0.8759468764183229
95.7,0.11942588647773685,0.0008524624493720985,0.003957814612460163,0.8757638364604324
95.80000000000001,0.11964218849946685,0.0008476803103234083,0.003929689818689802,0.8755804413715215
