iteration,S,E,I,R
0,19980,0,20,0
1,19948,21,27,4
2,19925,30,37,8
3,19889,47,49,15
4,19851,61,63,25
5,19796,83,83,38
6,19725,109,114,52
7,19641,146,143,70
8,19517,188,205,90
9,19341,258,263,138
10,19100,377,338,185
11,18795,486,463,256
12,18417,615,618,350
13,17895,779,876,450
14,17200,1039,1155,606
15,16271,1408,1522,799
16,15139,1819,1976,1066
17,13900,2121,2553,1426
18,12476,2535,3129,1860
19,10962,2943,3696,2399
20,9318,3258,4407,3017
21,7709,3523,5050,3718
22,6275,3508,5677,4540
23,4998,3415,6145,5442
24,3888,3262,6512,6338
25,3043,2965,6661,7331
26,2357,2635,6694,8314
27,1858,2229,6577,9336
28,1499,1853,6369,10279
29,1221,1558,6060,11161
30,1013,1314,5643,12030
31,874,1072,5264,12790
32,795,863,4831,13511
33,700,709,4447,14144
34,645,599,4022,14734
35,613,485,3639,15263
36,592,394,3320,15694
37,593,329,2984,16094
38,599,267,2705,16429
39,590,234,2421,16755
40,598,201,2165,17036
41,622,163,1954,17261
42,636,146,1730,17488
43,684,134,1523,17659
44,722,116,1349,17813
45,749,107,1179,17965
46,786,87,1018,18109
47,822,86,885,18207
48,871,74,768,18287
49,926,57,699,18318
50,980,58,613,18349
51,1024,63,537,18376
52,1078,57,492,18373
53,1136,53,434,18377
54,1176,51,395,18378
55,1228,44,374,18354
56,1283,40,354,18323
57,1339,38,313,18310
58,1385,42,285,18288
59,1446,35,254,18265
60,1514,28,229,18229
61,1565,30,197,18208
62,1612,23,187,18178
63,1671,24,168,18137
64,1725,25,155,18095
65,1775,23,139,18063
66,1827,30,126,18017
67,1878,31,109,17982
68,1926,23,99,17952
69,1984,20,95,17901
70,2036,23,79,17862
71,2086,19,69,17826
72,2132,17,61,17790
73,2176,13,55,17756
74,2249,10,50,17691
75,2310,8,51,17631
76,2368,9,47,17576
77,2443,9,46,17502
78,2494,7,38,17461
79,2551,6,33,17410
80,2607,6,35,17352
81,2662,6,32,17300
82,2724,4,34,17238
83,2771,3,34,17192
84,2827,4,31,17138
85,2873,6,22,17099
86,2929,6,24,17041
87,2981,5,23,16991
88,3042,8,18,16932
89,3078,5,15,16902
90,3127,5,15,16853
91,3159,4,18,16819
92,3213,6,15,16766
93,3273,5,15,16707
94,3308,6,17,16669
95,3363,5,14,16618
96,3409,6,14,16571
97,3451,7,10,16532
98,3507,3,15,16475
99,3547,2,15,16436
100,3595,2,14,16389
101,3643,2,14,16341
102,3678,4,13,16305
103,3719,4,10,16267
104,3773,2,11,16214
105,3814,3,11,16172
106,3867,4,12,16117
107,3918,3,13,16066
108,3964,4,11,16021
109,4018,2,14,15966
110,4068,3,13,15916
111,4101,2,14,15883
112,4156,1,16,15827
113,4206,2,15,15777
114,4254,2,13,15731
115,4296,3,13,15688
116,4348,3,13,15636
117,4383,5,13,15599
118,4416,3,16,15565
119,4457,6,17,15520
120,4510,5,18,15467
121,4541,7,16,15436
122,4590,6,19,15385
123,4633,5,20,15342
124,4678,2,19,15301
125,4720,4,16,15260
126,4755,5,16,15224
127,4805,5,15,15175
128,4836,5,13,15146
129,4878,9,14,15099
130,4921,9,14,15056
131,4953,8,14,15025
132,4999,7,17,14977
133,5038,7,15,14940
134,5081,11,13,14895
135,5132,7,17,14844
136,5157,6,15,14822
137,5194,8,16,14782
138,5220,10,14,14756
139,5270,7,15,14708
140,5305,9,16,14670
141,5339,10,14,14637
142,5369,9,19,14603
143,5403,6,23,14568
144,5441,7,20,14532
145,5467,8,20,14505
146,5505,8,27,14460
147,5545,10,27,14418
148,5589,11,28,14372
149,5640,10,30,14320
150,5665,15,29,14291
151,5696,16,31,14257
152,5723,17,27,14233
153,5764,14,29,14193
154,5790,23,26,14161
155,5825,23,29,14123
156,5876,18,31,14075
157,5907,17,34,14042
158,5947,15,31,14007
159,5977,16,33,13974
160,6006,12,41,13941
161,6030,17,38,13915
162,6063,18,45,13874
163,6087,25,49,13839
164,6108,20,57,13815
165,6139,24,57,13780
166,6174,27,57,13742
167,6210,25,62,13703
168,6232,22,63,13683
169,6260,18,68,13654
170,6277,21,64,13638
171,6302,22,76,13600
172,6315,31,75,13579
173,6343,31,73,13553
174,6367,35,79,13519
175,6385,38,80,13497
176,6391,36,87,13486
177,6416,36,88,13460
178,6434,39,99,13428
179,6453,49,100,13398
180,6463,51,107,13379
181,6464,62,114,13360
182,6476,69,118,13337
183,6471,65,136,13328
184,6475,67,148,13310
185,6468,81,161,13290
186,6481,77,175,13267
187,6472,86,185,13257
188,6449,107,188,13256
189,6463,101,196,13240
190,6457,108,200,13235
191,6435,118,227,13220
192,6413,120,243,13224
193,6396,124,249,13231
194,6365,129,277,13229
195,6332,142,285,13241
196,6303,139,321,13237
197,6234,166,342,13258
198,6179,182,363,13276
199,6140,189,376,13295
200,6090,180,401,13329
201,6038,220,385,13357
202,5983,222,399,13396
203,5912,234,428,13426
204,5838,250,449,13463
205,5781,252,464,13503
206,5718,253,485,13544
207,5645,253,516,13586
208,5586,256,530,13628
209,5522,266,542,13670
210,5447,272,564,13717
211,5364,286,585,13765
212,5276,294,630,13800
213,5196,297,646,13861
214,5100,313,664,13923
215,5006,323,687,13984
216,4930,337,689,14044
217,4871,329,702,14098
218,4768,347,728,14157
219,4674,359,724,14243
220,4597,346,770,14287
221,4511,348,785,14356
222,4427,344,804,14425
223,4332,356,801,14511
224,4260,350,825,14565
225,4200,332,852,14616
226,4100,362,851,14687
227,4043,341,859,14757
228,3972,324,871,14833
229,3896,338,860,14906
230,3805,340,887,14968
231,3728,348,877,15047
232,3669,325,877,15129
233,3598,346,864,15192
234,3575,315,862,15248
235,3535,300,857,15308
236,3478,301,860,15361
237,3416,309,862,15413
238,3397,279,854,15470
239,3361,270,848,15521
240,3345,272,793,15590
241,3305,283,737,15675
242,3295,258,723,15724
243,3257,261,707,15775
244,3245,246,702,15807
245,3233,234,682,15851
246,3208,217,664,15911
247,3214,212,640,15934
248,3203,212,626,15959
249,3209,202,610,15979
250,3241,184,585,15990
251,3246,185,587,15982
252,3247,181,574,15998
253,3250,167,561,16022
254,3264,176,533,16027
255,3254,173,541,16032
256,3274,169,532,16025
257,3298,170,521,16011
258,3322,164,508,16006
259,3338,171,512,15979
260,3355,168,493,15984
261,3362,160,492,15986
262,3359,148,505,15988
263,3383,152,485,15980
264,3399,148,471,15982
265,3425,147,456,15972
266,3460,149,426,15965
267,3481,154,430,15935
268,3509,155,405,15931
269,3562,138,406,15894
270,3588,150,404,15858
271,3619,143,398,15840
272,3649,148,394,15809
273,3653,150,398,15799
274,3685,141,413,15761
275,3731,143,408,15718
276,3747,153,400,15700
277,3777,156,389,15678
278,3806,150,396,15648
279,3828,142,407,15623
280,3847,143,392,15618
281,3875,137,389,15599
282,3901,135,383,15581
283,3922,145,363,15570
284,3993,141,379,15487
285,4021,139,377,15463
286,4044,141,384,15431
287,4060,140,387,15413
288,4101,149,360,15390
289,4150,140,375,15335
290,4172,153,365,15310
291,4197,133,374,15296
292,4219,131,366,15284
293,4229,135,357,15279
294,4235,147,369,15249
295,4276,146,356,15222
296,4309,157,362,15172
297,4328,153,370,15149
298,4347,155,367,15131
299,4370,171,367,15092
300,4401,163,383,15053
301,4417,148,391,15044
302,4427,155,395,15023
303,4447,153,405,14995
304,4467,159,401,14973
305,4479,170,416,14935
306,4469,168,432,14931
307,4472,185,435,14908
308,4485,183,456,14876
309,4485,190,444,14881
310,4499,198,449,14854
311,4486,185,487,14842
312,4488,191,491,14830
313,4493,201,488,14818
314,4499,206,473,14822
315,4528,203,468,14801
316,4508,201,482,14809
317,4504,212,480,14804
318,4480,234,491,14795
319,4492,234,505,14769
320,4482,251,519,14748
321,4502,247,537,14714
322,4502,256,542,14700
323,4481,266,560,14693
324,4469,257,585,14689
325,4455,258,582,14705
326,4436,264,588,14712
327,4414,254,614,14718
328,4371,267,646,14716
329,4372,250,664,14714
330,4352,260,649,14739
331,4343,247,647,14763
332,4315,251,645,14789
333,4293,253,658,14796
334,4285,243,648,14824
335,4269,252,650,14829
336,4259,261,653,14827
337,4226,262,664,14848
338,4208,258,669,14865
339,4203,256,659,14882
340,4179,263,649,14909
341,4153,265,654,14928
342,4136,265,653,14946
343,4102,267,680,14951
344,4099,239,692,14970
345,4053,273,686,14988
346,4047,250,714,14989
347,4027,248,707,15018
348,4016,267,683,15034
349,3988,258,705,15049
350,4001,246,710,15043
351,3983,256,694,15067
352,3969,261,679,15091
353,3961,268,667,15104
354,3932,263,685,15120
355,3921,267,682,15130
356,3937,256,668,15139
357,3912,259,687,15142
358,3902,234,691,15173
359,3905,243,683,15169
360,3912,229,685,15174
361,3895,246,663,15196
362,3886,241,665,15208
363,3893,242,662,15203
364,3907,240,637,15216
365,3903,242,640,15215
366,3918,243,630,15209
367,3948,237,618,15197
368,3952,216,632,15200
369,3953,224,618,15205
370,3968,223,616,15193
371,3981,222,604,15193
372,3991,222,626,15161
373,3974,239,605,15182
374,3997,233,604,15166
375,4016,232,606,15146
376,4016,237,579,15168
377,4000,247,593,15160
378,4021,225,610,15144
379,4018,237,591,15154
380,4050,219,596,15135
381,4051,230,569,15150
382,4063,222,580,15135
383,4096,226,571,15107
384,4109,224,592,15075
385,4110,215,623,15052
386,4093,231,628,15048
387,4105,218,641,15036
388,4091,248,635,15026
389,4072,251,649,15028
390,4048,261,639,15052
391,4036,268,630,15066
392,4025,271,626,15078
393,4050,255,632,15063
394,4027,277,630,15066
395,4037,270,650,15043
396,4051,270,643,15036
397,4035,274,641,15050
398,4041,252,655,15052
399,4034,266,649,15051
400,4015,251,668,15066
401,4020,246,647,15087
402,4012,258,657,15073
403,4011,253,647,15089
404,4020,247,645,15088
405,4003,256,664,15077
406,3987,274,651,15088
407,3992,277,633,15098
408,3975,256,672,15097
409,3962,257,656,15125
410,3950,277,652,15121
411,3907,292,658,15143
412,3904,278,670,15148
413,3893,265,685,15157
414,3883,262,688,15167
415,3877,243,705,15175
416,3872,245,678,15205
417,3871,233,684,15212
418,3863,257,676,15204
419,3865,242,700,15193
420,3855,241,697,15207
421,3829,240,717,15214
422,3793,245,733,15229
423,3802,254,714,15230
424,3795,266,707,15232
425,3787,267,705,15241
426,3802,262,699,15237
427,3795,266,693,15246
428,3814,269,666,15251
429,3830,255,644,15271
430,3808,241,664,15287
431,3807,234,647,15312
432,3800,218,667,15315
433,3802,242,634,15322
434,3779,248,621,15352
435,3788,238,634,15340
436,3778,247,631,15344
437,3770,231,622,15377
438,3754,246,606,15394
439,3772,224,625,15379
440,3804,227,612,15357
441,3804,219,621,15356
442,3820,224,585,15371
443,3815,229,600,15356
444,3820,228,587,15365
