iteration,S,E,I,R
0,19980,0,20,0
1,19960,13,24,3
2,19948,21,24,7
3,19930,29,32,9
4,19909,40,40,11
5,19878,54,49,19
6,19827,66,77,30
7,19751,98,110,41
8,19660,146,134,60
9,19548,181,191,80
10,19391,232,267,110
11,19166,337,345,152
12,18880,447,459,214
13,18498,608,604,290
14,17973,818,811,398
15,17297,1071,1080,552
16,16493,1332,1429,746
17,15447,1688,1851,1014
18,14230,2059,2349,1362
19,12856,2467,2925,1752
20,11321,2830,3566,2283
21,9707,3179,4186,2928
22,8172,3400,4827,3601
23,6743,3442,5457,4358
24,5393,3445,5938,5224
25,4278,3279,6247,6196
26,3343,3049,6480,7128
27,2653,2693,6492,8162
28,2109,2351,6447,9093
29,1719,1998,6276,10007
30,1406,1681,6039,10874
31,1158,1424,5701,11717
32,969,1200,5356,12475
33,855,968,4930,13247
34,747,776,4543,13934
35,681,653,4166,14500
36,657,525,3771,15047
37,627,430,3427,15516
38,617,342,3132,15909
39,618,282,2798,16302
40,617,229,2504,16650
41,628,192,2239,16941
42,654,156,2017,17173
43,688,131,1774,17407
44,707,128,1554,17611
45,718,124,1401,17757
46,746,116,1248,17890
47,772,106,1110,18012
48,811,93,991,18105
49,854,88,876,18182
50,889,85,792,18234
51,921,79,705,18295
52,963,63,626,18348
53,1021,52,573,18354
54,1076,45,503,18376
55,1122,38,450,18390
56,1167,38,395,18400
57,1208,40,361,18391
58,1267,29,316,18388
59,1319,32,284,18365
60,1376,28,261,18335
61,1423,31,232,18314
62,1471,30,204,18295
63,1531,24,185,18260
64,1583,27,166,18224
65,1632,25,146,18197
66,1700,20,137,18143
67,1762,27,113,18098
68,1832,26,106,18036
69,1890,24,101,17985
70,1951,31,88,17930
71,2010,19,94,17877
72,2049,19,93,17839
73,2126,20,76,17778
74,2177,18,70,17735
75,2232,19,67,17682
76,2288,19,64,17629
77,2344,14,64,17578
78,2400,12,63,17525
79,2449,13,61,17477
80,2497,16,56,17431
81,2553,12,53,17382
82,2600,13,49,17338
83,2666,11,42,17281
84,2712,15,35,17238
85,2767,13,38,17182
86,2816,11,35,17138
87,2871,14,29,17086
88,2926,12,29,17033
89,2975,11,30,16984
90,3044,7,31,16918
91,3100,6,28,16866
92,3154,5,28,16813
93,3215,4,22,16759
