iteration,S,E,I,R
0,19980,0,20,0
1,19954,16,26,4
2,19936,26,28,10
3,19907,42,38,13
4,19874,58,48,20
5,19836,66,66,32
6,19782,90,81,47
7,19699,123,121,57
8,19594,155,165,86
9,19462,203,222,113
10,19291,280,276,153
11,19030,390,389,191
12,18695,515,529,261
13,18280,648,704,368
14,17697,892,911,500
15,17048,1096,1205,651
16,16230,1398,1512,860
17,15179,1786,1911,1124
18,13919,2184,2441,1456
19,12561,2506,3063,1870
20,11005,2949,3663,2383
21,9457,3282,4296,2965
22,7958,3431,4934,3677
23,6553,3535,5456,4456
24,5286,3471,5963,5280
25,4168,3267,6348,6217
26,3260,3022,6529,7189
27,2549,2754,6524,8173
28,1981,2401,6500,9118
29,1557,2035,6327,10081
30,1241,1723,6067,10969
31,1020,1412,5710,11858
32,878,1139,5338,12645
33,754,910,5009,13327
34,677,752,4557,14014
35,615,611,4148,14626
36,584,493,3734,15189
37,565,415,3380,15640
38,535,349,3042,16074
39,543,283,2729,16445
40,540,236,2490,16734
41,560,199,2192,17049
42,592,166,1971,17271
43,633,143,1732,17492
44,646,133,1536,17685
45,682,120,1374,17824
46,728,101,1227,17944
47,766,83,1095,18056
48,810,81,973,18136
49,850,72,866,18212
50,895,57,780,18268
51,944,52,696,18308
52,994,51,616,18339
53,1050,68,538,18344
54,1084,63,491,18362
55,1134,64,418,18384
56,1186,61,378,18375
57,1228,48,341,18383
58,1286,51,310,18353
59,1340,49,278,18333
60,1370,46,256,18328
61,1422,43,241,18294
62,1481,36,221,18262
63,1542,33,205,18220
64,1593,28,190,18189
65,1646,30,173,18151
66,1717,23,157,18103
67,1785,23,135,18057
68,1843,26,130,18001
69,1904,25,114,17957
70,1939,31,110,17920
71,1995,28,103,17874
72,2050,29,91,17830
73,2102,31,83,17784
74,2147,21,84,17748
75,2190,24,79,17707
76,2246,18,73,17663
77,2321,13,70,17596
78,2376,13,68,17543
79,2426,16,62,17496
80,2476,14,54,17456
81,2526,16,48,17410
82,2579,20,37,17364
83,2639,14,35,17312
84,2695,9,32,17264
85,2737,8,28,17227
86,2784,10,23,17183
87,2842,9,24,17125
88,2896,7,22,17075
89,2946,10,17,17027
90,2993,9,20,16978
91,3044,8,20,16928
92,3089,9,17,16885
93,3150,8,14,16828
94,3202,6,15,16777
95,3248,7,11,16734
96,3311,8,11,16670
97,3367,5,13,16615
98,3419,5,9,16567
99,3471,4,10,16515
100,3516,6,9,16469
101,3560,5,8,16427
102,3604,5,7,16384
103,3654,6,5,16335
104,3698,4,5,16293
105,3760,2,6,16232
106,3810,2,5,16183
107,3853,3,3,16141
108,3898,3,5,16094
109,3929,3,6,16062
110,3973,3,7,16017
111,4021,1,7,15971
112,4068,2,6,15924
113,4123,2,4,15871
114,4174,3,4,15819
115,4212,4,3,15781
116,4264,2,6,15728
117,4296,3,6,15695
118,4328,4,5,15663
119,4378,4,4,15614
120,4422,5,4,15569
121,4473,4,6,15517
122,4520,3,6,15471
123,4569,4,5,15422
124,4622,4,4,15370
125,4664,4,4,15328
126,4706,3,4,15287
127,4743,3,4,15250
128,4781,3,4,15212
129,4815,4,3,15178
130,4842,5,2,15151
131,4881,6,1,15112
132,4927,4,3,15066
133,4983,4,2,15011
134,5025,4,1,14970
135,5064,3,2,14931
136,5097,2,4,14897
137,5138,2,3,14857
138,5177,1,4,14818
139,5218,1,3,14778
140,5250,0,5,14745
141,5282,2,4,14712
142,5313,4,4,14679
143,5352,4,4,14640
144,5389,2,7,14602
145,5438,2,6,14554
146,5465,1,7,14527
147,5510,2,6,14482
148,5553,5,6,14436
149,5597,3,8,14392
150,5628,3,8,14361
151,5662,4,10,14324
152,5701,6,10,14283
153,5728,9,10,14253
154,5775,6,11,14208
155,5816,8,9,14167
156,5854,8,10,14128
157,5896,8,13,14083
158,5941,5,15,14039
159,5980,8,15,13997
160,6019,9,19,13953
161,6051,10,20,13919
162,6103,5,25,13867
163,6129,7,25,13839
164,6170,7,18,13805
165,6194,7,22,13777
166,6228,8,26,13738
167,6267,8,28,13697
168,6293,14,23,13670
169,6327,15,23,13635
170,6359,14,24,13603
171,6384,18,29,13569
172,6416,17,32,13535
173,6449,18,31,13502
174,6494,14,37,13455
175,6516,16,34,13434
176,6542,15,39,13404
177,6565,19,40,13376
178,6584,21,42,13353
179,6607,21,47,13325
180,6620,28,45,13307
181,6645,27,44,13284
182,6672,20,56,13252
183,6699,26,59,13216
184,6735,24,65,13176
185,6748,31,66,13155
186,6767,26,70,13137
187,6782,32,69,13117
188,6794,37,72,13097
189,6799,49,76,13076
190,6818,56,75,13051
191,6849,57,79,13015
192,6873,54,84,12989
193,6883,53,95,12969
194,6881,69,103,12947
195,6890,70,114,12926
196,6908,76,114,12902
197,6926,79,117,12878
198,6903,93,129,12875
199,6902,94,153,12851
200,6879,119,151,12851
201,6881,122,172,12825
202,6884,119,177,12820
203,6889,125,188,12798
204,6861,132,207,12800
205,6848,123,237,12792
206,6812,149,258,12781
207,6783,153,285,12779
208,6740,172,304,12784
209,6686,185,346,12783
210,6629,207,371,12793
211,6556,228,377,12839
212,6525,228,394,12853
213,6451,237,428,12884
214,6362,260,478,12900
215,6295,269,516,12920
216,6213,271,544,12972
217,6136,275,584,13005
218,6028,310,603,13059
219,5926,331,621,13122
220,5815,347,647,13191
221,5725,335,685,13255
222,5612,364,700,13324
223,5501,371,729,13399
224,5391,370,766,13473
225,5300,351,779,13570
226,5182,380,792,13646
227,5074,353,840,13733
228,4963,381,819,13837
229,4846,409,833,13912
230,4738,403,863,13996
231,4634,410,865,14091
232,4517,418,879,14186
233,4455,385,921,14239
234,4367,376,933,14324
235,4259,381,944,14416
236,4178,384,953,14485
237,4106,377,956,14561
238,4019,376,939,14666
239,3921,377,937,14765
240,3843,383,940,14834
241,3791,358,949,14902
242,3696,350,972,14982
243,3638,350,948,15064
244,3582,326,943,15149
245,3525,315,912,15248
246,3477,310,899,15314
247,3415,313,869,15403
248,3362,302,851,15485
249,3324,284,846,15546
250,3315,274,812,15599
251,3286,255,799,15660
252,3249,259,783,15709
253,3236,267,748,15749
254,3229,243,751,15777
255,3220,218,713,15849
256,3219,202,695,15884
257,3191,211,642,15956
258,3202,221,616,15961
259,3209,210,607,15974
260,3212,207,583,15998
261,3221,189,575,16015
262,3224,193,558,16025
263,3229,183,556,16032
264,3246,167,545,16042
265,3237,182,525,16056
266,3261,170,516,16053
267,3263,173,503,16061
268,3273,178,487,16062
269,3287,175,473,16065
270,3295,164,473,16068
271,3320,162,456,16062
272,3359,150,423,16068
273,3379,154,410,16057
274,3427,146,402,16025
275,3448,146,394,16012
276,3471,136,390,16003
277,3470,141,395,15994
278,3468,150,383,15999
279,3504,154,370,15972
280,3544,128,390,15938
281,3593,130,372,15905
282,3640,119,356,15885
283,3679,122,361,15838
284,3701,131,354,15814
285,3733,129,352,15786
286,3753,134,345,15768
287,3783,136,330,15751
288,3817,122,335,15726
289,3841,125,338,15696
290,3850,125,347,15678
291,3906,108,342,15644
292,3950,119,344,15587
293,3993,125,342,15540
294,4014,127,348,15511
295,4050,138,321,15491
296,4094,134,309,15463
297,4118,130,311,15441
298,4154,131,307,15408
299,4203,125,307,15365
300,4220,128,313,15339
301,4260,131,317,15292
302,4297,137,326,15240
303,4353,139,298,15210
304,4381,129,303,15187
305,4420,134,289,15157
306,4458,138,290,15114
307,4492,131,300,15077
308,4541,125,309,15025
309,4563,128,305,15004
310,4583,139,301,14977
311,4600,145,303,14952
312,4626,158,309,14907
313,4649,160,330,14861
314,4677,159,339,14825
315,4697,164,351,14788
316,4728,154,374,14744
317,4733,162,381,14724
318,4756,168,368,14708
319,4775,156,406,14663
320,4795,165,384,14656
321,4814,168,403,14615
322,4832,161,418,14589
323,4859,165,421,14555
324,4844,180,431,14545
325,4831,206,434,14529
326,4823,212,454,14511
327,4819,203,474,14504
328,4827,198,467,14508
329,4836,206,454,14504
330,4840,196,457,14507
331,4806,234,467,14493
332,4807,209,509,14475
333,4781,218,518,14483
334,4779,228,514,14479
335,4772,228,517,14483
336,4747,240,518,14495
337,4751,215,557,14477
338,4749,204,563,14484
339,4725,216,571,14488
340,4673,248,592,14487
341,4641,245,603,14511
342,4610,255,607,14528
343,4597,238,625,14540
344,4563,257,603,14577
345,4541,253,621,14585
346,4495,267,628,14610
347,4468,287,625,14620
348,4475,283,628,14614
349,4442,285,654,14619
350,4418,282,665,14635
351,4388,296,647,14669
352,4365,299,640,14696
353,4336,295,638,14731
354,4310,296,637,14757
355,4285,277,644,14794
356,4261,269,630,14840
357,4265,257,641,14837
358,4261,258,629,14852
359,4262,254,622,14862
360,4233,242,659,14866
361,4199,252,665,14884
362,4222,245,667,14866
363,4220,249,656,14875
364,4194,258,656,14892
365,4180,270,644,14906
366,4162,258,663,14917
367,4139,257,669,14935
368,4112,269,670,14949
