iteration,S,E,I,R
0,19980,0,20,0
1,19961,14,22,3
2,19940,26,27,7
3,19918,36,31,15
4,19894,49,38,19
5,19867,57,48,28
6,19828,76,59,37
7,19784,86,83,47
8,19717,112,108,63
9,19617,154,153,76
10,19486,210,198,106
11,19317,266,286,131
12,19100,364,353,183
13,18785,485,478,252
14,18409,636,620,335
15,17929,812,815,444
16,17291,1027,1100,582
17,16478,1362,1382,778
18,15536,1626,1847,991
19,14300,2043,2342,1315
20,12921,2466,2904,1709
21,11432,2822,3524,2222
22,9873,3122,4228,2777
23,8378,3350,4810,3462
24,6884,3437,5443,4236
25,5593,3487,5769,5151
26,4460,3258,6242,6040
27,3496,2993,6484,7027
28,2807,2653,6524,8016
29,2189,2382,6409,9020
30,1777,1970,6291,9962
31,1393,1714,6056,10837
32,1138,1432,5748,11682
33,998,1146,5368,12488
34,846,918,5013,13223
35,737,762,4591,13910
36,674,626,4182,14518
37,637,514,3797,15052
38,587,434,3429,15550
39,578,352,3084,15986
40,578,288,2785,16349
41,589,239,2492,16680
42,602,198,2236,16964
43,605,176,1983,17236
44,611,155,1761,17473
45,637,128,1584,17651
46,671,100,1412,17817
47,720,96,1225,17959
48,764,76,1097,18063
49,814,74,964,18148
50,840,60,868,18232
51,889,60,763,18288
52,947,56,660,18337
53,1010,50,578,18362
54,1050,59,510,18381
55,1113,43,476,18368
56,1168,42,421,18369
57,1217,52,385,18346
58,1265,40,344,18351
59,1321,39,298,18342
60,1383,40,263,18314
61,1438,39,231,18292
62,1496,38,194,18272
63,1550,29,176,18245
64,1601,31,163,18205
65,1650,34,139,18177
66,1711,28,140,18121
67,1763,21,123,18093
68,1818,24,108,18050
69,1877,22,106,17995
70,1934,15,97,17954
71,1981,17,83,17919
72,2029,15,82,17874
73,2095,18,65,17822
74,2151,16,57,17776
75,2216,15,54,17715
76,2270,20,51,17659
77,2310,22,53,17615
78,2359,14,56,17571
79,2408,17,46,17529
80,2450,23,44,17483
81,2514,16,46,17424
82,2563,13,43,17381
83,2615,15,42,17328
84,2674,15,38,17273
85,2719,12,44,17225
86,2765,12,43,17180
87,2811,13,41,17135
88,2865,11,36,17088
89,2920,8,33,17039
90,2958,6,34,17002
91,3018,6,31,16945
92,3058,6,31,16905
93,3116,4,28,16852
94,3166,6,21,16807
95,3205,7,19,16769
96,3263,8,19,16710
97,3302,7,18,16673
98,3358,6,16,16620
99,3407,7,15,16571
100,3457,5,14,16524
101,3514,6,13,16467
102,3554,4,16,16426
103,3594,2,16,16388
104,3645,3,12,16340
105,3690,4,11,16295
106,3730,5,15,16250
107,3772,7,15,16206
108,3822,7,16,16155
109,3868,10,14,16108
110,3913,9,12,16066
111,3953,9,13,16025
112,3994,8,13,15985
113,4033,7,12,15948
114,4093,6,11,15890
115,4135,8,9,15848
116,4177,7,11,15805
117,4212,9,9,15770
118,4258,10,8,15724
119,4293,9,13,15685
120,4335,8,16,15641
121,4380,5,18,15597
122,4429,8,14,15549
123,4470,9,16,15505
124,4524,9,15,15452
125,4574,9,17,15400
126,4619,9,17,15355
127,4663,8,18,15311
128,4708,4,19,15269
129,4754,5,15,15226
130,4806,5,17,15172
131,4856,3,19,15122
132,4903,4,17,15076
133,4941,7,16,15036
134,4978,10,18,14994
135,5019,7,18,14956
136,5064,8,18,14910
137,5101,11,15,14873
138,5148,11,14,14827
139,5186,11,13,14790
140,5221,10,17,14752
141,5265,11,16,14708
142,5311,10,19,14660
143,5353,12,15,14620
144,5399,5,25,14571
145,5443,6,24,14527
146,5479,8,18,14495
147,5513,12,17,14458
148,5549,7,20,14424
149,5583,13,16,14388
150,5621,12,16,14351
151,5649,12,18,14321
152,5693,8,17,14282
153,5737,5,16,14242
154,5771,6,20,14203
155,5816,6,17,14161
156,5858,8,20,14114
157,5890,14,19,14077
158,5930,14,21,14035
159,5961,14,23,14002
160,5998,14,27,13961
161,6024,15,32,13929
162,6061,16,28,13895
163,6088,12,33,13867
164,6118,17,34,13831
165,6149,16,39,13796
166,6175,17,48,13760
167,6202,20,49,13729
168,6226,20,51,13703
169,6252,27,50,13671
170,6277,29,54,13640
171,6303,28,60,13609
172,6329,28,61,13582
173,6360,23,64,13553
174,6389,25,64,13522
175,6419,30,65,13486
176,6439,29,67,13465
177,6465,26,77,13432
