iteration,S,E,I,R
0,19980,0,20,0
1,19965,10,20,5
2,19949,20,22,9
3,19923,32,32,13
4,19884,46,50,20
5,19837,63,68,32
6,19786,80,94,40
7,19677,126,145,52
8,19547,184,193,76
9,19359,267,267,107
10,19135,347,367,151
11,18842,475,475,208
12,18441,638,645,276
13,17950,776,884,390
14,17219,1056,1179,546
15,16377,1408,1471,744
16,15322,1753,1956,969
17,14078,2140,2475,1307
18,12620,2550,3092,1738
19,11065,2935,3719,2281
20,9434,3317,4317,2932
21,7906,3495,4955,3644
22,6498,3604,5445,4453
23,5168,3511,5965,5356
24,4096,3241,6373,6290
25,3149,2972,6592,7287
26,2440,2632,6691,8237
27,1956,2293,6501,9250
28,1543,1964,6297,10196
29,1283,1672,5965,11080
30,1065,1341,5638,11956
31,908,1089,5275,12728
32,808,900,4847,13445
33,718,744,4450,14088
34,659,610,4035,14696
35,618,501,3661,15220
36,604,421,3291,15684
37,584,347,2966,16103
38,585,282,2640,16493
39,606,228,2340,16826
40,622,202,2073,17103
41,649,166,1879,17306
42,679,131,1664,17526
43,720,121,1446,17713
44,749,98,1302,17851
45,773,91,1177,17959
46,792,95,1046,18067
47,831,82,916,18171
48,881,66,804,18249
49,909,67,723,18301
50,942,63,651,18344
51,995,60,582,18363
52,1055,52,538,18355
53,1085,48,475,18392
54,1141,42,419,18398
55,1205,40,376,18379
56,1254,48,331,18367
57,1310,38,298,18354
58,1357,41,267,18335
59,1396,34,256,18314
60,1454,32,226,18288
61,1511,28,195,18266
62,1574,28,178,18220
63,1620,34,164,18182
64,1673,32,157,18138
65,1740,24,153,18083
66,1807,22,142,18029
67,1866,21,131,17982
68,1940,21,117,17922
69,2001,19,108,17872
70,2069,21,102,17808
71,2128,22,98,17752
72,2178,18,87,17717
73,2246,18,82,17654
74,2285,22,71,17622
75,2329,21,69,17581
76,2381,18,62,17539
77,2431,16,59,17494
78,2482,13,60,17445
79,2530,12,60,17398
80,2592,11,52,17345
81,2640,15,43,17302
82,2696,15,42,17247
83,2763,13,42,17182
84,2816,7,40,17137
85,2868,7,41,17084
86,2923,6,37,17034
87,2971,10,37,16982
88,3008,11,38,16943
89,3059,12,33,16896
90,3106,14,31,16849
91,3157,13,32,16798
92,3202,11,32,16755
93,3252,13,33,16702
94,3306,12,29,16653
95,3355,10,31,16604
96,3397,10,32,16561
97,3435,10,29,16526
98,3499,7,30,16464
99,3552,9,28,16411
100,3595,9,30,16366
101,3639,11,28,16322
102,3692,9,32,16267
103,3739,10,30,16221
104,3764,14,32,16190
105,3799,11,30,16160
106,3833,12,27,16128
107,3861,13,24,16102
108,3908,10,26,16056
109,3941,7,29,16023
110,3994,9,25,15972
111,4042,8,27,15923
112,4090,8,21,15881
113,4152,8,19,15821
114,4197,8,24,15771
115,4242,13,26,15719
116,4270,16,26,15688
117,4321,14,25,15640
118,4371,13,24,15592
119,4411,9,27,15553
120,4456,10,26,15508
121,4499,12,28,15461
122,4538,12,28,15422
123,4578,11,25,15386
124,4623,12,26,15339
125,4667,9,24,15300
126,4716,14,24,15246
127,4755,10,28,15207
128,4791,10,32,15167
129,4839,11,28,15122
130,4875,14,34,15077
131,4906,15,35,15044
132,4940,13,39,15008
133,4962,16,43,14979
134,4998,15,46,14941
135,5025,15,44,14916
136,5051,19,47,14883
137,5078,26,49,14847
138,5106,28,45,14821
139,5139,21,50,14790
140,5174,23,46,14757
141,5208,18,55,14719
142,5238,20,66,14676
143,5276,22,68,14634
144,5304,29,71,14596
145,5333,28,73,14566
146,5358,33,73,14536
147,5390,34,73,14503
148,5417,31,80,14472
149,5435,32,83,14450
150,5455,42,81,14422
151,5486,44,80,14390
152,5509,44,81,14366
153,5538,44,81,14337
154,5548,53,85,14314
155,5570,51,90,14289
156,5602,47,102,14249
157,5627,42,107,14224
158,5652,36,110,14202
159,5679,37,112,14172
160,5692,48,109,14151
161,5717,56,110,14117
162,5725,54,125,14096
163,5738,57,127,14078
164,5760,62,132,14046
165,5780,62,128,14030
166,5776,73,139,14012
167,5779,79,142,14000
168,5794,81,145,13980
169,5788,82,154,13976
170,5797,83,164,13956
171,5795,93,184,13928
172,5790,94,198,13918
173,5775,100,205,13920
174,5774,102,219,13905
175,5758,105,230,13907
176,5734,119,234,13913
177,5731,116,254,13899
178,5742,121,254,13883
179,5739,117,282,13862
180,5712,127,293,13868
181,5690,133,302,13875
182,5649,138,332,13881
183,5646,135,334,13885
184,5624,142,334,13900
185,5591,164,336,13909
186,5571,171,345,13913
187,5563,174,347,13916
188,5527,166,403,13904
189,5481,164,429,13926
190,5456,165,440,13939
191,5412,188,449,13951
192,5369,213,441,13977
193,5326,214,457,14003
194,5288,213,483,14016
195,5261,217,497,14025
196,5222,213,506,14059
197,5173,215,519,14093
198,5134,218,529,14119
199,5074,230,553,14143
200,5018,237,567,14178
201,4981,251,571,14197
202,4918,264,578,14240
203,4854,272,581,14293
204,4802,293,579,14326
205,4746,280,624,14350
206,4672,271,640,14417
207,4602,290,628,14480
208,4566,270,618,14546
209,4538,267,625,14570
210,4491,274,646,14589
211,4431,286,639,14644
212,4390,281,659,14670
213,4360,268,672,14700
214,4300,271,675,14754
215,4241,282,693,14784
216,4186,275,703,14836
217,4157,272,708,14863
218,4120,260,698,14922
219,4052,283,687,14978
220,3995,292,688,15025
221,3954,279,695,15072
222,3915,284,690,15111
223,3898,263,684,15155
224,3874,245,685,15196
225,3841,251,659,15249
226,3822,244,644,15290
227,3794,240,645,15321
228,3780,239,644,15337
229,3749,246,623,15382
230,3727,237,623,15413
231,3718,226,619,15437
232,3705,238,603,15454
233,3703,219,609,15469
234,3691,218,612,15479
235,3672,221,607,15500
236,3653,237,602,15508
237,3633,237,605,15525
238,3620,234,614,15532
239,3638,231,588,15543
240,3624,235,566,15575
241,3641,221,568,15570
242,3627,229,529,15615
243,3648,208,508,15636
244,3645,198,518,15639
245,3652,186,511,15651
246,3658,189,488,15665
247,3668,203,480,15649
248,3692,186,497,15625
249,3690,181,473,15656
250,3703,188,459,15650
251,3723,188,456,15633
252,3763,165,465,15607
253,3757,175,464,15604
254,3766,178,452,15604
