iteration,S,E,I,R
0,19980,0,20,0
1,19957,17,26,0
2,19940,25,31,4
3,19915,37,39,9
4,19887,51,45,17
5,19850,60,63,27
6,19783,97,82,38
7,19711,117,120,52
8,19612,157,158,73
9,19475,203,219,103
10,19302,277,272,149
11,19043,376,398,183
12,18732,507,505,256
13,18284,669,719,328
14,17724,851,963,462
15,17024,1096,1250,630
16,16134,1408,1629,829
17,15022,1791,2087,1100
18,13711,2217,2632,1440
19,12262,2652,3197,1889
20,10681,3065,3838,2416
21,9086,3366,4492,3056
22,7578,3503,5141,3778
23,6181,3485,5705,4629
24,4943,3419,6073,5565
25,3904,3256,6324,6516
26,3080,2956,6495,7469
27,2429,2616,6462,8493
28,1927,2295,6339,9439
29,1532,1927,6200,10341
30,1245,1621,5903,11231
31,1023,1360,5561,12056
32,846,1117,5232,12805
33,740,925,4848,13487
34,646,774,4465,14115
35,597,639,4083,14681
36,585,496,3707,15212
37,551,408,3345,15696
38,555,318,2996,16131
39,557,246,2664,16533
40,575,200,2376,16849
41,574,185,2095,17146
42,601,165,1852,17382
43,627,148,1633,17592
44,653,118,1442,17787
45,691,112,1271,17926
46,739,98,1128,18035
47,772,96,989,18143
48,813,90,877,18220
49,846,85,783,18286
50,879,71,700,18350
51,932,64,613,18391
52,979,66,550,18405
53,1044,56,497,18403
54,1088,51,456,18405
55,1151,46,409,18394
56,1213,46,358,18383
57,1279,44,315,18362
58,1329,47,279,18345
59,1384,36,258,18322
60,1440,39,224,18297
61,1503,29,212,18256
62,1563,26,194,18217
63,1617,28,174,18181
64,1683,26,157,18134
65,1742,22,148,18088
66,1793,24,140,18043
67,1849,28,128,17995
68,1916,21,122,17941
69,1965,22,116,17897
70,2005,27,107,17861
71,2050,23,106,17821
72,2105,23,92,17780
73,2168,22,88,17722
74,2221,16,79,17684
75,2275,13,72,17640
76,2354,14,64,17568
77,2413,19,61,17507
78,2454,17,57,17472
79,2501,15,55,17429
80,2551,14,53,17382
81,2605,16,45,17334
82,2662,12,37,17289
83,2706,13,39,17242
