iteration,S,E,I,R
0,19980,0,20,0
1,19955,18,23,4
2,19930,30,33,7
3,19901,43,43,13
4,19851,66,63,20
5,19793,92,85,30
6,19717,131,102,50
7,19613,165,150,72
8,19474,198,223,105
9,19287,261,307,145
10,19059,358,381,202
11,18738,501,492,269
12,18334,644,667,355
13,17806,837,874,483
14,17108,1100,1190,602
15,16288,1380,1537,795
16,15179,1783,1958,1080
17,13955,2198,2418,1429
18,12552,2590,3032,1826
19,10976,2968,3731,2325
20,9394,3251,4425,2930
21,7807,3467,5032,3694
22,6278,3555,5689,4478
23,4932,3492,6230,5346
24,3895,3247,6537,6321
25,3039,2951,6680,7330
26,2354,2600,6675,8371
27,1849,2226,6592,9333
28,1495,1865,6332,10308
29,1176,1544,6015,11265
30,961,1271,5682,12086
31,825,1045,5241,12889
32,728,857,4778,13637
33,653,709,4376,14262
34,637,561,4008,14794
35,607,463,3645,15285
36,591,387,3290,15732
37,586,312,2992,16110
38,595,259,2662,16484
39,611,206,2373,16810
40,616,180,2085,17119
41,629,155,1873,17343
42,652,151,1635,17562
43,689,139,1469,17703
44,726,120,1306,17848
45,755,112,1178,17955
46,788,108,1043,18061
47,835,98,907,18160
48,862,83,786,18269
49,914,67,719,18300
50,976,59,636,18329
51,1033,56,570,18341
52,1082,46,520,18352
53,1122,43,455,18380
54,1176,43,413,18368
55,1244,39,375,18342
56,1282,43,333,18342
57,1343,38,302,18317
58,1403,38,271,18288
59,1454,38,247,18261
60,1498,42,237,18223
61,1540,34,213,18213
62,1598,35,181,18186
63,1668,32,165,18135
64,1724,24,150,18102
65,1775,24,139,18062
66,1845,23,120,18012
67,1894,25,106,17975
68,1961,23,103,17913
69,2007,15,99,17879
70,2051,17,95,17837
71,2129,17,86,17768
72,2186,9,85,17720
73,2231,8,79,17682
74,2292,8,72,17628
75,2345,13,61,17581
76,2399,15,55,17531
77,2463,15,50,17472
78,2510,15,49,17426
79,2558,18,46,17378
80,2614,15,46,17325
81,2666,10,45,17279
82,2717,11,42,17230
83,2768,10,41,17181
84,2818,11,36,17135
85,2867,9,36,17088
86,2924,8,34,17034
87,2971,7,29,16993
88,3016,10,27,16947
89,3060,8,33,16899
90,3116,8,28,16848
91,3158,10,29,16803
92,3200,14,24,16762
93,3249,10,26,16715
94,3301,11,27,16661
95,3343,8,24,16625
96,3386,7,25,16582
97,3439,9,22,16530
98,3491,9,20,16480
99,3533,8,21,16438
100,3579,10,17,16394
101,3623,7,19,16351
102,3667,12,18,16303
103,3711,7,23,16259
104,3757,7,22,16214
105,3807,5,21,16167
106,3850,4,19,16127
107,3909,4,18,16069
108,3952,4,19,16025
109,3993,5,16,15986
110,4041,6,17,15936
111,4077,8,14,15901
112,4104,11,12,15873
113,4154,12,15,15819
114,4189,11,18,15782
115,4221,10,20,15749
116,4270,8,23,15699
117,4310,9,19,15662
118,4342,12,18,15628
119,4380,9,17,15594
120,4422,12,16,15550
121,4457,11,18,15514
122,4489,10,20,15481
123,4538,11,23,15428
124,4578,16,27,15379
125,4617,14,32,15337
126,4659,11,32,15298
127,4689,18,30,15263
128,4727,22,27,15224
129,4753,17,32,15198
130,4791,13,31,15165
131,4827,16,34,15123
132,4864,20,28,15088
133,4900,17,33,15050
134,4941,16,36,15007
135,4978,17,40,14965
136,5012,18,45,14925
137,5036,23,46,14895
138,5078,23,50,14849
139,5110,19,48,14823
140,5136,20,51,14793
141,5165,17,52,14766
142,5185,23,52,14740
143,5223,27,52,14698
144,5259,25,55,14661
145,5294,25,54,14627
146,5330,26,55,14589
147,5364,28,54,14554
148,5402,27,50,14521
149,5425,24,55,14496
150,5453,23,56,14468
151,5483,27,57,14433
152,5515,25,62,14398
153,5544,25,63,14368
154,5562,26,66,14346
155,5603,24,71,14302
156,5653,24,70,14253
157,5681,27,67,14225
158,5692,35,69,14204
159,5705,43,78,14174
160,5719,48,82,14151
161,5736,51,79,14134
162,5751,49,92,14108
163,5760,56,98,14086
164,5774,52,114,14060
165,5783,54,124,14039
166,5802,54,116,14028
167,5808,60,117,14015
168,5832,65,118,13985
169,5852,67,132,13949
170,5859,65,133,13943
171,5881,70,136,13913
172,5903,73,133,13891
173,5913,65,143,13879
174,5907,83,143,13867
175,5917,76,158,13849
176,5905,87,173,13835
177,5897,93,181,13829
178,5894,99,190,13817
179,5890,102,201,13807
180,5903,105,207,13785
181,5902,102,216,13780
182,5871,108,234,13787
183,5844,136,249,13771
184,5832,144,256,13768
185,5810,137,280,13773
186,5789,132,283,13796
187,5781,128,304,13787
188,5762,138,299,13801
189,5741,159,309,13791
190,5712,161,321,13806
191,5702,170,332,13796
192,5668,170,364,13798
193,5637,175,373,13815
194,5595,185,397,13823
195,5565,194,398,13843
196,5530,212,413,13845
197,5485,203,448,13864
198,5435,223,457,13885
199,5411,243,455,13891
200,5350,244,486,13920
201,5298,249,503,13950
202,5248,237,535,13980
203,5187,263,536,14014
204,5106,294,554,14046
205,5046,292,578,14084
206,4966,289,611,14134
207,4904,308,601,14187
208,4849,295,629,14227
209,4797,273,665,14265
210,4743,280,677,14300
211,4661,297,708,14334
212,4572,303,718,14407
213,4485,323,716,14476
214,4398,321,743,14538
215,4361,290,760,14589
216,4280,305,782,14633
217,4218,300,774,14708
218,4147,315,770,14768
219,4082,318,777,14823
220,4035,306,789,14870
221,3992,281,811,14916
222,3925,289,773,15013
223,3892,291,729,15088
224,3839,280,750,15131
225,3777,301,721,15201
226,3743,293,695,15269
227,3723,285,702,15290
228,3678,269,708,15345
229,3629,266,697,15408
230,3585,259,706,15450
231,3561,244,705,15490
232,3539,226,695,15540
233,3527,226,679,15568
234,3515,216,662,15607
235,3533,207,637,15623
236,3506,215,634,15645
237,3497,202,637,15664
238,3500,220,620,15660
239,3493,216,620,15671
