iteration,S,E,I,R
0,19980,0,20,0
1,19967,12,16,5
2,19955,16,22,7
3,19937,21,30,12
4,19901,45,37,17
5,19869,57,53,21
6,19812,79,79,30
7,19748,101,102,49
8,19671,115,139,75
9,19545,163,195,97
10,19378,249,235,138
11,19185,312,322,181
12,18898,445,424,233
13,18560,554,571,315
14,18056,764,752,428
15,17463,963,1021,553
16,16717,1237,1311,735
17,15759,1607,1666,968
18,14588,1981,2138,1293
19,13310,2325,2707,1658
20,11908,2682,3283,2127
21,10397,3075,3860,2668
22,8824,3321,4560,3295
23,7309,3472,5164,4055
24,5942,3474,5745,4839
25,4735,3339,6160,5766
26,3726,3107,6470,6697
27,2894,2872,6545,7689
28,2246,2556,6501,8697
29,1756,2196,6360,9688
30,1392,1839,6221,10548
31,1109,1519,5959,11413
32,935,1233,5573,12259
33,811,1005,5166,13018
34,688,811,4766,13735
35,624,661,4335,14380
36,584,493,3988,14935
37,562,403,3625,15410
38,550,324,3243,15883
39,547,265,2928,16260
40,575,218,2595,16612
41,613,182,2302,16903
42,608,162,2057,17173
43,639,145,1831,17385
44,661,135,1640,17564
45,691,115,1477,17717
46,726,102,1291,17881
47,754,97,1141,18008
48,794,77,1003,18126
49,848,70,865,18217
50,898,70,769,18263
51,934,68,680,18318
52,974,70,617,18339
53,1020,57,556,18367
54,1058,55,497,18390
55,1127,45,441,18387
56,1171,44,399,18386
57,1203,46,363,18388
58,1250,35,330,18385
59,1307,33,293,18367
60,1356,36,265,18343
61,1414,35,235,18316
62,1474,32,216,18278
63,1538,30,200,18232
64,1580,28,189,18203
65,1624,24,166,18186
66,1685,26,143,18146
67,1739,24,137,18100
68,1802,22,127,18049
69,1851,21,116,18012
70,1896,23,95,17986
71,1960,23,88,17929
72,2023,22,79,17876
73,2066,24,72,17838
74,2132,21,70,17777
75,2197,15,74,17714
76,2269,11,67,17653
77,2323,10,63,17604
78,2383,12,55,17550
79,2431,13,50,17506
80,2491,14,50,17445
81,2536,12,44,17408
82,2596,13,38,17353
83,2639,15,37,17309
84,2695,17,39,17249
85,2740,17,35,17208
86,2786,14,37,17163
87,2831,12,37,17120
88,2869,14,38,17079
89,2913,12,36,17039
90,2963,13,37,16987
91,3006,12,38,16944
92,3068,10,44,16878
93,3123,15,39,16823
94,3183,14,40,16763
95,3229,11,46,16714
96,3286,9,41,16664
97,3329,10,38,16623
98,3358,11,34,16597
99,3401,9,30,16560
100,3452,7,32,16509
101,3502,7,28,16463
102,3539,9,26,16426
103,3582,13,27,16378
104,3622,16,30,16332
105,3671,12,29,16288
106,3731,13,25,16231
107,3776,11,24,16189
108,3813,10,23,16154
109,3852,12,24,16112
110,3902,8,26,16064
111,3941,10,24,16025
112,3990,8,25,15977
113,4018,10,25,15947
114,4055,8,27,15910
115,4085,10,24,15881
116,4123,13,18,15846
117,4168,16,19,15797
118,4217,14,21,15748
119,4248,20,22,15710
120,4289,17,24,15670
121,4334,13,24,15629
122,4380,12,26,15582
123,4435,8,31,15526
124,4476,12,34,15478
125,4520,17,32,15431
126,4558,16,32,15394
127,4597,13,35,15355
128,4630,15,35,15320
129,4666,15,38,15281
130,4693,15,40,15252
131,4717,11,48,15224
132,4757,15,49,15179
133,4797,15,46,15142
134,4839,11,43,15107
135,4878,14,42,15066
136,4919,18,39,15024
137,4951,22,35,14992
138,4990,21,34,14955
139,5021,27,38,14914
140,5059,23,50,14868
141,5099,24,46,14831
142,5134,25,48,14793
143,5161,24,49,14766
144,5196,24,50,14730
145,5238,21,53,14688
146,5262,24,54,14660
147,5290,22,59,14629
148,5336,19,62,14583
149,5360,23,55,14562
150,5393,27,59,14521
151,5420,27,61,14492
152,5445,31,60,14464
153,5474,29,54,14443
154,5505,29,54,14412
155,5536,27,59,14378
156,5569,26,57,14348
157,5599,26,64,14311
158,5624,30,60,14286
159,5653,28,67,14252
160,5697,27,59,14217
161,5718,35,58,14189
162,5746,34,56,14164
163,5776,38,67,14119
164,5804,38,67,14091
165,5833,34,80,14053
166,5845,47,84,14024
167,5876,46,82,13996
168,5897,42,81,13980
169,5914,52,84,13950
170,5930,56,86,13928
171,5957,53,87,13903
172,5981,38,97,13884
173,5995,45,94,13866
174,6024,40,95,13841
175,6055,44,101,13800
176,6079,45,113,13763
177,6082,45,132,13741
178,6079,59,124,13738
179,6097,61,126,13716
180,6098,65,134,13703
181,6103,77,135,13685
182,6120,75,138,13667
183,6115,88,140,13657
184,6113,94,152,13641
185,6099,101,165,13635
186,6100,105,170,13625
187,6099,100,185,13616
188,6065,125,181,13629
189,6059,132,192,13617
190,6055,115,229,13601
191,6049,120,242,13589
192,6031,126,271,13572
193,6013,139,267,13581
194,5991,143,281,13585
195,5963,148,296,13593
196,5951,149,314,13586
197,5911,180,323,13586
198,5864,180,335,13621
199,5822,188,349,13641
200,5795,197,353,13655
201,5766,205,384,13645
202,5739,201,407,13653
203,5681,213,422,13684
204,5641,235,435,13689
205,5579,255,454,13712
206,5518,247,488,13747
207,5459,239,510,13792
208,5409,250,507,13834
209,5369,229,531,13871
210,5332,246,517,13905
211,5255,262,545,13938
212,5191,280,546,13983
213,5155,260,578,14007
214,5084,269,580,14067
215,5044,266,602,14088
216,4960,290,611,14139
217,4872,306,636,14186
218,4794,320,635,14251
219,4737,298,695,14270
220,4649,317,706,14328
221,4570,300,747,14383
222,4473,314,744,14469
223,4391,318,762,14529
224,4295,322,790,14593
225,4226,327,802,14645
226,4164,318,806,14712
227,4091,318,795,14796
228,4041,304,789,14866
229,3964,311,788,14937
230,3909,312,779,15000
231,3858,310,776,15056
232,3820,304,769,15107
233,3774,291,766,15169
234,3736,295,761,15208
235,3673,311,760,15256
236,3649,299,770,15282
237,3623,301,764,15312
238,3586,289,753,15372
239,3579,279,721,15421
240,3574,270,710,15446
241,3545,257,684,15514
242,3513,257,677,15553
243,3470,267,654,15609
244,3471,243,660,15626
245,3468,233,627,15672
246,3476,217,609,15698
247,3468,213,604,15715
248,3477,209,571,15743
249,3461,216,563,15760
250,3457,198,560,15785
251,3461,184,546,15809
252,3481,171,502,15846
253,3481,171,499,15849
254,3480,162,498,15860
255,3490,165,511,15834
256,3527,168,476,15829
257,3536,183,453,15828
258,3558,166,443,15833
259,3585,175,427,15813
260,3595,170,409,15826
261,3619,171,406,15804
262,3645,155,415,15785
263,3677,145,415,15763
264,3697,155,391,15757
265,3727,151,398,15724
266,3740,148,421,15691
267,3753,148,418,15681
268,3767,156,407,15670
269,3784,159,397,15660
270,3800,151,415,15634
271,3801,156,403,15640
272,3815,149,403,15633
273,3836,155,392,15617
274,3877,150,385,15588
275,3916,150,367,15567
276,3971,140,370,15519
277,3989,145,388,15478
278,3998,142,390,15470
279,4012,148,383,15457
280,4020,134,379,15467
281,4044,139,358,15459
282,4071,132,361,15436
283,4087,135,365,15413
284,4106,134,370,15390
285,4108,147,373,15372
286,4138,138,379,15345
287,4161,140,375,15324
288,4194,155,375,15276
289,4217,147,383,15253
290,4244,144,398,15214
291,4261,154,389,15196
292,4290,151,396,15163
293,4315,154,405,15126
294,4342,152,388,15118
295,4343,155,391,15111
296,4378,163,387,15072
297,4394,171,382,15053
298,4413,170,373,15044
299,4429,169,382,15020
300,4453,169,378,15000
301,4474,173,398,14955
302,4470,172,415,14943
303,4492,158,431,14919
304,4508,174,421,14897
305,4512,169,426,14893
306,4501,197,421,14881
307,4493,202,431,14874
308,4487,207,447,14859
309,4484,196,477,14843
310,4483,207,470,14840
311,4476,195,496,14833
312,4489,182,501,14828
313,4491,192,522,14795
314,4487,210,504,14799
315,4487,206,517,14790
316,4500,210,523,14767
317,4491,207,554,14748
318,4464,222,556,14758
319,4440,242,552,14766
320,4444,253,548,14755
321,4411,267,557,14765
322,4371,256,598,14775
323,4354,248,594,14804
324,4353,229,626,14792
325,4341,237,599,14823
326,4329,236,619,14816
327,4298,240,629,14833
328,4282,232,622,14864
329,4261,248,605,14886
330,4240,260,598,14902
331,4237,254,588,14921
332,4255,266,558,14921
333,4249,262,587,14902
334,4226,286,571,14917
335,4215,257,590,14938
336,4211,248,586,14955
337,4190,249,598,14963
338,4193,251,602,14954
339,4203,245,602,14950
340,4205,252,597,14946
341,4216,248,594,14942
342,4206,253,612,14929
343,4206,254,607,14933
344,4173,257,619,14951
345,4184,234,612,14970
346,4187,233,592,14988
347,4192,232,581,14995
348,4171,221,592,15016
349,4189,218,577,15016
350,4185,215,596,15004
351,4172,219,575,15034
352,4186,222,575,15017
353,4189,235,550,15026
354,4156,245,579,15020
355,4156,228,587,15029
356,4159,226,589,15026
357,4138,225,618,15019
358,4123,231,603,15043
359,4108,242,599,15051
360,4123,212,618,15047
361,4093,218,617,15072
362,4100,213,607,15080
363,4133,214,585,15068
364,4131,213,592,15064
365,4136,213,572,15079
366,4133,235,572,15060
367,4136,214,586,15064
368,4126,219,593,15062
369,4105,258,582,15055
370,4132,236,578,15054
371,4127,238,583,15052
372,4132,244,583,15041
373,4126,221,588,15065
374,4129,215,598,15058
375,4126,228,588,15058
376,4138,227,599,15036
377,4136,221,593,15050
378,4140,227,592,15041
379,4130,232,589,15049
380,4117,243,591,15049
381,4146,229,608,15017
382,4162,206,623,15009
383,4179,213,604,15004
384,4183,217,610,14990
385,4186,229,591,14994
386,4201,230,586,14983
387,4184,236,582,14998
388,4182,246,585,14987
389,4184,232,613,14971
390,4186,243,602,14969
391,4187,253,598,14962
392,4164,250,605,14981
393,4186,238,605,14971
394,4184,244,627,14945
395,4187,236,634,14943
396,4187,229,632,14952
397,4146,234,640,14980
398,4132,237,666,14965
399,4130,241,674,14955
400,4093,273,662,14972
401,4065,265,681,14989
402,4055,276,683,14986
403,4044,286,681,14989
404,4021,276,697,15006
405,3978,271,728,15023
406,3982,265,693,15060
407,3979,268,710,15043
408,3961,265,702,15072
409,3961,269,698,15072
410,3967,271,691,15071
