iteration,S,E,I,R
0,19980,0,20,0
1,19967,10,22,1
2,19947,21,28,4
3,19921,36,32,11
4,19890,45,48,17
5,19846,62,68,24
6,19775,91,101,33
7,19670,145,138,47
8,19523,199,213,65
9,19338,275,285,102
10,19096,392,361,151
11,18782,503,505,210
12,18330,656,712,302
13,17766,883,899,452
14,17091,1126,1181,602
15,16238,1448,1512,802
16,15233,1807,1872,1088
17,14013,2177,2405,1405
18,12652,2518,3012,1818
19,11091,2883,3751,2275
20,9469,3198,4423,2910
21,7906,3394,5033,3667
22,6462,3463,5562,4513
23,5142,3386,6065,5407
24,4061,3225,6291,6423
25,3154,2954,6520,7372
26,2506,2621,6468,8405
27,1974,2252,6432,9342
28,1601,1859,6254,10286
29,1265,1608,5896,11231
30,1070,1300,5541,12089
31,930,1057,5147,12866
32,783,882,4779,13556
33,703,701,4374,14222
34,653,565,4026,14756
35,596,461,3648,15295
36,577,376,3305,15742
37,576,313,2935,16176
38,564,272,2612,16552
39,589,220,2313,16878
40,611,203,2052,17134
41,616,175,1865,17344
42,623,138,1678,17561
43,665,108,1487,17740
44,687,100,1329,17884
45,734,90,1186,17990
46,784,81,1054,18081
47,838,78,924,18160
48,886,78,822,18214
49,937,65,728,18270
50,967,71,636,18326
51,1008,52,587,18353
52,1069,43,531,18357
53,1111,42,492,18355
54,1149,46,447,18358
55,1203,44,401,18352
56,1252,41,358,18349
57,1304,34,312,18350
58,1370,35,277,18318
59,1427,27,256,18290
60,1468,25,236,18271
61,1521,23,208,18248
62,1575,18,183,18224
63,1628,15,168,18189
64,1682,14,148,18156
65,1747,15,129,18109
66,1780,15,117,18088
67,1830,16,111,18043
68,1876,15,106,18003
69,1919,15,104,17962
70,1969,15,99,17917
71,2019,15,94,17872
72,2074,19,82,17825
73,2116,19,82,17783
74,2172,19,71,17738
75,2217,16,63,17704
76,2279,14,60,17647
77,2325,14,50,17611
78,2386,13,50,17551
79,2436,14,42,17508
80,2484,8,45,17463
81,2525,8,44,17423
82,2591,6,43,17360
83,2630,8,38,17324
84,2697,8,33,17262
85,2750,9,29,17212
86,2797,8,32,17163
87,2843,9,27,17121
88,2882,11,23,17084
89,2943,9,22,17026
90,2994,6,23,16977
91,3046,8,22,16924
92,3089,10,22,16879
93,3134,11,29,16826
94,3169,13,28,16790
95,3214,10,30,16746
96,3258,8,27,16707
97,3314,10,27,16649
98,3372,7,26,16595
99,3423,6,24,16547
100,3471,7,23,16499
101,3531,5,19,16445
102,3568,7,16,16409
103,3606,8,17,16369
104,3652,6,18,16324
105,3696,5,20,16279
106,3735,5,23,16237
107,3777,5,19,16199
108,3819,5,19,16157
109,3860,3,17,16120
110,3906,3,18,16073
111,3959,3,17,16021
112,4005,3,14,15978
113,4040,6,13,15941
114,4093,5,15,15887
115,4147,6,15,15832
116,4191,4,16,15789
117,4219,2,17,15762
118,4281,0,15,15704
119,4318,1,11,15670
120,4356,2,11,15631
121,4396,0,11,15593
122,4445,2,10,15543
123,4484,4,10,15502
124,4537,5,11,15447
125,4573,2,13,15412
126,4624,0,14,15362
127,4663,1,13,15323
128,4701,3,11,15285
129,4740,3,10,15247
130,4777,5,11,15207
131,4826,5,11,15158
132,4867,6,11,15116
133,4907,4,9,15080
134,4958,4,8,15030
135,5004,3,10,14983
136,5040,3,9,14948
137,5081,3,10,14906
138,5113,3,10,14874
139,5156,3,13,14828
140,5189,5,11,14795
141,5233,4,12,14751
142,5278,3,12,14707
