iteration,S,E,I,R
0,19980,0,20,0
1,19963,11,25,1
2,19944,19,31,6
3,19916,30,41,13
4,19885,42,51,22
5,19840,66,64,30
6,19782,95,84,39
7,19715,120,114,51
8,19592,163,171,74
9,19453,224,210,113
10,19274,288,276,162
11,19053,361,373,213
12,18727,485,498,290
13,18323,627,657,393
14,17816,799,860,525
15,17184,1029,1100,687
16,16324,1327,1472,877
17,15314,1665,1865,1156
18,14059,2069,2384,1488
19,12629,2536,2953,1882
20,11061,2888,3668,2383
21,9490,3248,4246,3016
22,7983,3381,4889,3747
23,6567,3516,5336,4581
24,5298,3435,5828,5439
25,4204,3265,6142,6389
26,3327,3011,6279,7383
27,2611,2652,6401,8336
28,2019,2354,6379,9248
29,1613,2011,6232,10144
30,1311,1666,5986,11037
31,1083,1373,5648,11896
32,915,1142,5288,12655
33,794,931,4875,13400
34,697,750,4491,14062
35,648,609,4098,14645
36,624,500,3721,15155
37,592,408,3381,15619
38,573,346,3050,16031
39,549,301,2745,16405
40,575,237,2469,16719
41,583,193,2223,17001
42,609,147,1994,17250
43,626,130,1768,17476
44,636,123,1562,17679
45,660,114,1400,17826
46,706,93,1253,17948
47,748,81,1101,18070
48,783,77,974,18166
49,812,77,856,18255
50,844,68,769,18319
51,880,64,697,18359
52,917,54,636,18393
53,967,54,558,18421
54,1018,52,499,18431
55,1083,45,464,18408
56,1124,39,415,18422
57,1171,40,360,18429
58,1225,39,323,18413
59,1271,36,285,18408
60,1312,35,253,18400
61,1368,29,224,18379
62,1445,22,203,18330
63,1499,18,190,18293
64,1533,24,167,18276
65,1577,28,150,18245
66,1626,26,139,18209
67,1686,28,121,18165
68,1744,25,111,18120
69,1797,25,100,18078
70,1849,23,97,18031
71,1898,25,91,17986
72,1948,20,94,17938
73,2006,10,86,17898
74,2052,14,70,17864
75,2112,13,59,17816
76,2165,12,52,17771
77,2217,12,43,17728
78,2278,11,39,17672
79,2322,10,40,17628
80,2374,10,40,17576
81,2431,10,34,17525
82,2471,12,33,17484
83,2520,14,32,17434
84,2575,13,30,17382
85,2633,14,23,17330
86,2684,11,25,17280
87,2728,11,23,17238
88,2786,14,17,17183
89,2829,11,21,17139
90,2887,7,23,17083
91,2941,6,24,17029
92,2998,4,22,16976
93,3046,3,19,16932
94,3087,5,16,16892
95,3146,4,13,16837
96,3183,4,10,16803
97,3242,5,8,16745
98,3294,4,8,16694
99,3341,3,10,16646
100,3387,3,9,16601
101,3428,1,10,16561
102,3460,1,7,16532
103,3511,1,7,16481
104,3565,3,6,16426
105,3607,4,8,16381
106,3665,5,9,16321
107,3719,4,10,16267
108,3763,7,8,16222
109,3816,5,10,16169
110,3848,5,11,16136
111,3901,3,11,16085
112,3950,5,9,16036
113,3988,4,9,15999
114,4035,3,10,15952
115,4073,5,9,15913
116,4117,3,11,15869
117,4152,2,12,15834
118,4191,5,10,15794
119,4225,5,8,15762
120,4279,4,8,15709
121,4322,6,8,15664
122,4379,7,8,15606
123,4402,8,7,15583
124,4452,7,8,15533
125,4486,7,9,15498
126,4529,5,10,15456
127,4573,4,11,15412
128,4618,2,12,15368
129,4664,2,10,15324
130,4711,4,6,15279
131,4759,4,5,15232
132,4808,4,4,15184
133,4843,5,4,15148
134,4879,6,1,15114
135,4921,5,2,15072
136,4973,4,4,15019
137,5018,4,5,14973
138,5055,4,8,14933
139,5097,5,8,14890
140,5147,5,4,14844
141,5191,4,6,14799
142,5228,5,3,14764
143,5270,4,5,14721
144,5303,4,7,14686
145,5343,5,6,14646
146,5381,5,8,14606
147,5420,7,7,14566
148,5458,5,8,14529
149,5497,6,7,14490
150,5535,5,8,14452
151,5582,5,10,14403
152,5614,5,8,14373
153,5651,3,11,14335
154,5688,1,12,14299
155,5722,4,11,14263
156,5752,4,10,14234
157,5789,3,11,14197
158,5820,7,11,14162
159,5851,7,10,14132
160,5898,9,8,14085
161,5937,9,6,14048
162,5967,7,10,14016
163,6006,7,11,13976
164,6053,6,12,13929
165,6090,6,15,13889
166,6130,11,15,13844
167,6168,10,16,13806
168,6211,8,13,13768
169,6247,7,17,13729
170,6291,9,19,13681
171,6323,12,19,13646
172,6352,16,19,13613
173,6386,14,24,13576
174,6414,11,26,13549
175,6452,9,31,13508
176,6482,8,29,13481
177,6512,13,27,13448
178,6549,15,28,13408
179,6577,17,33,13373
180,6611,22,35,13332
181,6642,24,37,13297
182,6681,21,36,13262
183,6711,22,41,13226
184,6740,23,43,13194
185,6757,24,47,13172
186,6779,29,48,13144
187,6799,34,56,13111
188,6815,36,57,13092
189,6839,34,63,13064
190,6861,30,68,13041
191,6867,40,68,13025
192,6884,38,71,13007
193,6899,43,78,12980
194,6914,45,83,12958
195,6922,49,93,12936
196,6919,57,113,12911
197,6913,78,125,12884
198,6923,77,132,12868
199,6925,81,142,12852
200,6929,89,138,12844
201,6925,91,153,12831
202,6928,89,166,12817
203,6927,92,171,12810
204,6913,103,173,12811
205,6902,107,190,12801
206,6886,108,196,12810
207,6857,121,202,12820
208,6835,135,218,12812
209,6817,137,237,12809
210,6782,145,255,12818
211,6744,150,279,12827
212,6687,179,293,12841
213,6628,189,316,12867
214,6594,193,344,12869
215,6528,207,384,12881
